# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 00:33:08
動作種別,閉動作
温度[℃],34.4
湿度[%RH],45.6
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,8.9,24.1,206.9,283.8,0.043,0.15,8.595
0.1,9.6,9.8,24.1,206.8,277.6,0.043,0.154,8.589
0.15,10.3,11.6,24.1,206.9,284.9,0.039,0.15,8.591
0.2,9.8,9.8,24.1,206.9,281.0,0.044,0.153,8.591
0.25,10.5,9.6,24.1,207.0,289.9,0.042,0.151,8.593
0.3,10.8,10.5,24.1,207.0,284.7,0.043,0.154,8.588
0.35,10.1,10.4,24.1,207.0,290.5,0.039,0.151,8.593
0.4,10.6,9.9,24.1,206.9,282.5,0.043,0.152,8.588
0.45,9.7,10.0,24.1,206.9,285.3,0.042,0.153,8.594
0.5,10.0,10.4,24.1,206.9,278.3,0.043,0.151,8.589
0.55,9.5,9.3,24.1,206.9,282.6,0.041,0.153,8.593
0.6,9.4,10.3,24.1,206.8,278.1,0.041,0.153,8.59
0.65,10.4,8.7,24.1,206.9,283.7,0.041,0.15,8.593
0.7,9.8,9.7,24.1,206.8,278.8,0.042,0.154,8.586
0.75,9.5,8.9,24.1,206.9,286.6,0.043,0.152,8.592
0.8,111.3,83.9,24.1,206.9,288.1,1.529,2.096,8.616
0.85,285.2,263.0,24.1,206.8,340.0,0.249,0.473,8.586
0.9,261.6,245.3,24.1,206.5,437.4,0.417,0.502,8.588
0.95,185.9,149.0,24.1,206.5,420.8,0.156,0.277,8.594
1.0,252.1,217.7,24.1,206.5,436.5,0.242,0.339,8.591
1.05,284.5,251.6,24.1,206.4,508.5,0.194,0.412,8.594
1.1,298.3,274.2,24.1,206.1,581.2,0.192,0.322,8.583
1.15,297.4,265.6,24.1,205.9,648.2,0.306,0.425,8.587
1.2,302.9,275.9,24.1,205.7,701.4,0.416,0.779,8.59
1.25,305.8,280.7,24.1,205.6,751.9,0.412,0.626,8.579
1.3,320.7,291.7,24.1,205.4,815.4,0.512,0.703,8.6
1.35,343.9,313.9,24.1,205.4,874.8,0.606,0.867,8.597
1.4,348.0,322.2,24.1,205.2,943.0,0.652,1.007,8.591
1.45,382.4,351.5,24.1,205.1,1013.9,0.663,1.261,8.611
1.5,361.5,321.1,24.1,205.1,1008.6,0.631,0.92,8.597
1.55,340.0,317.1,24.1,205.2,930.6,0.726,1.192,8.603
1.6,348.3,310.4,24.1,205.5,835.5,0.711,0.881,8.602
1.65,343.1,315.5,24.1,205.5,751.3,0.647,0.664,8.597
1.7,350.0,314.1,24.1,205.7,689.3,0.538,0.603,8.601
1.75,345.1,313.1,24.1,205.7,657.6,0.622,0.619,8.606
1.8,338.9,314.8,24.1,205.7,652.9,0.683,0.724,8.606
1.85,343.9,307.5,24.1,205.6,672.8,0.704,0.712,8.593
1.9,344.2,309.7,24.1,205.7,702.9,0.685,0.635,8.597
1.95,340.6,311.5,24.1,205.6,744.1,0.613,0.704,8.599
2.0,345.7,309.8,24.1,205.6,772.0,0.693,0.779,8.594
2.05,346.2,308.1,24.1,205.5,786.3,0.694,0.766,8.606
2.1,336.1,309.7,24.1,205.6,779.7,0.7,0.863,8.588
2.15,348.9,307.4,24.1,205.6,762.1,0.547,0.604,8.605
2.2,339.9,316.3,24.1,205.6,741.2,0.585,0.682,8.595
2.25,340.1,305.7,24.1,205.6,718.6,0.538,0.536,8.602
2.3,343.4,311.6,24.1,205.7,709.7,0.514,0.529,8.587
2.35,337.9,310.1,24.1,205.6,710.3,0.638,0.67,8.617
2.4,340.9,306.6,24.1,205.6,714.6,0.555,0.553,8.587
2.45,342.6,307.4,24.1,205.5,727.9,0.543,0.469,8.598
2.5,341.2,308.1,24.1,205.7,740.6,0.54,0.509,8.595
2.55,344.4,307.8,24.1,205.7,752.4,0.59,0.552,8.599
2.6,300.2,264.6,24.1,205.8,714.0,0.598,0.915,8.616
2.65,288.2,269.1,24.1,206.0,588.4,0.621,0.669,8.615
2.7,289.6,269.8,24.1,206.5,448.4,0.443,0.924,8.6
2.75,257.6,217.9,24.1,206.6,362.3,0.434,0.443,8.59
2.8,186.9,157.4,24.1,206.8,322.2,0.341,0.299,8.591
2.85,133.7,94.4,24.1,206.6,332.8,0.215,0.269,8.59
2.9,96.9,75.6,24.1,206.7,342.7,0.224,0.305,8.584
2.95,57.1,63.3,24.1,206.7,328.4,0.163,0.253,8.593
3.0,64.1,76.5,24.1,206.9,313.8,0.14,0.19,8.591
3.05,51.6,68.5,24.1,206.8,312.2,0.115,0.211,8.591
3.1,39.4,23.5,24.1,206.9,312.9,0.102,0.185,8.59
3.15,108.9,54.2,24.1,206.9,327.5,0.33,0.357,8.594
3.2,162.8,118.6,24.1,206.7,345.6,0.072,0.171,8.586
3.25,173.7,145.5,24.1,206.6,372.6,0.071,0.175,8.596
3.3,156.1,136.0,24.1,206.6,387.3,0.075,0.152,8.591
3.35,120.7,118.0,24.1,206.6,391.5,0.087,0.167,8.591
3.4,102.4,88.9,24.1,206.6,382.9,0.1,0.169,8.588
3.45,89.2,72.2,24.1,206.6,376.0,0.079,0.16,8.593
3.5,80.6,67.1,24.1,206.7,369.4,0.083,0.178,8.588
3.55,90.8,54.7,24.1,206.7,368.0,0.084,0.171,8.589
3.6,95.0,56.5,24.1,206.8,366.0,0.097,0.174,8.586
3.65,100.1,62.5,24.1,206.7,366.7,0.075,0.164,8.596
3.7,114.9,66.8,24.1,206.7,364.9,0.08,0.173,8.592
3.75,113.2,73.7,24.1,206.6,366.7,0.068,0.165,8.589
3.8,105.3,82.6,24.1,206.6,363.1,0.069,0.166,8.589
3.85,105.7,84.5,24.1,206.5,364.5,0.068,0.169,8.591
3.9,99.1,86.1,24.1,206.7,363.4,0.067,0.175,8.59
3.95,94.9,87.7,24.1,206.6,364.8,0.084,0.168,8.592
4.0,101.1,78.2,24.1,206.7,366.7,0.093,0.154,8.591
4.05,103.1,75.8,24.1,206.6,370.0,0.077,0.169,8.589
4.1,99.5,72.8,24.1,206.7,372.8,0.082,0.171,8.585
4.15,105.6,67.0,24.1,206.7,373.2,0.076,0.163,8.594
4.2,100.9,70.5,24.1,206.8,371.3,0.077,0.17,8.591
4.25,94.7,71.9,24.1,206.6,370.2,0.102,0.175,8.591
4.3,93.4,67.7,24.1,206.7,363.4,0.079,0.17,8.588
4.35,85.7,67.1,24.1,206.6,359.0,0.08,0.156,8.592
4.4,83.5,67.9,24.1,206.7,355.4,0.112,0.167,8.591
4.45,96.6,64.5,24.1,206.6,354.0,0.078,0.161,8.596
4.5,93.9,68.6,24.1,206.7,355.6,0.069,0.168,8.589
4.55,94.3,67.1,24.1,206.6,360.1,0.077,0.169,8.592
4.6,101.5,66.5,24.1,206.7,364.8,0.087,0.178,8.591
4.65,92.8,70.1,24.1,206.6,367.9,0.093,0.165,8.592
4.7,76.0,255.6,24.1,206.8,362.3,1.784,2.797,8.908
4.75,300.1,256.9,24.1,206.7,329.5,0.303,0.324,8.586
4.8,92.1,69.2,24.1,206.9,309.1,0.099,0.186,8.591
4.85,31.9,22.5,24.1,206.8,297.7,0.244,0.279,8.594
4.9,23.5,10.1,24.1,206.9,290.2,0.062,0.162,8.593
4.95,10.1,9.9,24.1,206.8,285.5,0.043,0.163,8.59
5.0,10.8,10.5,24.1,206.9,282.6,0.056,0.15,8.588
5.05,10.4,9.5,24.1,206.8,282.4,0.044,0.173,8.591
5.1,11.0,10.6,24.1,206.9,282.1,0.049,0.155,8.589
5.15,10.3,10.5,24.1,206.8,283.6,0.043,0.147,8.595
5.2,11.1,9.2,24.1,206.9,285.0,0.041,0.161,8.589
5.25,9.4,9.7,24.1,206.9,285.8,0.043,0.152,8.591
5.3,10.5,10.0,24.1,207.0,286.6,0.047,0.16,8.589
5.35,9.9,9.1,24.1,206.9,287.9,0.04,0.146,8.591
5.4,10.1,9.5,24.1,207.1,285.3,0.044,0.166,8.588
5.45,10.2,10.7,24.1,206.9,282.7,0.041,0.139,8.597
5.5,10.0,9.8,24.1,207.1,282.6,0.043,0.165,8.588
