# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 09:53:51
動作種別,閉動作
温度[℃],38.8
湿度[%RH],35.6
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.1,9.3,24.1,205.7,284.7,0.052,0.142,8.601
0.1,9.1,11.0,24.1,205.7,280.2,0.058,0.156,8.597
0.15,9.6,10.2,24.1,205.7,285.7,0.047,0.136,8.602
0.2,9.5,10.9,24.1,205.7,282.5,0.051,0.153,8.598
0.25,9.3,10.1,24.1,205.7,288.6,0.052,0.144,8.602
0.3,9.6,10.2,24.1,205.8,284.6,0.053,0.146,8.6
0.35,8.8,10.4,24.1,205.7,291.1,0.06,0.146,8.599
0.4,8.8,10.6,24.1,205.7,284.7,0.059,0.149,8.6
0.45,9.8,10.0,24.1,205.7,289.4,0.054,0.146,8.603
0.5,9.7,10.5,24.1,205.8,283.2,0.056,0.146,8.597
0.55,8.2,10.4,24.1,205.7,286.4,0.052,0.156,8.6
0.6,10.1,10.6,24.1,205.8,279.8,0.054,0.142,8.597
0.65,9.7,11.1,24.1,205.7,284.2,0.053,0.152,8.597
0.7,8.8,10.3,24.1,205.8,277.8,0.052,0.137,8.599
0.75,8.9,10.6,24.1,205.8,285.7,0.058,0.151,8.603
0.8,10.0,9.6,24.1,205.7,280.9,0.058,0.151,8.597
0.85,9.7,11.0,24.1,205.8,287.8,0.063,0.155,8.599
0.9,9.5,10.9,24.1,205.7,284.6,0.057,0.149,8.598
0.95,164.0,130.5,24.1,205.6,302.2,2.563,3.522,8.751
1.0,363.9,345.4,24.1,205.5,401.2,0.217,0.311,8.601
1.05,186.1,173.1,24.1,205.3,495.1,0.328,0.559,8.598
1.1,192.8,160.1,24.1,205.4,456.8,0.252,0.257,8.597
1.15,246.3,211.4,24.1,205.3,487.9,0.196,0.277,8.604
1.2,281.4,245.5,24.1,205.1,560.4,0.167,0.371,8.596
1.25,297.0,267.6,24.1,204.9,644.8,0.223,0.306,8.601
1.3,296.9,268.4,24.1,204.7,710.0,0.358,0.544,8.594
1.35,303.7,274.6,24.1,204.5,776.0,0.47,0.853,8.604
1.4,318.6,285.9,24.1,204.3,825.8,0.404,0.613,8.604
1.45,316.1,287.3,24.1,204.1,883.4,0.499,0.628,8.596
1.5,350.5,319.7,24.1,203.9,951.3,0.602,1.154,8.611
1.55,366.5,330.0,24.1,203.8,1014.3,0.646,1.03,8.613
1.6,371.3,331.1,24.1,203.6,1066.3,0.706,1.13,8.601
1.65,345.5,320.1,24.1,203.7,1021.8,0.649,0.843,8.596
1.7,345.6,306.2,24.1,203.8,926.0,0.784,0.979,8.612
1.75,342.5,315.3,24.1,204.3,841.3,0.746,0.744,8.606
1.8,344.0,309.4,24.1,204.3,768.3,0.646,0.676,8.603
1.85,337.8,316.0,24.1,204.5,732.4,0.527,0.687,8.624
1.9,341.8,310.7,24.1,204.6,706.4,0.718,0.7,8.611
1.95,339.7,304.9,24.1,204.6,711.4,0.542,0.616,8.616
2.0,337.5,311.0,24.1,204.5,728.6,0.483,0.547,8.604
2.05,341.7,307.6,24.1,204.5,759.2,0.611,0.608,8.6
2.1,342.2,305.2,24.1,204.3,780.9,0.621,0.642,8.597
2.15,335.4,307.0,24.1,204.3,802.7,0.627,0.715,8.612
2.2,337.9,306.9,24.1,204.2,802.6,0.702,0.878,8.605
2.25,344.1,304.9,24.1,204.3,798.7,0.507,0.609,8.601
2.3,332.7,311.8,24.1,204.2,780.8,0.654,0.595,8.599
2.35,343.3,303.5,24.1,204.3,765.0,0.55,0.605,8.605
2.4,334.0,308.3,24.1,204.3,758.3,0.583,0.487,8.616
2.45,335.3,307.2,24.1,204.4,761.0,0.525,0.59,8.616
2.5,340.3,302.2,24.1,204.3,763.6,0.526,0.634,8.607
2.55,335.6,308.4,24.1,204.3,776.8,0.498,0.368,8.6
2.6,338.5,306.6,24.1,204.3,785.5,0.613,0.569,8.609
2.65,344.2,301.2,24.1,204.3,797.2,0.483,0.562,8.597
2.7,319.8,298.2,24.1,204.2,785.2,0.578,0.504,8.603
2.75,289.6,256.2,24.1,204.5,687.1,0.624,0.8,8.62
2.8,285.5,262.4,24.1,204.7,539.3,0.355,0.577,8.618
2.85,282.5,265.1,24.1,205.0,418.7,0.413,0.834,8.602
2.9,212.0,177.0,24.1,205.1,336.1,0.303,0.378,8.588
2.95,154.7,128.1,24.1,205.3,333.4,0.256,0.236,8.603
3.0,121.8,91.2,24.1,205.1,347.1,0.273,0.314,8.602
3.05,72.0,58.2,24.1,205.1,353.7,0.292,0.365,8.599
3.1,56.6,62.0,24.1,205.0,330.6,0.165,0.256,8.594
3.15,64.4,80.1,24.1,205.2,324.7,0.121,0.18,8.6
3.2,39.0,57.7,24.1,205.1,318.8,0.095,0.17,8.595
3.25,62.7,22.2,24.1,205.1,330.1,0.084,0.153,8.603
3.3,136.6,72.7,24.1,205.0,344.7,0.271,0.211,8.595
3.35,169.4,125.2,24.1,205.0,378.2,0.073,0.159,8.597
3.4,171.8,138.8,24.1,204.9,400.9,0.071,0.17,8.596
3.45,144.7,129.9,24.1,204.9,415.4,0.08,0.157,8.603
3.5,112.3,108.0,24.1,204.8,403.2,0.085,0.172,8.598
3.55,99.2,78.0,24.1,205.0,396.5,0.085,0.166,8.599
3.6,84.2,67.8,24.1,205.0,378.1,0.089,0.146,8.596
3.65,84.5,62.1,24.1,205.1,374.8,0.094,0.163,8.602
3.7,91.5,52.7,24.1,205.0,367.7,0.099,0.153,8.6
3.75,98.8,57.2,24.1,205.1,373.9,0.085,0.156,8.6
3.8,105.7,60.8,24.1,204.9,375.4,0.078,0.16,8.597
3.85,117.2,65.1,24.1,205.1,384.9,0.086,0.171,8.598
3.9,110.2,75.6,24.1,205.0,385.7,0.081,0.161,8.598
3.95,107.2,80.9,24.1,205.0,394.7,0.091,0.155,8.598
