# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 07:41:37
動作種別,閉動作
温度[℃],35.4
湿度[%RH],44.5
気圧[hPa],1014
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.3,10.3,24.1,206.4,302.6,0.051,0.148,8.594
0.1,10.5,11.6,24.1,206.4,298.5,0.045,0.158,8.585
0.15,9.5,10.1,24.1,206.4,303.9,0.045,0.15,8.595
0.2,9.9,10.4,24.1,206.4,298.8,0.049,0.154,8.59
0.25,10.1,10.7,24.1,206.4,303.5,0.049,0.155,8.587
0.3,10.1,10.3,24.1,206.4,297.5,0.048,0.154,8.588
0.35,9.4,10.5,24.1,206.4,304.2,0.045,0.153,8.594
0.4,9.9,11.0,24.1,206.3,299.0,0.053,0.148,8.589
0.45,9.7,10.7,24.1,206.4,304.6,0.046,0.155,8.591
0.5,9.9,10.6,24.1,206.3,299.6,0.049,0.152,8.587
0.55,9.6,10.5,24.1,206.4,305.0,0.057,0.169,8.589
0.6,9.8,9.9,24.1,206.3,299.8,0.04,0.15,8.588
0.65,10.3,9.9,24.1,206.4,305.8,0.046,0.155,8.592
0.7,9.4,10.7,24.1,206.4,300.2,0.051,0.157,8.59
0.75,9.9,10.7,24.1,206.4,305.5,0.045,0.151,8.593
0.8,9.8,11.2,24.1,206.4,300.7,0.055,0.148,8.587
0.85,9.4,9.8,24.1,206.4,306.6,0.052,0.161,8.59
0.9,9.8,9.4,24.1,206.4,299.7,0.049,0.15,8.593
0.95,164.7,130.8,24.1,206.5,319.8,1.227,1.447,8.616
1.0,362.2,312.5,24.1,206.2,401.2,0.238,0.274,8.592
1.05,163.6,129.0,24.1,206.1,470.6,0.364,0.428,8.597
1.1,187.9,173.2,24.1,206.1,454.0,0.206,0.241,8.588
1.15,245.4,229.6,24.1,206.1,494.3,0.228,0.321,8.594
1.2,276.9,261.2,24.1,205.9,568.7,0.195,0.442,8.592
1.25,297.0,273.0,24.1,205.7,652.9,0.221,0.358,8.591
1.3,299.0,266.0,24.1,205.5,716.4,0.366,0.601,8.59
1.35,303.8,273.3,24.1,205.4,780.5,0.426,0.897,8.585
1.4,317.0,285.2,24.1,205.2,830.4,0.471,0.695,8.592
1.45,318.3,289.8,24.1,205.0,890.5,0.49,0.644,8.597
1.5,350.0,320.1,24.1,204.8,956.0,0.527,1.101,8.606
1.55,367.5,335.5,24.1,204.7,1015.7,0.669,0.938,8.599
1.6,366.3,341.5,24.1,204.5,1066.6,0.66,1.133,8.606
1.65,347.3,321.8,24.1,204.6,1017.7,0.618,0.962,8.59
1.7,346.2,310.9,24.1,204.8,922.0,0.844,1.109,8.597
1.75,344.5,317.2,24.1,205.0,837.6,0.602,0.851,8.595
1.8,348.0,314.7,24.1,205.1,765.9,0.629,0.887,8.597
1.85,339.7,317.5,24.1,205.2,725.2,0.523,0.702,8.59
1.9,343.3,313.2,24.1,205.3,701.2,0.571,0.462,8.597
1.95,340.9,308.6,24.1,205.3,703.0,0.68,0.629,8.597
2.0,337.8,313.0,24.1,205.2,727.8,0.588,0.519,8.588
2.05,342.7,310.1,24.1,205.1,760.6,0.608,0.62,8.61
2.1,343.3,308.0,24.1,205.0,792.1,0.634,0.639,8.593
2.15,340.6,311.3,24.1,205.0,814.5,0.707,0.709,8.587
2.2,345.9,306.1,24.1,204.9,820.3,0.659,0.828,8.6
2.25,337.2,312.2,24.1,204.9,810.5,0.629,0.703,8.581
2.3,340.6,314.7,24.1,204.9,790.4,0.651,0.722,8.602
