# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 11:08:21
動作種別,開動作
温度[℃],39.8
湿度[%RH],33.6
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.3,10.3,24.1,205.0,295.8,0.067,0.12,8.605
0.1,10.4,11.4,24.1,205.1,290.3,0.078,0.19,8.598
0.15,8.8,11.0,24.1,205.1,295.7,0.056,0.116,8.605
0.2,8.6,9.6,24.1,205.1,291.8,0.086,0.188,8.599
0.25,9.7,11.2,24.1,205.2,294.5,0.108,0.136,8.603
0.3,9.1,10.0,24.1,205.2,288.1,0.125,0.205,8.603
0.35,9.3,9.0,24.1,205.1,291.7,0.089,0.191,8.604
0.4,9.6,9.9,24.1,205.1,285.5,0.07,0.167,8.597
0.45,10.6,10.0,24.1,205.1,286.8,0.063,0.155,8.603
0.5,9.4,9.7,24.1,205.2,280.1,0.068,0.146,8.595
0.55,9.2,11.3,24.1,205.2,282.6,0.094,0.17,8.611
0.6,10.0,11.0,24.1,205.1,277.2,0.086,0.139,8.601
0.65,8.0,10.4,24.1,205.1,280.8,0.115,0.165,8.597
0.7,8.6,10.3,24.1,205.1,276.8,0.071,0.144,8.604
0.75,9.3,10.5,24.1,205.0,282.4,0.051,0.163,8.602
0.8,10.0,9.5,24.1,205.1,277.2,0.07,0.133,8.599
0.85,112.8,96.1,24.1,205.0,288.8,1.105,1.02,8.701
0.9,201.3,296.0,24.1,204.9,319.1,0.122,0.17,8.602
0.95,159.4,265.7,24.1,204.7,403.5,0.385,0.443,8.613
1.0,174.5,181.1,24.1,204.7,410.2,0.157,0.203,8.599
1.05,238.7,244.0,24.1,204.6,455.7,0.134,0.192,8.6
1.1,273.8,292.1,24.1,204.4,542.1,0.19,0.244,8.596
1.15,262.1,305.3,24.1,204.3,629.2,0.221,0.291,8.602
1.2,265.6,302.8,24.1,204.1,703.5,0.24,0.333,8.607
1.25,273.5,317.8,24.1,204.1,766.9,0.305,0.391,8.61
1.3,273.6,319.0,24.1,203.9,818.7,0.308,0.38,8.597
1.35,285.2,334.9,24.1,203.8,885.8,0.344,0.477,8.605
1.4,315.2,360.4,24.1,203.6,944.8,0.415,0.611,8.598
1.45,324.4,373.5,24.1,203.5,1013.7,0.429,0.745,8.618
1.5,365.3,392.7,24.1,203.3,1083.8,0.5,0.689,8.607
1.55,349.9,368.0,24.1,203.4,1066.1,0.614,0.72,8.641
1.6,340.6,356.8,24.1,203.6,973.1,0.729,1.144,8.652
1.65,351.6,349.6,24.1,203.8,876.3,0.678,0.846,8.611
1.7,347.0,349.8,24.1,203.8,792.6,0.698,0.817,8.623
1.75,361.1,348.3,24.1,204.0,737.7,0.896,0.938,8.644
1.8,349.5,343.8,24.1,204.1,700.0,0.799,0.757,8.619
1.85,343.5,345.6,24.1,204.1,693.8,0.663,0.822,8.607
1.9,343.2,345.9,24.1,203.9,713.2,0.663,0.72,8.607
1.95,337.1,350.1,24.1,203.9,750.2,0.582,0.751,8.632
2.0,336.1,354.4,24.1,203.8,788.1,0.633,0.632,8.615
2.05,344.4,350.2,24.1,203.8,821.0,0.656,0.731,8.63
2.1,335.4,351.5,24.1,203.7,827.7,0.708,0.756,8.629
2.15,338.5,354.2,24.1,203.7,827.9,0.733,0.741,8.639
2.2,348.0,344.5,24.1,203.7,808.2,0.638,0.621,8.601
2.25,342.8,350.7,24.1,203.8,795.0,0.574,0.723,8.623
2.3,347.0,344.6,24.1,203.8,776.2,0.588,0.794,8.64
2.35,344.0,345.7,24.1,203.9,777.1,0.629,0.735,8.614
2.4,337.7,348.0,24.1,203.8,778.0,0.654,0.634,8.638
2.45,343.7,346.5,24.1,203.9,792.3,0.583,0.735,8.632
2.5,337.4,348.9,24.1,203.8,798.0,0.626,0.72,8.623
2.55,339.3,354.4,24.1,203.8,805.4,0.538,0.657,8.623
2.6,345.8,344.7,24.1,203.8,801.8,0.622,0.786,8.629
2.65,335.3,350.5,24.1,203.8,800.8,0.598,0.688,8.622
2.7,343.2,351.3,24.1,203.7,791.4,0.592,0.597,8.625
2.75,346.2,343.4,24.1,203.8,789.2,0.761,0.666,8.631
2.8,303.3,310.3,24.1,203.7,744.4,0.702,0.693,8.621
2.85,320.1,288.6,24.1,204.0,618.6,0.702,0.942,8.616
2.9,313.0,267.2,24.1,204.2,468.3,0.467,0.67,8.603
2.95,224.9,247.3,24.1,204.4,362.8,0.421,0.735,8.605
3.0,185.0,185.3,24.1,204.5,331.2,0.348,0.417,8.607
3.05,131.5,125.2,24.1,204.5,346.1,0.228,0.427,8.595
3.1,88.5,100.1,24.1,204.4,342.0,0.203,0.359,8.605
3.15,92.2,34.4,24.1,204.5,334.6,0.166,0.236,8.601
3.2,77.4,47.6,24.1,204.4,317.0,0.142,0.211,8.597
3.25,43.7,47.8,24.1,204.6,321.7,0.152,0.228,8.604
3.3,29.8,25.7,24.1,204.6,323.2,0.076,0.158,8.603
3.35,57.4,65.7,24.1,204.6,339.5,0.301,0.424,8.602
3.4,102.6,137.7,24.1,204.4,357.2,0.086,0.238,8.599
3.45,120.6,169.9,24.1,204.4,394.6,0.104,0.174,8.602
3.5,107.6,163.8,24.1,204.4,416.1,0.139,0.199,8.596
3.55,92.4,136.4,24.1,204.4,423.0,0.105,0.213,8.606
3.6,71.4,110.9,24.1,204.2,408.7,0.101,0.209,8.599
3.65,59.7,99.1,24.1,204.3,401.2,0.095,0.195,8.603
3.7,55.3,88.9,24.1,204.2,382.4,0.13,0.202,8.599
3.75,55.6,83.7,24.1,204.3,377.7,0.104,0.194,8.599
3.8,53.8,84.6,24.1,204.2,364.9,0.11,0.179,8.599
3.85,60.7,86.9,24.1,204.3,367.9,0.097,0.176,8.601
3.9,62.1,93.8,24.1,204.2,362.2,0.102,0.184,8.599
3.95,64.2,101.7,24.1,204.3,369.2,0.099,0.191,8.6
4.0,72.3,101.3,24.1,204.2,370.7,0.095,0.193,8.604
4.05,72.4,104.2,24.1,204.3,381.2,0.1,0.199,8.604
4.1,70.0,108.4,24.1,204.1,380.0,0.103,0.183,8.597
4.15,68.1,101.9,24.1,204.2,390.5,0.107,0.185,8.602
4.2,58.2,99.7,24.1,204.2,388.3,0.118,0.173,8.6
4.25,319.2,88.9,24.1,204.3,373.1,3.946,3.55,8.954
4.3,179.7,288.6,24.1,204.3,336.0,1.71,2.805,8.69
4.35,47.1,83.6,24.1,204.4,323.2,0.153,0.352,8.608
4.4,11.8,11.0,24.1,204.4,309.4,0.121,0.189,8.596
4.45,8.3,9.3,24.1,204.5,306.3,0.099,0.177,8.605
4.5,9.4,10.4,24.1,204.4,293.0,0.049,0.152,8.598
4.55,10.4,10.4,24.1,204.5,294.3,0.053,0.157,8.601
4.6,9.0,9.8,24.1,204.4,286.5,0.05,0.128,8.601
4.65,10.1,10.7,24.1,204.5,290.1,0.055,0.161,8.604
4.7,10.0,10.7,24.1,204.5,283.3,0.047,0.123,8.601
4.75,9.5,9.9,24.1,204.5,288.7,0.052,0.167,8.602
4.8,9.4,10.1,24.1,204.4,280.1,0.051,0.128,8.602
4.85,9.6,10.1,24.1,204.4,287.1,0.052,0.16,8.606
4.9,9.6,11.3,24.1,204.3,281.0,0.052,0.129,8.598
4.95,9.7,9.8,24.1,204.5,287.4,0.048,0.161,8.606
5.0,9.3,8.6,24.1,204.3,282.9,0.052,0.141,8.602
5.05,8.9,10.5,24.1,204.4,290.9,0.049,0.139,8.603
5.1,9.1,11.4,24.1,204.3,284.6,0.053,0.155,8.602
5.15,9.3,10.2,24.1,204.4,292.5,0.048,0.127,8.606
5.2,9.1,10.4,24.1,204.3,288.2,0.052,0.17,8.597
5.25,9.6,10.3,24.1,204.4,292.3,0.046,0.126,8.605
5.3,9.5,9.9,24.1,204.3,288.0,0.051,0.167,8.6
5.35,9.8,9.7,24.1,204.4,290.8,0.045,0.124,8.605
5.4,9.5,10.3,24.1,204.3,286.6,0.051,0.155,8.599
5.45,8.6,9.6,24.1,204.3,291.3,0.045,0.129,8.607
5.5,9.4,10.5,24.1,204.3,287.4,0.056,0.157,8.603
5.55,8.3,10.3,24.1,204.3,291.2,0.046,0.139,8.601
5.6,9.3,10.2,24.1,204.3,284.1,0.057,0.152,8.603
5.65,9.5,9.3,24.1,204.4,289.3,0.051,0.161,8.601
5.7,9.1,10.1,24.1,204.3,283.0,0.046,0.131,8.599
5.75,9.4,10.1,24.1,204.4,287.6,0.053,0.157,8.604
5.8,8.6,10.3,24.1,204.2,283.0,0.048,0.129,8.602
5.85,8.4,10.2,24.1,204.4,287.9,0.051,0.16,8.605
5.9,8.9,10.3,24.1,204.2,284.7,0.046,0.121,8.603
5.95,9.6,10.1,24.1,204.3,288.7,0.054,0.176,8.604
6.0,9.7,10.9,24.1,204.2,286.4,0.045,0.113,8.6
6.05,9.4,10.8,24.1,204.3,290.9,0.053,0.178,8.6
6.1,9.0,10.3,24.1,204.2,288.9,0.046,0.125,8.603
6.15,10.7,10.6,24.1,204.4,293.0,0.053,0.169,8.603
6.2,9.8,9.6,24.1,204.3,290.1,0.048,0.136,8.6
6.25,8.6,11.0,24.1,204.3,295.6,0.047,0.154,8.605
6.3,10.0,10.4,24.1,204.3,290.7,0.052,0.149,8.597
6.35,8.8,11.7,24.1,204.4,294.2,0.051,0.135,8.602
6.4,9.9,10.0,24.1,204.3,290.3,0.053,0.166,8.598
6.45,9.1,10.0,24.1,204.4,291.1,0.05,0.127,8.608
6.5,10.4,10.6,24.1,204.4,283.1,0.05,0.157,8.598
6.55,8.6,10.0,24.1,204.5,286.8,0.047,0.125,8.602
6.6,10.3,10.6,24.1,204.5,280.9,0.049,0.16,8.599
6.65,10.0,10.4,24.1,204.5,286.2,0.05,0.128,8.607
6.7,9.9,9.9,24.1,204.5,281.5,0.054,0.16,8.599
6.75,9.2,10.3,24.1,204.5,284.1,0.049,0.121,8.608
6.8,9.6,11.1,24.1,204.5,280.0,0.051,0.175,8.598
6.85,10.1,10.6,24.1,204.5,285.7,0.044,0.111,8.601
6.9,9.0,10.4,24.1,204.3,284.0,0.054,0.175,8.597
6.95,9.6,9.3,24.1,204.5,288.2,0.048,0.11,8.605
7.0,8.7,10.9,24.1,204.5,286.5,0.056,0.17,8.601
7.05,9.1,10.1,24.1,204.6,290.7,0.044,0.113,8.606
7.1,8.9,9.9,24.1,204.5,288.0,0.058,0.188,8.597
7.15,8.3,10.4,24.1,204.7,292.1,0.048,0.11,8.605
7.2,9.8,10.9,24.1,204.6,287.4,0.053,0.178,8.602
7.25,9.6,10.0,24.1,204.7,290.2,0.046,0.121,8.603
7.3,9.4,10.9,24.1,204.6,284.2,0.052,0.159,8.599
7.35,9.6,10.8,24.1,204.7,286.2,0.049,0.135,8.599
7.4,8.4,9.8,24.1,204.7,279.8,0.048,0.15,8.609
7.45,9.9,11.0,24.1,204.7,282.2,0.05,0.145,8.603
7.5,9.6,10.1,24.1,204.7,279.9,0.05,0.146,8.598
7.55,9.2,10.2,24.1,204.7,282.6,0.051,0.157,8.602
7.6,10.0,10.7,24.1,204.7,280.6,0.045,0.133,8.597
7.65,9.3,9.6,24.1,204.7,283.5,0.056,0.17,8.604
7.7,9.8,10.8,24.1,204.6,282.2,0.048,0.12,8.606
7.75,8.7,10.7,24.1,204.7,288.8,0.051,0.177,8.602
7.8,10.1,10.4,24.1,204.6,287.7,0.044,0.114,8.598
7.85,8.8,9.4,24.1,204.8,292.5,0.053,0.183,8.602
7.9,9.4,9.8,24.1,204.7,291.2,0.048,0.105,8.604
7.95,10.1,10.9,24.1,204.8,296.4,0.054,0.171,8.603
8.0,10.0,9.8,24.1,204.7,293.3,0.048,0.126,8.603
8.05,9.2,9.7,24.1,204.8,297.0,0.048,0.145,8.606
8.1,9.0,11.3,24.1,204.8,290.6,0.049,0.159,8.6
8.15,8.2,10.1,24.1,204.9,291.9,0.046,0.141,8.605
8.2,9.4,9.4,24.1,204.7,286.7,0.054,0.16,8.601
8.25,9.6,9.8,24.1,204.7,287.9,0.045,0.121,8.604
8.3,9.5,10.1,24.1,204.6,280.8,0.055,0.175,8.602
8.35,9.1,10.0,24.1,204.7,282.4,0.043,0.108,8.603
8.4,9.8,10.3,24.1,204.6,281.0,0.057,0.174,8.598
8.45,10.2,10.4,24.1,204.6,281.9,0.046,0.106,8.603
8.5,9.9,11.3,24.1,204.6,275.5,0.059,0.176,8.6
8.55,8.1,10.1,24.1,204.7,280.0,0.054,0.127,8.607
8.6,9.1,10.3,24.1,204.6,278.1,0.049,0.162,8.597
8.65,9.7,9.8,24.1,204.7,283.1,0.045,0.133,8.599
8.7,8.3,10.6,24.1,204.5,283.2,0.053,0.161,8.597
8.75,10.1,10.6,24.1,204.6,286.9,0.047,0.135,8.608
8.8,9.8,11.5,24.1,204.6,287.6,0.049,0.149,8.598
8.85,10.1,9.9,24.1,204.7,289.9,0.05,0.146,8.602
8.9,9.3,10.1,24.1,204.6,289.6,0.053,0.137,8.602
8.95,9.9,10.2,24.1,204.7,292.7,0.054,0.154,8.601
9.0,9.0,10.2,24.1,204.6,290.2,0.052,0.13,8.599
9.05,9.4,10.6,24.1,204.8,290.7,0.052,0.149,8.603
9.1,8.5,9.7,24.1,204.6,287.9,0.048,0.127,8.602
9.15,9.0,10.0,24.1,204.7,288.4,0.051,0.169,8.601
9.2,9.9,10.2,24.1,204.6,285.6,0.047,0.113,8.6
9.25,9.8,10.5,24.1,204.6,286.3,0.052,0.178,8.597
9.3,9.6,10.2,24.1,204.5,281.3,0.051,0.114,8.606
9.35,10.5,10.8,24.1,204.6,281.0,0.064,0.177,8.6
9.4,9.2,10.8,24.1,204.5,276.8,0.051,0.119,8.606
9.45,9.1,9.4,24.1,204.5,278.4,0.055,0.194,8.598
9.5,10.3,10.1,24.1,204.4,278.6,0.046,0.126,8.609
9.55,9.4,9.9,24.1,204.5,281.2,0.053,0.171,8.596
9.6,9.5,11.1,24.1,204.4,278.9,0.051,0.149,8.6
9.65,8.4,10.1,24.1,204.5,282.6,0.046,0.131,8.603
9.7,9.6,10.3,24.1,204.3,281.8,0.058,0.185,8.599
9.75,10.0,10.9,24.1,204.4,284.2,0.05,0.104,8.602
9.8,10.5,10.6,24.1,204.3,283.8,0.055,0.199,8.6
9.85,9.4,11.0,24.1,204.4,287.7,0.039,0.096,8.6
9.9,10.2,11.0,24.1,204.2,287.6,0.055,0.185,8.603
9.95,10.1,11.0,24.1,204.3,291.3,0.046,0.119,8.603
10.0,8.9,10.9,24.1,204.2,290.6,0.053,0.161,8.602
10.05,8.4,10.6,24.1,204.4,291.9,0.055,0.149,8.596
10.1,9.1,9.9,24.1,204.3,292.5,0.049,0.131,8.604
10.15,9.9,9.7,24.1,204.4,293.8,0.05,0.146,8.605
10.2,9.3,11.0,24.1,204.3,291.6,0.051,0.145,8.6
10.25,9.8,10.7,24.1,204.4,294.2,0.046,0.131,8.601
10.3,9.1,10.6,24.1,204.4,291.0,0.05,0.149,8.598
10.35,8.9,10.4,24.1,204.4,291.6,0.053,0.135,8.597
10.4,9.8,10.3,24.1,204.3,288.9,0.05,0.141,8.604
10.45,9.4,10.8,24.1,204.5,286.9,0.055,0.165,8.606
10.5,10.2,9.7,24.1,204.4,279.9,0.05,0.128,8.604
10.55,9.3,10.2,24.1,204.4,280.9,0.056,0.185,8.596
10.6,9.0,11.3,24.1,204.3,277.7,0.043,0.117,8.606
10.65,8.8,11.0,24.1,204.5,277.2,0.053,0.187,8.601
10.7,9.5,9.6,24.1,204.3,276.6,0.041,0.098,8.604
10.75,9.4,10.4,24.1,204.5,277.1,0.06,0.192,8.603
10.8,9.5,10.0,24.1,204.3,276.0,0.042,0.105,8.605
10.85,9.1,11.7,24.1,204.4,278.8,0.06,0.189,8.599
10.9,9.9,10.8,24.1,204.3,279.7,0.046,0.12,8.6
10.95,9.1,10.2,24.1,204.4,285.0,0.056,0.171,8.605
11.0,8.8,11.1,24.1,204.3,284.9,0.045,0.138,8.603
# データ部終了
