# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 10:38:22
動作種別,開動作
温度[℃],39.5
湿度[%RH],34.7
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.4,10.0,24.1,204.8,289.2,0.07,0.158,8.598
0.1,9.3,10.7,24.1,204.8,279.7,0.058,0.132,8.604
0.15,9.2,10.9,24.1,204.8,283.4,0.054,0.148,8.606
0.2,10.1,10.6,24.1,204.7,275.8,0.062,0.124,8.605
0.25,9.0,11.1,24.1,204.8,281.9,0.061,0.151,8.607
0.3,10.2,9.9,24.1,204.8,274.2,0.066,0.135,8.597
0.35,10.5,10.4,24.1,204.8,280.4,0.052,0.156,8.6
0.4,9.8,9.9,24.1,204.8,276.1,0.053,0.145,8.594
0.45,8.9,10.2,24.1,204.9,284.6,0.052,0.139,8.598
0.5,10.3,10.6,24.1,204.8,279.6,0.06,0.141,8.597
0.55,10.4,10.3,24.1,204.9,288.9,0.049,0.14,8.601
0.6,8.4,9.6,24.1,205.0,286.0,0.055,0.158,8.597
0.65,9.0,10.4,24.1,205.0,293.5,0.052,0.15,8.599
0.7,9.7,11.3,24.1,205.0,289.8,0.058,0.144,8.599
0.75,9.1,10.4,24.1,205.0,295.6,0.057,0.152,8.6
0.8,58.6,62.4,24.1,204.8,291.0,0.152,0.21,8.6
0.85,203.5,219.1,24.1,204.7,322.7,0.132,0.22,8.599
0.9,197.3,394.1,24.1,204.5,437.5,0.264,0.186,8.596
0.95,132.1,150.1,24.1,204.5,450.4,0.28,0.284,8.602
1.0,214.9,206.4,24.1,204.4,442.1,0.143,0.184,8.601
1.05,262.0,265.2,24.1,204.2,506.7,0.173,0.211,8.607
1.1,266.5,292.2,24.1,203.9,587.6,0.178,0.242,8.592
1.15,276.6,309.4,24.1,203.7,669.4,0.223,0.339,8.602
1.2,265.2,318.6,24.1,203.6,732.3,0.274,0.326,8.606
1.25,268.2,315.5,24.1,203.6,791.2,0.311,0.391,8.602
1.3,293.3,340.1,24.1,203.5,850.2,0.351,0.476,8.604
1.35,305.9,348.2,24.1,203.4,903.1,0.411,0.5,8.602
1.4,325.9,356.4,24.1,203.3,970.5,0.413,0.786,8.606
1.45,356.0,399.8,24.1,203.1,1037.3,0.463,0.72,8.618
1.5,348.8,376.8,24.1,203.0,1058.6,0.521,0.693,8.601
1.55,346.4,357.0,24.1,203.1,989.6,0.667,0.998,8.654
1.6,343.8,357.1,24.1,203.3,893.8,0.65,0.862,8.628
1.65,352.5,345.5,24.1,203.5,812.0,0.629,0.624,8.611
1.7,350.9,350.6,24.1,203.6,746.7,0.768,0.913,8.644
1.75,350.6,349.9,24.1,203.7,704.3,0.692,0.776,8.622
1.8,345.6,345.2,24.1,203.7,687.1,0.645,0.587,8.638
1.85,338.8,347.8,24.1,203.8,696.6,0.741,0.816,8.609
1.9,341.4,346.8,24.1,203.7,728.8,0.608,0.596,8.613
1.95,337.1,349.0,24.1,203.7,769.0,0.616,0.634,8.617
2.0,335.5,352.7,24.1,203.7,802.2,0.691,0.702,8.629
2.05,345.1,347.0,24.1,203.7,821.6,0.631,0.744,8.639
2.1,339.6,355.4,24.1,203.8,826.5,0.652,0.746,8.598
2.15,346.8,345.1,24.1,203.8,814.4,0.648,0.609,8.63
2.2,345.1,350.2,24.1,203.9,796.0,0.568,0.662,8.617
2.25,338.6,349.4,24.1,203.8,779.7,0.657,0.736,8.632
2.3,342.3,348.1,24.1,203.8,769.4,0.735,0.813,8.645
2.35,344.2,347.6,24.1,203.8,766.4,0.572,0.792,8.615
2.4,339.6,351.3,24.1,203.7,772.2,0.534,0.629,8.618
2.45,343.4,345.7,24.1,203.7,779.6,0.672,0.728,8.639
2.5,338.5,349.2,24.1,203.7,783.6,0.628,0.638,8.615
2.55,340.3,354.0,24.1,203.7,783.4,0.635,0.594,8.618
2.6,344.4,343.3,24.1,203.9,780.2,0.702,0.802,8.642
2.65,339.8,351.5,24.1,203.9,777.0,0.627,0.688,8.611
2.7,340.2,348.4,24.1,204.0,773.7,0.554,0.66,8.639
2.75,327.0,327.6,24.1,204.0,772.9,0.635,0.686,8.616
2.8,309.5,293.1,24.1,204.3,682.0,1.042,1.104,8.641
2.85,312.3,276.5,24.1,204.5,551.7,0.46,0.802,8.6
2.9,274.3,262.8,24.1,204.7,432.6,0.393,0.681,8.606
2.95,193.4,209.0,24.1,204.9,356.4,0.31,0.406,8.594
3.0,151.5,142.9,24.1,204.9,353.5,0.225,0.363,8.601
3.05,102.6,116.5,24.1,204.8,360.2,0.227,0.367,8.605
3.1,86.0,56.3,24.1,204.8,338.9,0.154,0.28,8.603
3.15,85.3,42.6,24.1,204.9,320.7,0.13,0.222,8.6
3.2,62.0,52.5,24.1,205.0,308.6,0.108,0.229,8.596
3.25,35.6,30.5,24.1,205.0,312.6,0.087,0.166,8.604
3.3,50.3,44.9,24.1,205.0,318.3,0.24,0.328,8.592
3.35,95.8,114.2,24.1,205.0,337.5,0.124,0.292,8.599
3.4,121.5,163.5,24.1,205.0,364.7,0.076,0.149,8.601
3.45,119.3,169.3,24.1,205.0,398.2,0.13,0.199,8.602
3.5,98.8,145.0,24.1,204.9,416.6,0.114,0.216,8.598
3.55,80.1,114.1,24.1,204.8,414.8,0.121,0.223,8.599
3.6,61.8,97.8,24.1,204.8,403.4,0.12,0.194,8.602
3.65,54.2,85.3,24.1,204.8,392.8,0.116,0.208,8.599
3.7,53.0,83.4,24.1,204.8,378.5,0.097,0.187,8.597
3.75,53.6,84.9,24.1,204.8,372.8,0.108,0.189,8.607
3.8,56.0,84.6,24.1,204.8,367.0,0.095,0.177,8.599
3.85,59.0,89.1,24.1,204.8,364.2,0.105,0.173,8.597
3.9,60.9,99.8,24.1,204.8,362.2,0.099,0.184,8.599
3.95,73.6,102.4,24.1,204.7,369.4,0.096,0.179,8.597
4.0,75.4,104.3,24.1,204.8,373.5,0.095,0.187,8.605
4.05,77.2,108.2,24.1,204.9,383.1,0.099,0.162,8.603
4.1,73.5,103.4,24.1,205.0,388.7,0.088,0.192,8.591
4.15,65.1,99.4,24.1,204.8,390.4,0.104,0.181,8.605
4.2,76.3,90.8,24.1,204.9,384.9,0.634,0.849,8.782
4.25,327.4,264.1,24.1,204.9,350.0,4.092,4.098,8.873
4.3,138.3,152.0,24.1,205.0,320.3,0.202,0.324,8.611
4.35,37.1,20.0,24.1,204.8,308.0,0.147,0.178,8.589
4.4,10.0,10.8,24.1,205.0,296.4,0.173,0.175,8.593
4.45,9.2,11.1,24.1,204.9,292.6,0.068,0.147,8.608
4.5,10.0,10.8,24.1,205.0,290.0,0.073,0.165,8.598
4.55,9.4,10.6,24.1,204.9,291.2,0.042,0.14,8.602
4.6,9.1,10.8,24.1,205.1,292.8,0.053,0.163,8.598
4.65,10.2,11.3,24.1,205.1,296.4,0.053,0.124,8.606
4.7,9.3,10.3,24.1,205.3,295.7,0.06,0.154,8.597
4.75,9.9,10.7,24.1,205.2,299.1,0.052,0.142,8.597
4.8,10.0,9.5,24.1,205.2,296.6,0.046,0.16,8.6
4.85,8.9,10.9,24.1,205.1,298.2,0.046,0.127,8.608
4.9,9.2,10.9,24.1,205.1,292.3,0.055,0.145,8.601
4.95,8.7,10.6,24.1,205.1,289.7,0.047,0.144,8.598
5.0,10.2,10.2,24.1,205.0,283.9,0.043,0.152,8.598
5.05,9.1,9.4,24.1,204.9,281.3,0.05,0.149,8.603
5.1,9.4,10.4,24.1,205.0,279.9,0.054,0.143,8.597
5.15,8.9,9.9,24.1,204.9,282.0,0.042,0.153,8.605
5.2,9.2,9.9,24.1,205.0,283.3,0.044,0.144,8.605
5.25,9.2,10.7,24.1,205.0,287.4,0.05,0.14,8.608
5.3,9.8,9.6,24.1,205.1,287.8,0.049,0.139,8.593
5.35,9.8,10.5,24.1,205.2,291.3,0.05,0.154,8.604
5.4,9.4,10.8,24.1,205.3,292.0,0.048,0.127,8.595
5.45,9.3,10.8,24.1,205.3,296.7,0.047,0.16,8.608
5.5,9.5,9.7,24.1,205.4,295.1,0.052,0.135,8.599
5.55,10.8,10.4,24.1,205.2,294.8,0.056,0.166,8.602
5.6,9.7,11.0,24.1,205.3,289.5,0.052,0.139,8.6
5.65,9.6,10.2,24.1,205.2,285.5,0.055,0.139,8.601
5.7,9.6,10.9,24.1,205.2,279.8,0.047,0.159,8.597
5.75,8.9,11.2,24.1,205.0,278.6,0.048,0.124,8.605
5.8,8.9,10.9,24.1,205.1,276.2,0.057,0.171,8.599
5.85,9.0,10.9,24.1,205.0,277.6,0.036,0.123,8.595
5.9,9.7,11.4,24.1,205.0,278.7,0.049,0.173,8.598
5.95,10.2,10.5,24.1,205.0,281.5,0.046,0.116,8.605
6.0,9.9,10.6,24.1,205.1,285.3,0.054,0.158,8.596
6.05,10.1,11.8,24.1,205.1,289.9,0.043,0.142,8.603
6.1,9.9,10.4,24.1,205.3,291.2,0.056,0.141,8.602
6.15,9.3,9.9,24.1,205.2,294.9,0.053,0.139,8.599
6.2,9.6,10.1,24.1,205.2,294.4,0.049,0.15,8.597
6.25,10.3,10.2,24.1,205.0,293.7,0.047,0.146,8.606
6.3,10.2,11.0,24.1,205.2,290.7,0.055,0.127,8.601
6.35,9.9,10.8,24.1,205.0,288.1,0.049,0.16,8.596
6.4,10.5,10.7,24.1,205.0,284.0,0.044,0.128,8.604
6.45,10.2,10.8,24.1,204.9,281.9,0.053,0.147,8.607
6.5,8.5,10.1,24.1,205.0,281.6,0.045,0.142,8.597
6.55,10.1,10.2,24.1,204.9,283.0,0.055,0.16,8.6
6.6,9.8,10.3,24.1,205.0,284.7,0.053,0.137,8.596
6.65,9.7,10.1,24.1,205.0,286.5,0.049,0.15,8.608
6.7,9.5,10.1,24.1,205.1,290.9,0.045,0.153,8.597
6.75,9.7,9.8,24.1,205.1,294.9,0.042,0.145,8.603
6.8,8.6,10.7,24.1,205.3,296.5,0.054,0.154,8.601
6.85,9.3,11.4,24.1,205.3,297.8,0.044,0.133,8.609
6.9,9.7,9.8,24.1,205.3,298.4,0.05,0.156,8.606
6.95,9.2,10.8,24.1,205.1,297.0,0.048,0.129,8.598
7.0,9.5,11.3,24.1,205.3,293.3,0.05,0.168,8.595
7.05,9.6,10.8,24.1,205.2,287.6,0.043,0.122,8.602
7.1,10.5,11.2,24.1,205.1,283.6,0.056,0.168,8.598
7.15,9.8,10.4,24.1,205.0,280.3,0.048,0.114,8.596
7.2,9.1,11.5,24.1,205.1,279.7,0.05,0.173,8.605
7.25,8.5,11.1,24.1,205.0,279.8,0.049,0.122,8.606
7.3,10.0,10.6,24.1,205.1,280.8,0.046,0.177,8.599
7.35,9.4,9.6,24.1,205.0,281.1,0.041,0.126,8.6
7.4,10.3,11.4,24.1,205.2,284.1,0.059,0.153,8.603
7.45,9.6,11.3,24.1,205.1,286.8,0.049,0.127,8.6
7.5,9.1,10.5,24.1,205.3,291.1,0.048,0.167,8.606
7.55,10.1,10.8,24.1,205.3,293.0,0.052,0.125,8.606
7.6,9.0,9.9,24.1,205.4,295.0,0.054,0.165,8.597
7.65,10.2,9.8,24.1,205.2,294.8,0.046,0.143,8.6
7.7,9.1,10.3,24.1,205.3,291.8,0.053,0.142,8.604
7.75,10.2,10.0,24.1,205.2,287.8,0.053,0.148,8.601
7.8,9.4,10.6,24.1,205.3,285.2,0.057,0.135,8.596
7.85,9.9,10.7,24.1,205.0,277.7,0.049,0.16,8.593
7.9,9.5,11.3,24.1,205.1,275.3,0.05,0.127,8.602
