# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 17:37:01
動作種別,開動作
温度[℃],36.7
湿度[%RH],39.4
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.3,10.3,24.1,204.4,291.6,0.054,0.157,8.599
0.1,9.9,10.0,24.1,204.3,286.8,0.066,0.149,8.594
0.15,9.5,9.8,24.1,204.4,293.1,0.059,0.135,8.604
0.2,8.8,9.7,24.1,204.3,288.4,0.046,0.167,8.593
0.25,9.6,10.3,24.1,204.5,294.3,0.039,0.136,8.6
0.3,10.0,9.9,24.1,204.5,290.5,0.043,0.18,8.589
0.35,9.7,11.2,24.1,204.4,296.9,0.049,0.135,8.6
0.4,9.5,10.6,24.1,204.4,290.5,0.059,0.161,8.593
0.45,10.8,9.3,24.1,204.5,295.1,0.047,0.118,8.602
0.5,9.7,10.3,24.1,204.5,289.1,0.045,0.155,8.597
0.55,9.5,10.0,24.1,204.4,293.9,0.038,0.14,8.597
0.6,9.4,10.7,24.1,204.4,288.0,0.044,0.166,8.597
0.65,8.9,10.4,24.1,204.4,292.9,0.043,0.146,8.595
0.7,10.7,10.6,24.1,204.4,285.2,0.054,0.154,8.6
0.75,9.8,10.8,24.1,204.5,288.3,0.05,0.129,8.598
0.8,86.1,80.2,24.1,204.4,286.6,0.113,0.203,8.596
0.85,226.8,185.5,24.1,204.3,317.7,0.071,0.148,8.598
0.9,187.8,270.7,24.1,204.1,378.1,0.215,0.207,8.589
0.95,133.9,159.5,24.1,204.1,411.6,0.59,0.688,8.627
1.0,213.0,240.6,24.1,204.1,433.6,0.16,0.201,8.59
1.05,262.0,306.9,24.1,204.0,525.2,0.175,0.211,8.603
1.1,260.4,326.1,24.1,203.8,621.9,0.191,0.291,8.593
1.15,274.2,321.2,24.1,203.5,706.9,0.232,0.374,8.594
1.2,275.2,315.4,24.1,203.4,764.0,0.25,0.415,8.597
1.25,275.7,312.1,24.1,203.3,813.7,0.36,0.389,8.601
1.3,295.7,334.5,24.1,203.3,870.1,0.387,0.486,8.595
1.35,317.8,353.7,24.1,203.0,928.0,0.413,0.561,8.607
1.4,327.5,360.1,24.1,203.0,997.7,0.503,0.861,8.606
1.45,365.3,401.3,24.1,202.7,1067.8,0.422,0.621,8.598
1.5,356.9,371.4,24.1,202.7,1077.0,0.563,0.704,8.619
1.55,341.3,353.9,24.1,202.8,1003.7,0.669,1.13,8.661
1.6,353.6,358.1,24.1,203.0,906.8,0.675,0.907,8.61
1.65,351.1,346.9,24.1,203.3,821.1,0.596,0.712,8.604
1.7,355.8,350.9,24.1,203.4,752.9,0.863,0.861,8.615
1.75,357.1,338.4,24.1,203.5,711.6,0.721,0.808,8.617
1.8,341.1,344.8,24.1,203.5,694.7,0.712,0.697,8.628
1.85,344.7,349.8,24.1,203.5,707.6,0.667,0.716,8.638
1.9,345.0,345.3,24.1,203.5,743.8,0.603,0.765,8.629
1.95,337.0,351.8,24.1,203.4,781.1,0.594,0.698,8.626
2.0,346.1,355.1,24.1,203.4,810.8,0.611,0.652,8.602
2.05,341.5,347.3,24.1,203.3,823.5,0.693,0.757,8.62
2.1,341.9,358.8,24.1,203.3,824.3,0.673,0.73,8.638
2.15,346.1,349.4,24.1,203.3,802.5,0.671,0.718,8.61
2.2,350.5,349.0,24.1,203.4,781.8,0.58,0.725,8.627
2.25,342.4,353.9,24.1,203.3,765.7,0.537,0.75,8.627
2.3,345.8,348.8,24.1,203.5,760.8,0.685,0.862,8.642
2.35,339.8,344.5,24.1,203.4,766.6,0.677,0.832,8.629
2.4,343.0,350.9,24.1,203.4,774.7,0.71,0.694,8.613
2.45,343.8,350.0,24.1,203.4,789.2,0.579,0.746,8.633
2.5,337.1,353.0,24.1,203.4,794.1,0.634,0.674,8.629
2.55,345.4,352.1,24.1,203.4,795.8,0.699,0.709,8.616
2.6,349.2,349.2,24.1,203.5,788.8,0.693,0.755,8.631
2.65,340.1,352.4,24.1,203.3,778.7,0.63,0.879,8.608
2.7,349.2,350.4,24.1,203.4,776.9,0.572,0.733,8.618
2.75,315.9,322.4,24.1,203.4,771.0,0.687,0.773,8.624
2.8,315.4,295.9,24.1,203.7,675.1,0.901,1.164,8.634
2.85,312.0,277.7,24.1,204.0,539.8,0.513,0.83,8.608
2.9,252.5,265.4,24.1,204.2,416.0,0.418,0.797,8.599
2.95,184.6,204.7,24.1,204.4,349.9,0.355,0.424,8.597
3.0,141.4,139.7,24.1,204.4,352.4,0.262,0.466,8.593
3.05,101.7,116.4,24.1,204.3,360.4,0.195,0.354,8.6
3.1,87.8,55.1,24.1,204.3,344.7,0.212,0.325,8.59
3.15,90.2,39.5,24.1,204.4,329.7,0.135,0.211,8.596
3.2,69.5,52.8,24.1,204.5,318.8,0.118,0.186,8.598
3.25,33.9,27.9,24.1,204.5,320.1,0.096,0.213,8.595
3.3,55.5,47.9,24.1,204.6,326.5,0.282,0.342,8.599
3.35,112.4,116.0,24.1,204.4,344.2,0.112,0.285,8.599
3.4,129.4,164.1,24.1,204.3,363.6,0.08,0.155,8.595
3.45,119.6,174.3,24.1,204.2,392.5,0.123,0.196,8.593
3.5,97.2,144.6,24.1,204.2,402.5,0.133,0.226,8.597
3.55,74.7,114.5,24.1,204.2,399.8,0.105,0.218,8.598
3.6,60.0,95.9,24.1,204.3,387.4,0.11,0.241,8.599
3.65,52.8,86.3,24.1,204.3,380.9,0.107,0.193,8.596
3.7,55.6,80.3,24.1,204.3,371.7,0.109,0.225,8.594
3.75,55.0,83.2,24.1,204.3,372.7,0.102,0.171,8.598
3.8,57.8,84.3,24.1,204.3,369.0,0.098,0.2,8.592
3.85,60.9,90.2,24.1,204.3,372.8,0.102,0.174,8.598
3.9,61.0,98.7,24.1,204.3,373.5,0.103,0.189,8.595
3.95,64.8,102.4,24.1,204.3,378.0,0.107,0.192,8.595
4.0,61.1,99.5,24.1,204.3,379.5,0.096,0.18,8.595
4.05,61.8,106.1,24.1,204.3,382.7,0.104,0.207,8.597
4.1,66.0,102.7,24.1,204.4,381.7,0.096,0.193,8.593
4.15,69.3,96.4,24.1,204.3,382.6,0.11,0.207,8.598
4.2,215.6,105.0,24.1,204.3,377.4,2.184,3.193,9.37
4.25,287.8,312.3,24.1,204.3,348.9,4.702,6.991,8.871
4.3,113.1,103.6,24.1,204.4,320.8,0.257,0.417,8.593
4.35,31.0,11.6,24.1,204.5,312.3,0.105,0.194,8.606
4.4,9.9,10.2,24.1,204.6,304.1,0.087,0.217,8.589
4.45,9.9,10.2,24.1,204.5,301.7,0.042,0.112,8.604
4.5,9.6,10.2,24.1,204.5,295.5,0.065,0.215,8.589
4.55,9.9,10.2,24.1,204.4,295.0,0.047,0.094,8.602
4.6,8.7,10.7,24.1,204.5,290.1,0.067,0.216,8.592
4.65,8.9,9.9,24.1,204.4,294.5,0.046,0.095,8.6
4.7,9.7,9.2,24.1,204.5,289.9,0.047,0.205,8.594
4.75,9.5,11.0,24.1,204.5,290.8,0.053,0.117,8.599
4.8,9.9,9.7,24.1,204.6,285.4,0.054,0.184,8.596
4.85,9.7,10.1,24.1,204.6,288.6,0.05,0.13,8.597
4.9,9.4,10.1,24.1,204.6,285.7,0.062,0.188,8.597
4.95,10.1,10.6,24.1,204.6,286.1,0.044,0.138,8.601
5.0,10.1,10.5,24.1,204.6,283.9,0.052,0.177,8.591
5.05,10.4,11.2,24.1,204.6,287.1,0.047,0.159,8.598
5.1,11.2,10.4,24.1,204.7,285.3,0.047,0.161,8.595
5.15,9.7,10.0,24.1,204.7,289.9,0.046,0.159,8.597
5.2,9.4,11.0,24.1,204.7,288.5,0.046,0.164,8.599
5.25,9.7,10.3,24.1,204.6,291.9,0.043,0.16,8.597
5.3,9.3,11.1,24.1,204.7,289.7,0.045,0.15,8.597
5.35,10.3,10.8,24.1,204.7,293.4,0.049,0.183,8.595
5.4,10.1,10.6,24.1,204.8,291.4,0.039,0.108,8.6
5.45,9.6,10.4,24.1,204.7,294.3,0.048,0.213,8.593
5.5,9.8,9.6,24.1,204.8,292.3,0.039,0.107,8.599
5.55,10.5,10.3,24.1,204.7,293.4,0.058,0.197,8.595
5.6,9.7,10.9,24.1,204.9,290.0,0.044,0.118,8.602
5.65,9.6,10.3,24.1,204.8,287.5,0.051,0.186,8.594
5.7,9.7,8.9,24.1,204.9,284.8,0.042,0.126,8.597
5.75,9.4,10.0,24.1,204.9,285.1,0.052,0.183,8.594
5.8,10.3,10.4,24.1,205.0,282.4,0.04,0.141,8.599
5.85,9.5,10.6,24.1,204.9,283.7,0.057,0.16,8.597
5.9,10.5,11.0,24.1,204.9,280.5,0.05,0.152,8.595
5.95,10.4,10.0,24.1,204.9,283.2,0.047,0.152,8.599
6.0,9.5,10.0,24.1,204.9,281.8,0.049,0.151,8.597
6.05,9.3,10.7,24.1,204.8,284.4,0.049,0.156,8.597
6.1,9.3,9.0,24.1,204.9,282.0,0.047,0.15,8.595
6.15,10.7,10.4,24.1,204.8,284.3,0.044,0.127,8.601
6.2,10.3,10.3,24.1,204.9,284.1,0.05,0.166,8.589
6.25,9.9,10.5,24.1,204.8,287.8,0.042,0.137,8.596
6.3,10.0,10.6,24.1,204.8,285.8,0.049,0.154,8.597
6.35,9.2,11.0,24.1,204.6,287.5,0.044,0.139,8.601
6.4,10.4,10.7,24.1,204.8,285.7,0.049,0.167,8.597
6.45,9.6,10.4,24.1,204.6,288.0,0.043,0.129,8.594
6.5,9.3,9.7,24.1,204.7,286.5,0.052,0.167,8.594
6.55,9.2,10.2,24.1,204.7,285.9,0.047,0.135,8.6
6.6,10.2,10.5,24.1,204.7,285.1,0.048,0.149,8.593
6.65,9.9,10.8,24.1,204.6,289.0,0.047,0.137,8.598
6.7,10.2,10.6,24.1,204.7,286.7,0.042,0.16,8.597
6.75,11.2,10.3,24.1,204.6,286.7,0.042,0.134,8.597
6.8,10.4,9.8,24.1,204.6,285.8,0.049,0.173,8.597
6.85,9.7,10.9,24.1,204.6,287.2,0.046,0.148,8.6
6.9,10.4,11.0,24.1,204.7,287.5,0.046,0.152,8.594
6.95,10.4,10.0,24.1,204.7,290.6,0.047,0.179,8.602
7.0,9.5,10.6,24.1,204.7,288.7,0.041,0.119,8.593
7.05,9.2,10.4,24.1,204.7,289.0,0.048,0.195,8.6
7.1,10.4,10.1,24.1,204.7,286.8,0.04,0.102,8.597
7.15,9.8,11.5,24.1,204.6,288.4,0.049,0.201,8.599
7.2,10.3,9.8,24.1,204.6,287.8,0.039,0.13,8.597
7.25,10.9,10.6,24.1,204.5,289.8,0.052,0.193,8.594
7.3,10.6,10.0,24.1,204.6,288.1,0.043,0.163,8.594
7.35,9.2,9.7,24.1,204.5,289.0,0.05,0.168,8.597
7.4,9.3,9.5,24.1,204.6,289.8,0.052,0.195,8.594
7.45,9.9,10.1,24.1,204.5,290.2,0.046,0.151,8.601
7.5,9.0,10.2,24.1,204.6,287.9,0.054,0.214,8.592
7.55,10.1,10.0,24.1,204.4,289.0,0.042,0.117,8.597
7.6,9.5,10.1,24.1,204.6,287.1,0.057,0.22,8.597
7.65,9.5,10.4,24.1,204.4,284.2,0.032,0.088,8.595
7.7,9.1,10.2,24.1,204.6,282.5,0.056,0.21,8.591
7.75,9.1,10.8,24.1,204.4,283.0,0.038,0.109,8.597
7.8,9.7,10.7,24.1,204.5,282.5,0.046,0.18,8.595
7.85,9.7,10.5,24.1,204.4,283.5,0.043,0.122,8.597
7.9,10.3,11.6,24.1,204.5,283.5,0.05,0.172,8.591
7.95,10.0,10.5,24.1,204.4,286.7,0.04,0.12,8.595
8.0,10.3,10.8,24.1,204.5,286.3,0.051,0.192,8.597
8.05,10.3,10.9,24.1,204.4,288.5,0.039,0.112,8.595
8.1,10.1,9.1,24.1,204.5,288.2,0.053,0.183,8.595
8.15,9.3,10.7,24.1,204.4,288.8,0.047,0.131,8.596
8.2,10.7,10.4,24.1,204.5,287.9,0.051,0.171,8.593
