# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 22:43:49
動作種別,開動作
温度[℃],34.8
湿度[%RH],44.7
気圧[hPa],1014
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,10.1,24.1,204.2,286.0,0.027,0.147,8.591
0.1,9.7,10.0,24.1,204.1,280.6,0.04,0.156,8.584
0.15,9.6,11.1,24.1,204.2,286.5,0.048,0.142,8.596
0.2,9.5,10.9,24.1,204.1,279.8,0.062,0.155,8.591
0.25,9.4,9.6,24.1,204.0,285.2,0.048,0.147,8.597
0.3,10.0,10.9,24.1,204.1,279.8,0.039,0.156,8.588
0.35,10.7,9.7,24.1,204.1,286.5,0.029,0.163,8.59
0.4,9.8,10.2,24.1,204.1,280.1,0.041,0.163,8.584
0.45,10.0,10.4,24.1,204.1,286.0,0.048,0.153,8.597
0.5,9.1,10.1,24.1,204.1,281.2,0.054,0.148,8.593
0.55,9.7,10.3,24.1,204.2,288.2,0.048,0.138,8.595
0.6,9.6,9.9,24.1,204.1,283.2,0.041,0.152,8.59
0.65,11.0,10.8,24.1,204.1,288.8,0.033,0.162,8.588
0.7,9.9,10.7,24.1,204.1,283.7,0.043,0.157,8.586
0.75,9.6,10.5,24.1,204.2,288.5,0.048,0.158,8.59
0.8,9.1,10.6,24.1,204.1,283.4,0.05,0.134,8.594
0.85,148.7,138.1,24.1,204.0,300.8,0.889,1.099,8.664
0.9,259.2,340.4,24.1,203.8,357.2,0.166,0.175,8.585
0.95,127.2,161.8,24.1,203.6,410.1,0.347,0.3,8.594
1.0,194.7,203.6,24.1,203.7,413.5,0.136,0.19,8.585
1.05,238.2,269.6,24.1,203.5,470.1,0.145,0.2,8.594
1.1,268.4,297.0,24.1,203.4,560.8,0.208,0.284,8.594
1.15,267.6,314.3,24.1,203.1,638.9,0.185,0.319,8.593
1.2,254.6,306.4,24.1,203.0,709.9,0.262,0.381,8.585
1.25,276.1,315.7,24.1,202.8,770.4,0.317,0.396,8.604
1.3,287.9,329.9,24.1,202.8,824.5,0.312,0.406,8.598
1.35,295.2,337.4,24.1,202.7,889.1,0.349,0.49,8.608
1.4,325.3,365.5,24.1,202.5,958.7,0.415,0.662,8.585
1.45,353.2,384.3,24.1,202.4,1024.2,0.456,0.766,8.622
1.5,359.5,391.5,24.1,202.3,1093.4,0.462,0.588,8.597
1.55,345.8,371.9,24.1,202.4,1052.3,0.659,0.723,8.629
1.6,351.5,353.1,24.1,202.6,961.9,0.72,0.934,8.656
1.65,347.5,355.2,24.1,202.8,866.3,0.674,0.842,8.597
1.7,360.6,350.8,24.1,202.9,785.6,0.743,0.826,8.633
1.75,353.7,353.2,24.1,203.0,733.2,0.824,0.872,8.605
1.8,352.0,351.9,24.1,203.0,700.8,0.842,0.801,8.638
1.85,350.5,347.9,24.1,203.1,696.9,0.731,0.766,8.637
1.9,336.5,353.5,24.1,203.0,722.8,0.614,0.882,8.619
1.95,343.1,353.1,24.1,202.9,757.3,0.64,0.757,8.625
2.0,348.9,353.4,24.1,202.9,796.3,0.544,0.714,8.597
2.05,342.8,356.5,24.1,202.8,819.3,0.624,0.704,8.621
2.1,342.7,355.8,24.1,202.8,830.5,0.685,0.755,8.604
2.15,354.7,354.7,24.1,202.7,830.7,0.701,0.823,8.639
2.2,341.1,351.2,24.1,202.8,810.5,0.654,0.728,8.608
2.25,348.9,352.2,24.1,202.9,793.3,0.569,0.694,8.636
2.3,348.2,350.1,24.1,203.0,782.8,0.639,0.801,8.604
2.35,343.4,354.6,24.1,203.0,780.7,0.626,0.779,8.638
2.4,349.2,349.1,24.1,202.9,787.1,0.593,0.655,8.614
2.45,343.1,351.8,24.1,202.9,797.9,0.604,0.805,8.64
2.5,343.5,358.2,24.1,202.9,807.4,0.627,0.688,8.59
2.55,347.0,347.6,24.1,202.9,810.7,0.66,0.739,8.625
2.6,343.4,359.8,24.1,203.0,802.3,0.685,0.836,8.642
2.65,349.1,349.9,24.1,202.9,786.2,0.623,0.816,8.609
2.7,346.9,349.5,24.1,203.0,777.9,0.583,0.641,8.621
2.75,342.4,354.4,24.1,202.9,772.2,0.621,0.9,8.614
2.8,305.3,293.9,24.1,203.1,721.5,0.711,0.94,8.619
2.85,319.0,283.5,24.1,203.4,596.7,1.068,1.018,8.613
2.9,308.4,271.6,24.1,203.7,464.8,0.482,0.607,8.591
2.95,221.8,229.6,24.1,203.8,368.8,0.409,0.62,8.593
3.0,175.4,169.9,24.1,204.0,344.9,0.262,0.398,8.585
3.05,125.2,124.7,24.1,203.9,353.4,0.228,0.399,8.59
3.1,81.9,83.4,24.1,203.9,350.5,0.192,0.341,8.587
3.15,92.5,31.9,24.1,204.0,331.7,0.158,0.217,8.591
3.2,71.8,51.2,24.1,204.0,315.8,0.117,0.221,8.584
3.25,40.9,41.6,24.1,204.1,316.1,0.122,0.181,8.591
3.3,31.0,33.2,24.1,204.1,319.0,0.184,0.265,8.589
3.35,74.2,86.6,24.1,204.1,333.9,0.136,0.276,8.595
3.4,114.3,150.8,24.1,204.0,354.0,0.076,0.179,8.591
3.45,119.5,171.2,24.1,203.9,380.9,0.109,0.176,8.591
3.5,105.7,156.9,24.1,203.9,395.7,0.118,0.212,8.586
3.55,85.3,126.3,24.1,203.8,395.1,0.099,0.186,8.594
3.6,67.9,104.9,24.1,203.9,385.4,0.124,0.235,8.585
3.65,54.6,91.1,24.1,203.9,374.7,0.122,0.242,8.59
3.7,50.9,81.2,24.1,203.8,363.2,0.105,0.202,8.585
3.75,51.4,83.6,24.1,203.7,359.1,0.115,0.212,8.59
3.8,53.7,86.4,24.1,203.8,355.1,0.079,0.182,8.591
3.85,56.7,91.1,24.1,203.8,357.6,0.091,0.201,8.594
3.9,60.8,98.2,24.1,203.8,359.1,0.097,0.172,8.586
3.95,64.8,101.0,24.1,203.8,366.9,0.086,0.198,8.589
4.0,69.5,102.0,24.1,203.9,370.7,0.085,0.176,8.587
4.05,69.1,102.5,24.1,203.8,377.5,0.1,0.201,8.592
4.1,71.1,101.2,24.1,203.9,380.2,0.096,0.181,8.587
4.15,67.1,98.1,24.1,203.9,383.6,0.099,0.201,8.592
4.2,61.8,99.4,24.1,204.0,383.7,0.107,0.198,8.588
4.25,325.7,213.4,24.1,204.0,366.5,4.181,4.247,9.025
4.3,186.7,225.8,24.1,204.1,332.4,0.44,1.16,8.587
4.35,53.9,47.9,24.1,204.2,318.5,0.131,0.295,8.593
4.4,17.4,9.5,24.1,204.3,306.6,0.092,0.17,8.586
4.45,10.1,10.5,24.1,204.1,303.2,0.081,0.178,8.596
4.5,9.9,9.9,24.1,204.2,295.2,0.05,0.166,8.586
4.55,9.5,10.1,24.1,204.1,294.0,0.044,0.15,8.592
4.6,10.0,9.7,24.1,204.2,288.9,0.047,0.164,8.591
4.65,9.5,9.9,24.1,204.2,287.8,0.044,0.153,8.593
4.7,9.8,9.4,24.1,204.2,286.4,0.042,0.155,8.587
4.75,10.8,9.5,24.1,204.1,288.2,0.045,0.153,8.593
4.8,10.3,10.1,24.1,204.1,284.1,0.043,0.159,8.588
4.85,9.8,10.6,24.1,204.1,284.9,0.041,0.141,8.593
4.9,10.0,10.2,24.1,204.2,283.3,0.044,0.172,8.585
4.95,9.7,9.7,24.1,204.1,286.1,0.042,0.137,8.593
5.0,9.6,9.8,24.1,204.2,283.9,0.049,0.168,8.588
5.05,9.0,10.6,24.1,204.2,286.8,0.043,0.129,8.596
5.1,9.8,11.0,24.1,204.3,285.8,0.048,0.17,8.587
5.15,10.2,10.1,24.1,204.2,290.2,0.036,0.128,8.595
5.2,10.7,9.6,24.1,204.3,290.0,0.046,0.178,8.586
5.25,9.8,10.4,24.1,204.2,294.1,0.039,0.131,8.594
5.3,10.2,9.6,24.1,204.3,292.2,0.047,0.17,8.586
5.35,10.1,10.3,24.1,204.2,296.6,0.043,0.153,8.594
5.4,9.3,9.8,24.1,204.4,295.1,0.04,0.153,8.585
5.45,9.9,10.9,24.1,204.3,297.0,0.042,0.151,8.595
5.5,9.8,10.6,24.1,204.4,294.9,0.046,0.146,8.592
5.55,10.5,10.3,24.1,204.2,296.6,0.056,0.161,8.587
5.6,9.8,11.2,24.1,204.3,295.1,0.041,0.137,8.586
5.65,11.1,10.4,24.1,204.2,295.0,0.045,0.169,8.591
5.7,10.3,9.5,24.1,204.2,289.9,0.042,0.134,8.588
5.75,10.7,10.9,24.1,204.1,288.9,0.044,0.168,8.592
5.8,9.8,10.2,24.1,204.3,285.0,0.043,0.147,8.585
5.85,10.0,9.8,24.1,204.2,284.2,0.046,0.151,8.595
5.9,9.5,10.5,24.1,204.3,281.9,0.047,0.156,8.593
5.95,8.7,11.0,24.1,204.1,282.8,0.042,0.149,8.593
6.0,9.7,9.9,24.1,204.1,279.1,0.042,0.153,8.588
6.05,10.1,9.1,24.1,204.0,278.7,0.043,0.154,8.592
6.1,9.4,11.0,24.1,204.1,277.7,0.042,0.155,8.592
6.15,10.0,10.3,24.1,204.1,279.4,0.044,0.147,8.593
6.2,9.7,11.0,24.1,204.0,277.4,0.042,0.152,8.588
6.25,10.3,11.0,24.1,204.0,280.8,0.044,0.153,8.594
6.3,10.0,10.2,24.1,204.1,280.0,0.044,0.151,8.592
6.35,9.0,10.6,24.1,204.0,282.9,0.044,0.157,8.592
6.4,9.9,10.3,24.1,204.1,283.8,0.045,0.142,8.59
6.45,10.6,9.9,24.1,204.1,286.9,0.043,0.164,8.591
6.5,10.3,11.4,24.1,204.2,285.5,0.037,0.136,8.593
6.55,9.6,10.2,24.1,204.1,289.7,0.044,0.175,8.589
6.6,10.5,9.5,24.1,204.2,288.0,0.039,0.125,8.59
6.65,10.5,10.0,24.1,204.1,291.9,0.044,0.177,8.587
6.7,10.5,10.5,24.1,204.2,293.4,0.045,0.137,8.59
6.75,11.5,12.1,24.1,204.1,296.6,0.044,0.168,8.592
6.8,10.1,10.1,24.1,204.2,295.1,0.043,0.142,8.587
6.85,10.0,9.6,24.1,204.1,297.7,0.044,0.153,8.593
6.9,11.3,11.4,24.1,204.2,295.1,0.039,0.161,8.587
6.95,9.1,10.5,24.1,204.1,297.1,0.039,0.138,8.592
7.0,10.4,10.4,24.1,204.2,294.5,0.045,0.17,8.587
7.05,9.8,9.6,24.1,204.0,296.0,0.039,0.123,8.594
7.1,10.7,9.8,24.1,204.1,293.3,0.046,0.187,8.587
7.15,9.5,9.7,24.1,204.0,295.5,0.038,0.123,8.593
7.2,9.8,10.7,24.1,204.1,291.9,0.047,0.181,8.591
7.25,10.9,10.7,24.1,204.0,292.6,0.042,0.133,8.595
7.3,10.5,9.8,24.1,204.1,290.2,0.044,0.165,8.587
7.35,10.1,9.5,24.1,203.9,291.1,0.042,0.142,8.597
7.4,9.7,9.8,24.1,204.0,288.7,0.046,0.164,8.587
7.45,10.2,9.9,24.1,203.9,289.8,0.041,0.134,8.593
7.5,9.6,10.5,24.1,204.0,286.8,0.046,0.175,8.588
7.55,11.2,10.5,24.1,203.9,287.9,0.042,0.139,8.595
