# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 16:23:55
動作種別,開動作
温度[℃],39.0
湿度[%RH],36.2
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.0,10.4,24.1,204.4,289.0,0.046,0.13,8.603
0.1,10.0,11.3,24.1,204.4,283.5,0.051,0.157,8.597
0.15,10.2,9.9,24.1,204.5,288.6,0.046,0.142,8.603
0.2,8.9,10.7,24.1,204.5,282.7,0.048,0.14,8.602
0.25,9.5,11.0,24.1,204.5,287.6,0.052,0.154,8.601
0.3,9.1,11.7,24.1,204.5,282.7,0.052,0.138,8.599
0.35,9.3,10.5,24.1,204.5,288.8,0.049,0.154,8.599
0.4,9.6,11.3,24.1,204.6,283.1,0.051,0.142,8.597
0.45,8.7,11.9,24.1,204.6,287.4,0.045,0.155,8.599
0.5,9.3,10.4,24.1,204.6,281.9,0.051,0.129,8.603
0.55,9.8,9.9,24.1,204.6,286.0,0.047,0.142,8.602
0.6,9.6,10.5,24.1,204.5,281.0,0.05,0.138,8.6
0.65,9.2,10.9,24.1,204.6,285.8,0.046,0.142,8.606
0.7,9.0,10.4,24.1,204.5,281.4,0.052,0.154,8.6
0.75,9.5,10.7,24.1,204.6,285.9,0.05,0.133,8.606
0.8,9.6,9.8,24.1,204.5,281.4,0.06,0.16,8.601
0.85,9.4,11.1,24.1,204.6,287.0,0.047,0.13,8.608
0.9,12.7,13.1,24.1,204.5,280.7,0.049,0.156,8.602
0.95,166.0,152.8,24.1,204.4,298.3,0.264,0.303,8.608
1.0,258.8,389.3,24.1,204.2,374.7,0.207,0.173,8.591
1.05,115.0,193.3,24.1,204.1,451.4,0.433,0.282,8.614
1.1,186.2,183.7,24.1,204.1,425.5,0.113,0.167,8.605
1.15,238.6,251.2,24.1,204.0,467.7,0.185,0.223,8.598
1.2,270.1,291.8,24.1,203.8,555.3,0.188,0.235,8.598
1.25,270.0,309.0,24.1,203.6,646.1,0.214,0.273,8.609
1.3,258.6,313.1,24.1,203.4,722.1,0.298,0.341,8.595
1.35,273.0,319.5,24.1,203.3,790.8,0.289,0.407,8.617
1.4,285.8,338.2,24.1,203.2,842.4,0.358,0.47,8.597
1.45,290.5,341.5,24.1,203.1,898.6,0.4,0.513,8.614
1.5,326.9,367.1,24.1,202.9,969.0,0.412,0.711,8.615
1.55,354.2,384.6,24.1,202.8,1028.8,0.478,0.798,8.622
1.6,351.8,386.1,24.1,202.6,1083.2,0.497,0.744,8.609
1.65,342.3,364.2,24.1,202.8,1033.1,0.685,0.921,8.635
1.7,346.7,349.1,24.1,203.1,940.9,0.707,0.945,8.648
1.75,343.1,353.1,24.1,203.3,847.7,0.68,0.798,8.622
1.8,357.0,350.0,24.1,203.4,775.5,0.657,0.814,8.636
