# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 08:24:22
動作種別,開動作
温度[℃],36.6
湿度[%RH],41.9
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.0,11.0,24.1,206.8,286.2,0.041,0.152,8.597
0.1,11.6,9.5,24.1,206.8,281.6,0.055,0.148,8.593
0.15,10.6,11.1,24.1,206.8,287.9,0.053,0.147,8.597
0.2,9.4,10.8,24.1,206.8,282.1,0.051,0.158,8.591
0.25,10.3,10.4,24.1,206.9,287.6,0.04,0.145,8.597
0.3,8.6,9.7,24.1,206.8,281.8,0.044,0.168,8.592
0.35,10.3,10.4,24.1,206.9,287.6,0.041,0.136,8.594
0.4,9.1,10.0,24.1,206.9,282.2,0.05,0.163,8.59
0.45,10.5,10.9,24.1,206.9,289.3,0.047,0.124,8.599
0.5,9.6,11.0,24.1,206.9,283.4,0.051,0.163,8.597
0.55,10.1,11.2,24.1,207.0,287.1,0.048,0.135,8.595
0.6,10.2,10.4,24.1,206.9,283.1,0.044,0.168,8.59
0.65,8.5,9.9,24.1,206.9,287.9,0.042,0.139,8.592
0.7,9.9,10.1,24.1,207.0,282.8,0.049,0.164,8.589
0.75,9.1,10.6,24.1,207.0,288.1,0.044,0.127,8.599
0.8,9.7,10.7,24.1,206.9,282.2,0.05,0.164,8.59
0.85,9.5,9.7,24.1,207.0,288.7,0.04,0.131,8.593
0.9,10.4,10.3,24.1,206.9,282.7,0.045,0.173,8.588
0.95,147.3,135.9,24.1,206.9,297.6,0.219,0.296,8.605
1.0,229.4,373.8,24.1,206.8,346.5,0.159,0.171,8.594
1.05,144.7,234.7,24.1,206.5,444.7,0.43,0.421,8.606
1.1,176.2,163.9,24.1,206.6,421.5,0.121,0.195,8.599
1.15,244.0,237.5,24.1,206.5,453.1,0.164,0.21,8.597
1.2,282.0,282.2,24.1,206.4,536.6,0.17,0.279,8.589
1.25,274.3,304.8,24.1,206.3,630.3,0.188,0.276,8.6
