# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 07:44:02
動作種別,開動作
温度[℃],31.6
湿度[%RH],51.5
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.8,9.9,24.1,205.9,294.4,0.07,0.18,8.589
0.1,10.2,10.2,24.1,206.0,291.5,0.102,0.17,8.581
0.15,9.3,10.6,24.1,206.0,295.4,0.085,0.174,8.585
0.2,10.3,10.1,24.1,206.0,289.7,0.092,0.178,8.581
0.25,10.5,9.5,24.1,206.0,293.2,0.073,0.166,8.585
0.3,11.1,10.3,24.1,206.1,286.6,0.061,0.181,8.582
0.35,10.3,9.7,24.1,206.0,291.6,0.051,0.162,8.585
0.4,9.7,9.7,24.1,206.0,285.0,0.045,0.182,8.576
0.45,10.6,9.4,24.1,206.0,288.1,0.028,0.155,8.59
0.5,9.5,10.3,24.1,206.0,281.8,0.042,0.173,8.577
0.55,11.3,10.0,24.1,205.9,287.6,0.046,0.146,8.584
0.6,11.0,9.3,24.1,206.0,282.8,0.056,0.172,8.581
0.65,10.4,9.3,24.1,205.9,288.6,0.051,0.155,8.586
0.7,10.6,9.7,24.1,205.9,284.9,0.044,0.183,8.581
0.75,10.5,9.5,24.1,205.8,291.5,0.035,0.174,8.579
0.8,10.7,10.6,24.1,205.9,287.2,0.036,0.172,8.578
0.85,10.3,9.9,24.1,205.9,293.7,0.048,0.167,8.586
0.9,9.4,10.8,24.1,205.8,288.4,0.049,0.142,8.583
0.95,147.7,135.1,24.1,205.8,300.6,0.21,0.274,8.592
1.0,265.9,364.8,24.1,205.7,356.5,0.168,0.173,8.58
1.05,136.1,232.8,24.1,205.6,451.8,0.389,0.389,8.581
1.1,174.9,173.4,24.1,205.5,424.2,0.133,0.168,8.584
1.15,238.0,245.6,24.1,205.4,451.8,0.17,0.235,8.58
1.2,272.1,290.3,24.1,205.2,527.9,0.229,0.308,8.587
1.25,268.3,311.8,24.1,205.0,616.2,0.234,0.389,8.586
1.3,260.0,316.2,24.1,204.8,700.2,0.256,0.376,8.584
1.35,280.8,323.7,24.1,204.7,777.0,0.352,0.423,8.585
1.4,294.7,335.7,24.1,204.6,835.8,0.328,0.347,8.582
1.45,295.5,340.0,24.1,204.5,901.2,0.367,0.568,8.59
1.5,333.2,372.6,24.1,204.4,965.9,0.403,0.665,8.588
1.55,353.5,389.6,24.1,204.2,1034.0,0.415,0.793,8.602
1.6,368.1,395.8,24.1,204.0,1099.1,0.52,0.577,8.59
1.65,345.4,373.3,24.1,204.2,1061.3,0.66,0.78,8.616
1.7,356.7,356.2,24.1,204.4,968.0,0.651,0.889,8.597
1.75,348.2,358.2,24.1,204.6,876.8,0.715,0.915,8.61
1.8,359.5,352.8,24.1,204.6,799.3,1.09,1.16,8.606
1.85,359.0,347.4,24.1,204.7,750.2,1.154,1.043,8.621
1.9,355.2,356.6,24.1,204.7,717.0,0.653,0.673,8.597
1.95,353.4,348.0,24.1,204.8,718.8,0.611,0.646,8.617
2.0,343.3,354.1,24.1,204.7,741.1,0.678,0.765,8.597
2.05,344.5,359.7,24.1,204.6,781.4,0.614,0.801,8.618
2.1,350.1,358.2,24.1,204.5,815.1,0.566,0.606,8.591
2.15,345.4,357.4,24.1,204.5,844.2,0.619,0.731,8.622
2.2,345.5,362.6,24.1,204.4,851.7,0.628,0.694,8.587
2.25,355.1,350.9,24.1,204.6,853.3,0.601,0.698,8.601
2.3,344.7,357.4,24.1,204.4,831.1,0.661,0.742,8.641
2.35,349.8,355.2,24.1,204.6,820.5,0.647,0.732,8.602
2.4,352.4,352.3,24.1,204.6,806.2,0.673,0.77,8.64
2.45,344.2,356.7,24.1,204.6,804.9,0.752,0.923,8.623
2.5,350.7,353.7,24.1,204.5,802.8,0.696,0.677,8.623
2.55,346.4,355.3,24.1,204.5,811.8,0.573,0.805,8.605
