# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 14:08:41
動作種別,開動作
温度[℃],39.9
湿度[%RH],34.2
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,8.8,9.8,24.1,204.5,298.8,0.053,0.122,8.605
0.1,9.9,11.1,24.1,204.5,293.4,0.055,0.162,8.608
0.15,10.6,10.4,24.1,204.5,296.1,0.046,0.11,8.608
0.2,9.1,10.8,24.1,204.4,287.7,0.052,0.167,8.6
0.25,9.3,10.5,24.1,204.4,288.7,0.047,0.137,8.606
0.3,8.6,10.2,24.1,204.3,279.6,0.051,0.161,8.6
0.35,10.0,10.3,24.1,204.3,282.4,0.051,0.143,8.604
0.4,8.5,10.0,24.1,204.2,275.2,0.054,0.153,8.604
0.45,9.5,11.6,24.1,204.2,282.9,0.048,0.138,8.605
0.5,9.5,11.0,24.1,204.3,278.7,0.047,0.144,8.597
0.55,9.8,10.9,24.1,204.4,287.4,0.049,0.138,8.604
0.6,10.1,10.4,24.1,204.4,283.7,0.048,0.147,8.599
0.65,9.1,9.7,24.1,204.6,292.2,0.048,0.134,8.609
0.7,8.9,9.7,24.1,204.5,291.6,0.056,0.154,8.608
0.75,9.2,10.4,24.1,204.6,298.2,0.049,0.135,8.607
0.8,9.7,10.5,24.1,204.6,293.1,0.052,0.151,8.6
0.85,9.6,11.9,24.1,204.5,297.0,0.05,0.139,8.605
0.9,33.1,40.1,24.1,204.5,285.5,0.076,0.177,8.609
0.95,194.8,185.0,24.1,204.3,309.1,0.123,0.205,8.596
1.0,233.0,378.4,24.1,204.1,404.5,0.202,0.174,8.601
1.05,116.4,157.6,24.1,203.9,450.2,0.222,0.275,8.612
1.1,198.3,182.1,24.1,203.8,430.4,0.091,0.171,8.601
1.15,252.0,257.7,24.1,203.7,484.9,0.139,0.208,8.604
1.2,267.0,294.7,24.1,203.6,577.8,0.185,0.237,8.604
1.25,270.0,321.0,24.1,203.4,669.2,0.22,0.301,8.603
1.3,264.3,316.4,24.1,203.3,738.4,0.265,0.335,8.605
1.35,266.6,317.7,24.1,203.3,799.5,0.296,0.422,8.606
1.4,292.7,340.9,24.1,203.2,849.8,0.377,0.455,8.61
1.45,298.2,343.1,24.1,203.1,905.6,0.397,0.493,8.601
1.5,326.6,358.8,24.1,202.9,973.5,0.429,0.761,8.618
1.55,364.5,389.5,24.1,202.7,1035.1,0.503,0.702,8.624
1.6,350.1,383.4,24.1,202.7,1077.3,0.514,0.695,8.617
1.65,346.3,357.6,24.1,202.8,1012.1,0.634,0.937,8.664
1.7,340.5,354.4,24.1,203.0,919.9,0.751,0.957,8.608
1.75,347.5,347.3,24.1,203.1,833.1,0.608,0.805,8.626
1.8,355.5,350.6,24.1,203.2,764.1,0.778,0.801,8.601
1.85,345.7,344.7,24.1,203.3,719.3,0.827,0.806,8.642
1.9,347.4,341.4,24.1,203.4,694.2,0.687,0.698,8.623
1.95,339.0,346.2,24.1,203.4,695.4,0.718,0.599,8.62
2.0,340.5,348.5,24.1,203.4,727.9,0.574,0.659,8.621
2.05,342.8,347.0,24.1,203.3,768.6,0.582,0.628,8.63
2.1,336.3,354.0,24.1,203.4,807.7,0.558,0.651,8.617
2.15,335.8,349.1,24.1,203.4,831.2,0.658,0.714,8.632
2.2,348.1,351.8,24.1,203.5,837.1,0.572,0.796,8.624
2.25,332.3,351.5,24.1,203.4,832.0,0.663,0.72,8.639
2.3,340.0,343.9,24.1,203.4,802.4,0.659,0.754,8.61
2.35,346.3,350.9,24.1,203.5,787.9,0.565,0.683,8.624
2.4,341.9,348.5,24.1,203.5,778.0,0.583,0.747,8.637
2.45,344.6,344.0,24.1,203.4,774.5,0.654,0.628,8.632
2.5,338.0,349.5,24.1,203.5,777.6,0.617,0.591,8.62
2.55,341.0,351.3,24.1,203.3,790.9,0.574,0.711,8.629
2.6,342.8,344.9,24.1,203.4,792.5,0.703,0.728,8.642
2.65,335.3,350.4,24.1,203.4,791.7,0.579,0.69,8.614
2.7,341.9,349.2,24.1,203.5,785.7,0.699,0.688,8.618
2.75,342.6,345.4,24.1,203.6,779.7,0.6,0.675,8.632
2.8,335.3,349.9,24.1,203.7,776.9,0.632,0.621,8.635
2.85,335.0,333.9,24.1,203.7,777.1,0.655,0.668,8.623
2.9,305.5,287.8,24.1,204.0,698.9,0.699,0.962,8.635
2.95,312.4,276.3,24.1,204.2,567.6,0.488,0.663,8.607
3.0,287.4,265.7,24.1,204.5,442.3,0.431,0.635,8.602
3.05,204.0,214.2,24.1,204.6,359.2,0.309,0.435,8.608
3.1,159.6,150.3,24.1,204.8,349.2,0.298,0.41,8.6
3.15,112.7,119.9,24.1,204.7,355.0,0.235,0.294,8.605
3.2,83.8,69.5,24.1,204.6,339.6,0.198,0.357,8.599
3.25,90.4,37.0,24.1,204.7,317.3,0.129,0.25,8.603
3.3,66.0,50.8,24.1,204.6,304.1,0.142,0.228,8.603
3.35,42.1,33.6,24.1,204.7,308.5,0.121,0.198,8.606
3.4,44.1,42.3,24.1,204.8,316.3,0.247,0.36,8.606
3.45,90.0,103.1,24.1,204.8,336.9,0.178,0.353,8.605
3.5,122.9,161.2,24.1,204.9,365.6,0.097,0.163,8.599
3.55,122.5,170.7,24.1,204.8,393.9,0.118,0.186,8.606
3.6,102.8,149.8,24.1,204.8,408.6,0.149,0.229,8.597
3.65,85.5,116.2,24.1,204.8,411.1,0.106,0.217,8.609
3.7,63.8,102.6,24.1,204.8,400.4,0.113,0.2,8.598
3.75,54.1,91.5,24.1,204.8,395.8,0.113,0.194,8.607
3.8,53.7,86.6,24.1,204.9,386.0,0.125,0.212,8.599
3.85,50.1,85.3,24.1,204.8,379.2,0.116,0.195,8.601
3.9,54.6,85.3,24.1,204.8,370.3,0.093,0.183,8.61
3.95,62.1,91.9,24.1,204.7,368.8,0.1,0.183,8.599
4.0,65.3,100.7,24.1,204.7,368.5,0.098,0.181,8.597
4.05,66.9,99.4,24.1,204.6,373.5,0.116,0.188,8.606
4.1,71.4,101.9,24.1,204.7,373.8,0.093,0.206,8.597
4.15,61.7,105.5,24.1,204.7,377.1,0.105,0.174,8.601
4.2,56.7,105.1,24.1,204.9,379.6,0.089,0.184,8.599
4.25,59.2,99.4,24.1,204.8,381.6,0.097,0.193,8.606
4.3,54.8,97.0,24.1,205.0,380.1,0.112,0.179,8.597
4.35,290.4,294.8,24.1,205.0,357.6,5.287,7.275,9.394
4.4,185.5,150.4,24.1,205.1,330.0,0.322,0.708,8.601
4.45,53.6,23.5,24.1,205.1,319.9,0.15,0.248,8.606
4.5,12.4,10.1,24.1,205.2,307.7,0.1,0.166,8.605
4.55,9.5,9.9,24.1,205.1,300.9,0.073,0.179,8.606
4.6,8.6,9.6,24.1,205.2,288.7,0.067,0.153,8.605
4.65,9.9,10.6,24.1,205.0,282.4,0.057,0.138,8.605
4.7,9.8,11.0,24.1,205.1,274.4,0.052,0.168,8.601
4.75,9.2,10.7,24.1,205.0,271.3,0.053,0.131,8.599
4.8,9.9,9.8,24.1,205.0,271.5,0.063,0.171,8.6
4.85,10.2,10.2,24.1,204.9,274.6,0.047,0.123,8.606
4.9,10.0,9.3,24.1,205.1,275.9,0.057,0.171,8.598
4.95,9.4,10.4,24.1,205.1,285.3,0.047,0.115,8.606
5.0,9.1,10.5,24.1,205.3,288.0,0.076,0.177,8.599
5.05,9.8,11.3,24.1,205.2,295.7,0.044,0.113,8.609
5.1,9.4,10.8,24.1,205.4,297.7,0.07,0.167,8.601
5.15,9.6,10.8,24.1,205.2,301.6,0.054,0.121,8.602
5.2,10.2,10.7,24.1,205.4,300.6,0.052,0.154,8.606
5.25,10.4,10.0,24.1,205.3,297.3,0.051,0.135,8.604
5.3,10.0,10.1,24.1,205.3,293.2,0.05,0.152,8.603
5.35,9.4,11.2,24.1,205.2,291.6,0.046,0.136,8.605
5.4,9.3,9.3,24.1,205.3,282.7,0.049,0.145,8.597
5.45,10.3,10.3,24.1,205.2,280.0,0.057,0.156,8.61
5.5,8.9,10.1,24.1,205.2,273.3,0.049,0.134,8.597
5.55,9.9,10.9,24.1,205.0,275.5,0.048,0.156,8.607
5.6,10.0,10.2,24.1,205.2,276.7,0.047,0.136,8.601
5.65,10.5,9.8,24.1,205.2,280.6,0.05,0.144,8.6
5.7,10.7,11.0,24.1,205.3,283.9,0.052,0.145,8.6
5.75,9.9,11.1,24.1,205.2,287.9,0.049,0.139,8.605
5.8,8.9,10.8,24.1,205.3,293.4,0.051,0.143,8.602
5.85,9.4,11.2,24.1,205.3,297.5,0.052,0.135,8.61
5.9,9.1,10.7,24.1,205.4,298.3,0.057,0.164,8.601
5.95,9.1,9.6,24.1,205.4,301.3,0.048,0.127,8.607
6.0,9.8,10.0,24.1,205.5,297.5,0.056,0.168,8.6
6.05,10.3,11.0,24.1,205.4,293.5,0.05,0.117,8.605
6.1,10.0,10.5,24.1,205.4,286.8,0.064,0.178,8.592
6.15,9.9,11.2,24.1,205.3,283.1,0.051,0.112,8.614
6.2,9.7,10.6,24.1,205.3,277.5,0.057,0.167,8.598
6.25,9.0,11.3,24.1,205.1,276.4,0.048,0.133,8.609
6.3,9.2,9.5,24.1,205.2,276.2,0.057,0.155,8.597
6.35,9.5,9.8,24.1,205.1,274.1,0.054,0.141,8.606
6.4,8.6,10.7,24.1,205.3,275.4,0.052,0.145,8.601
6.45,8.9,11.2,24.1,205.2,280.6,0.051,0.142,8.604
6.5,9.1,10.5,24.1,205.4,283.8,0.053,0.147,8.601
