# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 19:07:01
動作種別,開動作
温度[℃],38.0
湿度[%RH],37.3
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.2,10.0,24.1,207.2,281.0,0.048,0.125,8.598
0.1,9.6,10.9,24.1,207.2,276.5,0.063,0.157,8.597
0.15,9.2,10.8,24.1,207.2,281.3,0.062,0.134,8.604
0.2,9.8,8.9,24.1,207.4,278.7,0.052,0.156,8.594
0.25,9.0,10.8,24.1,207.3,284.5,0.031,0.144,8.601
0.3,9.4,10.1,24.1,207.3,281.2,0.043,0.166,8.593
0.35,9.7,9.4,24.1,207.3,287.2,0.049,0.137,8.601
0.4,9.5,10.0,24.1,207.4,286.1,0.063,0.153,8.597
0.45,9.2,10.7,24.1,207.3,293.0,0.053,0.118,8.603
0.5,9.6,10.0,24.1,207.4,289.8,0.049,0.155,8.597
0.55,10.0,11.0,24.1,207.5,297.2,0.038,0.144,8.597
0.6,9.1,10.9,24.1,207.5,292.6,0.042,0.169,8.597
0.65,10.1,9.8,24.1,207.6,299.0,0.047,0.145,8.598
0.7,8.8,10.5,24.1,207.6,295.4,0.054,0.144,8.596
0.75,8.9,11.0,24.1,207.7,299.6,0.055,0.137,8.604
0.8,87.3,78.8,24.1,207.7,297.6,1.228,1.158,8.717
0.85,242.2,248.9,24.1,207.5,334.1,0.105,0.187,8.596
0.9,200.6,315.6,24.1,207.4,445.7,0.399,0.296,8.597
0.95,132.6,158.9,24.1,207.3,446.1,0.212,0.286,8.605
1.0,210.1,222.9,24.1,207.3,454.2,0.141,0.173,8.597
1.05,259.8,280.8,24.1,207.2,525.4,0.184,0.222,8.606
1.1,256.7,297.3,24.1,206.9,614.2,0.196,0.276,8.594
1.15,275.1,306.0,24.1,206.8,696.8,0.255,0.328,8.592
1.2,278.2,315.3,24.1,206.7,760.1,0.235,0.35,8.593
1.25,275.7,314.7,24.1,206.5,817.6,0.311,0.368,8.601
1.3,293.0,337.3,24.1,206.4,876.9,0.442,0.442,8.596
1.35,318.5,355.3,24.1,206.2,932.2,0.358,0.58,8.605
1.4,322.9,362.4,24.1,206.0,995.4,0.474,0.722,8.606
1.45,363.3,397.8,24.1,205.8,1061.0,0.46,0.676,8.597
1.5,358.8,371.2,24.1,205.7,1066.7,0.578,0.748,8.6
