# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 16:00:12
動作種別,閉動作
温度[℃],39.1
湿度[%RH],34.0
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.1,10.8,24.1,204.9,281.9,0.048,0.131,8.604
0.1,8.4,9.2,24.1,204.9,280.0,0.049,0.155,8.597
0.15,8.9,9.8,24.1,204.8,287.1,0.051,0.14,8.602
0.2,9.1,10.3,24.1,204.9,286.0,0.051,0.15,8.601
0.25,10.1,10.4,24.1,204.8,292.2,0.05,0.137,8.605
0.3,8.9,10.0,24.1,204.8,291.6,0.047,0.146,8.599
0.35,8.4,10.5,24.1,204.8,295.7,0.051,0.144,8.608
0.4,10.1,10.4,24.1,204.9,292.4,0.049,0.149,8.598
0.45,8.8,10.0,24.1,204.8,296.6,0.051,0.145,8.603
0.5,8.6,10.2,24.1,204.8,289.8,0.05,0.138,8.599
0.55,8.6,10.2,24.1,204.9,293.4,0.046,0.15,8.603
0.6,9.2,9.9,24.1,204.9,289.2,0.049,0.143,8.598
0.65,9.3,10.5,24.1,204.9,290.4,0.045,0.145,8.603
0.7,10.3,11.3,24.1,204.9,284.5,0.051,0.139,8.602
0.75,9.2,10.0,24.1,204.8,286.0,0.052,0.147,8.605
0.8,9.2,10.4,24.1,204.7,280.8,0.048,0.137,8.597
0.85,9.0,10.9,24.1,204.7,280.7,0.049,0.153,8.602
0.9,28.0,23.0,24.1,204.7,274.5,0.062,0.156,8.6
0.95,187.6,155.8,24.1,204.6,295.8,2.305,2.885,8.665
1.0,383.1,349.8,24.1,204.4,411.9,0.255,0.403,8.604
1.05,149.3,127.5,24.1,204.3,486.3,0.352,0.667,8.603
1.1,183.5,164.9,24.1,204.3,440.6,0.197,0.288,8.6
1.15,241.6,221.1,24.1,204.3,476.3,0.21,0.331,8.598
1.2,274.5,248.6,24.1,204.2,548.1,0.168,0.371,8.601
1.25,294.9,267.5,24.1,204.1,631.4,0.265,0.32,8.602
1.3,300.8,275.1,24.1,203.9,702.9,0.378,0.592,8.601
1.35,300.3,269.7,24.1,203.7,767.9,0.422,0.865,8.595
1.4,321.0,292.4,24.1,203.6,825.7,0.455,0.689,8.604
1.45,323.1,292.5,24.1,203.4,877.6,0.545,0.765,8.605
1.5,350.5,316.0,24.1,203.3,941.8,0.627,1.079,8.605
1.55,371.6,331.8,24.1,203.2,991.1,0.742,1.115,8.602
1.6,353.1,331.8,24.1,203.1,1023.8,0.691,1.16,8.61
1.65,346.2,311.0,24.1,203.2,961.4,0.69,0.971,8.624
1.7,335.4,307.9,24.1,203.4,868.8,0.843,1.176,8.597
1.75,343.4,309.0,24.1,203.6,787.5,0.806,0.858,8.606
1.8,337.1,310.1,24.1,203.8,719.4,0.625,0.707,8.589
1.85,332.8,315.8,24.1,203.9,683.0,0.621,0.727,8.613
1.9,338.7,311.4,24.1,203.9,666.9,0.76,0.642,8.608
1.95,334.7,308.3,24.1,203.9,674.5,0.71,0.717,8.611
2.0,334.8,305.6,24.1,203.8,699.9,0.521,0.582,8.612
2.05,342.8,305.2,24.1,203.8,732.4,0.54,0.644,8.597
2.1,339.1,304.8,24.1,203.7,768.5,0.487,0.647,8.606
2.15,336.9,306.9,24.1,203.6,786.1,0.64,0.736,8.608
2.2,342.5,303.0,24.1,203.5,790.6,0.72,0.857,8.61
2.25,332.0,311.0,24.1,203.5,781.7,0.62,0.577,8.607
2.3,340.0,310.2,24.1,203.7,764.7,0.564,0.597,8.606
2.35,335.5,301.8,24.1,203.6,745.4,0.582,0.535,8.609
2.4,334.2,311.5,24.1,203.6,727.8,0.534,0.49,8.599
2.45,340.3,302.6,24.1,203.7,726.3,0.559,0.582,8.617
2.5,334.2,306.4,24.1,203.7,729.5,0.584,0.47,8.609
2.55,339.0,305.4,24.1,203.7,741.1,0.458,0.424,8.585
2.6,339.4,299.4,24.1,203.7,753.1,0.558,0.597,8.608
2.65,333.7,303.9,24.1,203.7,766.9,0.45,0.481,8.597
2.7,320.4,286.2,24.1,203.7,757.4,0.529,0.57,8.619
2.75,292.2,256.5,24.1,204.1,655.6,0.803,1.012,8.659
2.8,281.7,261.0,24.1,204.3,515.6,0.387,0.594,8.633
2.85,278.3,257.8,24.1,204.6,411.1,0.365,0.749,8.603
2.9,217.4,174.3,24.1,204.8,341.7,0.357,0.354,8.591
2.95,147.2,119.7,24.1,204.8,344.5,0.281,0.276,8.597
3.0,118.0,91.1,24.1,204.8,350.4,0.179,0.28,8.597
3.05,56.3,56.3,24.1,204.9,349.9,0.292,0.529,8.614
3.1,57.8,65.6,24.1,204.9,324.7,0.17,0.236,8.594
3.15,65.3,78.7,24.1,205.0,320.0,0.107,0.186,8.606
3.2,34.3,44.5,24.1,204.9,310.7,0.114,0.183,8.595
3.25,66.3,27.1,24.1,204.9,324.9,0.274,0.265,8.612
3.3,140.9,80.9,24.1,204.8,338.0,0.114,0.205,8.592
3.35,168.1,129.2,24.1,204.8,370.5,0.066,0.142,8.605
3.4,168.1,138.6,24.1,204.7,390.5,0.09,0.156,8.6
3.45,139.4,126.3,24.1,204.7,406.6,0.086,0.164,8.602
3.5,110.4,104.4,24.1,204.6,396.2,0.082,0.143,8.596
3.55,97.4,77.3,24.1,204.6,393.5,0.091,0.162,8.6
3.6,79.2,71.2,24.1,204.6,376.2,0.072,0.151,8.602
3.65,86.6,58.7,24.1,204.7,373.9,0.086,0.157,8.601
3.7,94.3,52.7,24.1,204.7,366.7,0.075,0.147,8.602
3.75,94.9,57.5,24.1,204.8,371.6,0.079,0.163,8.598
3.8,106.4,62.1,24.1,204.7,368.9,0.081,0.145,8.604
3.85,113.4,68.5,24.1,204.8,377.2,0.078,0.154,8.601
3.9,107.8,77.9,24.1,204.7,376.2,0.079,0.147,8.599
3.95,111.5,84.1,24.1,204.7,385.5,0.076,0.162,8.601
4.0,109.6,84.5,24.1,204.6,382.6,0.077,0.152,8.597
4.05,98.3,88.0,24.1,204.6,390.2,0.081,0.149,8.606
4.1,101.2,83.9,24.1,204.6,385.6,0.084,0.163,8.601
4.15,101.4,74.8,24.1,204.8,387.7,0.071,0.149,8.603
4.2,97.3,75.9,24.1,204.7,381.8,0.098,0.166,8.597
4.25,102.4,69.8,24.1,204.8,382.9,0.098,0.159,8.607
4.3,104.5,64.5,24.1,204.7,377.5,0.082,0.158,8.601
4.35,92.9,68.0,24.1,204.8,378.8,0.086,0.157,8.605
4.4,93.2,64.0,24.1,204.8,370.8,0.096,0.167,8.6
4.45,87.6,66.2,24.1,204.9,372.8,0.089,0.155,8.6
4.5,80.6,70.3,24.1,204.7,364.1,0.092,0.166,8.599
4.55,91.1,67.2,24.1,204.8,369.1,0.08,0.154,8.602
4.6,95.5,65.7,24.1,204.7,363.5,0.077,0.173,8.606
4.65,91.1,68.5,24.1,204.8,367.9,0.096,0.147,8.6
4.7,98.4,66.7,24.1,204.7,365.3,0.094,0.167,8.6
4.75,96.5,68.1,24.1,204.8,367.3,0.09,0.149,8.601
4.8,100.9,92.9,24.1,204.7,361.4,2.134,2.308,8.759
4.85,310.4,325.3,24.1,204.8,332.1,1.359,1.598,8.682
4.9,123.8,137.4,24.1,204.7,305.8,0.134,0.205,8.598
4.95,16.2,35.1,24.1,204.8,295.9,0.112,0.189,8.599
5.0,8.7,10.8,24.1,204.8,286.6,0.073,0.144,8.599
5.05,10.7,10.8,24.1,204.9,286.8,0.064,0.172,8.602
5.1,8.9,11.4,24.1,204.9,280.1,0.06,0.145,8.6
5.15,7.9,10.7,24.1,205.0,286.5,0.055,0.163,8.601
5.2,8.2,10.5,24.1,204.9,282.6,0.057,0.132,8.599
5.25,7.8,10.2,24.1,205.0,289.0,0.051,0.16,8.603
5.3,9.3,10.0,24.1,205.0,286.4,0.052,0.132,8.597
5.35,9.6,10.3,24.1,205.0,295.6,0.05,0.153,8.603
5.4,9.6,11.7,24.1,205.0,291.4,0.05,0.134,8.598
5.45,9.4,11.2,24.1,205.1,297.7,0.052,0.156,8.606
5.5,10.4,10.8,24.1,205.0,293.2,0.051,0.13,8.6
5.55,8.5,9.9,24.1,205.1,297.7,0.049,0.156,8.6
5.6,9.4,9.6,24.1,205.0,292.1,0.047,0.144,8.597
5.65,9.3,11.1,24.1,205.1,296.7,0.049,0.148,8.6
5.7,8.3,10.6,24.1,205.0,290.3,0.051,0.143,8.598
5.75,9.7,9.8,24.1,205.1,293.8,0.05,0.141,8.602
5.8,9.0,10.3,24.1,205.0,284.5,0.051,0.155,8.6
5.85,8.9,10.1,24.1,205.0,288.4,0.046,0.136,8.601
5.9,10.5,10.2,24.1,204.9,281.4,0.052,0.156,8.597
5.95,9.5,10.6,24.1,204.9,285.1,0.048,0.133,8.604
6.0,8.7,10.9,24.1,204.8,277.9,0.054,0.155,8.597
6.05,9.0,9.3,24.1,204.9,281.2,0.049,0.138,8.602
6.1,9.9,10.4,24.1,204.8,273.7,0.051,0.149,8.598
6.15,8.4,10.0,24.1,204.9,280.1,0.048,0.148,8.605
6.2,9.4,10.1,24.1,204.8,274.1,0.048,0.138,8.597
6.25,9.7,10.1,24.1,204.9,279.9,0.055,0.153,8.603
6.3,9.4,9.9,24.1,204.8,274.9,0.049,0.135,8.599
6.35,9.2,10.7,24.1,204.9,281.2,0.052,0.158,8.604
6.4,9.2,10.6,24.1,204.9,274.9,0.049,0.129,8.601
6.45,8.3,10.6,24.1,205.0,283.4,0.049,0.159,8.605
6.5,9.5,10.1,24.1,205.0,279.6,0.048,0.126,8.601
6.55,8.8,10.3,24.1,205.1,287.9,0.051,0.161,8.6
6.6,10.4,10.8,24.1,205.0,285.2,0.049,0.127,8.598
6.65,8.4,10.3,24.1,205.1,293.4,0.052,0.164,8.602
6.7,9.7,11.1,24.1,205.0,290.4,0.045,0.132,8.598
6.75,9.2,9.7,24.1,205.2,297.0,0.051,0.158,8.599
6.8,9.5,10.5,24.1,205.0,292.0,0.051,0.134,8.602
6.85,9.2,11.2,24.1,205.2,299.3,0.049,0.156,8.599
6.9,9.5,9.7,24.1,205.0,292.0,0.047,0.139,8.6
6.95,9.5,10.0,24.1,205.1,296.9,0.05,0.149,8.604
7.0,7.9,10.1,24.1,205.1,291.1,0.048,0.144,8.598
7.05,9.5,10.6,24.1,205.2,292.9,0.05,0.143,8.604
7.1,9.1,10.9,24.1,205.1,283.6,0.051,0.147,8.6
7.15,9.5,11.2,24.1,205.1,287.6,0.047,0.138,8.601
7.2,9.9,11.0,24.1,205.0,281.5,0.053,0.151,8.599
7.25,10.2,10.7,24.1,205.1,283.2,0.05,0.137,8.598
7.3,9.9,10.8,24.1,205.0,277.1,0.05,0.151,8.596
7.35,9.7,9.9,24.1,205.0,281.5,0.049,0.138,8.603
7.4,9.4,10.0,24.1,204.9,275.8,0.05,0.15,8.597
7.45,9.8,11.3,24.1,204.9,280.6,0.049,0.142,8.601
7.5,7.7,10.3,24.1,204.8,273.8,0.05,0.145,8.596
7.55,9.2,10.4,24.1,204.9,280.5,0.049,0.144,8.605
7.6,9.4,11.1,24.1,204.9,275.4,0.049,0.142,8.597
7.65,9.4,11.1,24.1,205.1,281.2,0.05,0.142,8.603
7.7,8.9,10.5,24.1,205.0,280.2,0.049,0.141,8.6
7.75,8.8,9.9,24.1,205.1,287.2,0.051,0.149,8.601
7.8,9.5,10.3,24.1,205.0,286.0,0.046,0.14,8.598
7.85,9.4,10.8,24.1,205.0,291.9,0.05,0.145,8.603
7.9,8.7,11.5,24.1,205.0,290.5,0.05,0.143,8.597
7.95,9.9,10.8,24.1,205.2,297.2,0.05,0.142,8.601
8.0,10.6,10.5,24.1,205.1,292.1,0.05,0.145,8.601
8.05,9.3,10.8,24.1,205.2,296.8,0.05,0.141,8.603
8.1,8.5,10.1,24.1,205.0,294.9,0.049,0.152,8.597
8.15,9.9,10.2,24.1,205.1,295.3,0.051,0.139,8.605
8.2,9.6,11.0,24.1,205.0,289.7,0.053,0.147,8.598
8.25,9.6,9.7,24.1,205.1,292.7,0.049,0.127,8.601
8.3,8.8,10.0,24.1,205.0,286.7,0.049,0.158,8.597
8.35,9.5,10.7,24.1,205.1,287.0,0.046,0.132,8.601
8.4,10.1,11.4,24.1,204.9,280.5,0.053,0.159,8.604
8.45,8.8,11.3,24.1,205.1,283.3,0.048,0.126,8.603
8.5,9.0,10.4,24.1,204.9,277.5,0.056,0.16,8.601
8.55,8.6,10.4,24.1,205.0,280.4,0.045,0.129,8.599
8.6,8.6,8.5,24.1,204.8,276.7,0.053,0.159,8.597
