# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 08:18:09
動作種別,開動作
温度[℃],32.2
湿度[%RH],51.2
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.3,9.3,24.1,202.9,291.3,0.038,0.172,8.58
0.1,9.7,9.8,24.1,202.8,282.9,0.04,0.149,8.583
0.15,10.3,10.4,24.1,202.9,287.1,0.047,0.153,8.588
0.2,9.6,9.2,24.1,202.9,279.3,0.053,0.159,8.583
0.25,10.3,9.7,24.1,203.0,284.5,0.046,0.156,8.585
0.3,10.7,9.8,24.1,202.9,278.6,0.041,0.172,8.576
0.35,10.1,10.0,24.1,203.0,285.1,0.03,0.153,8.581
0.4,9.9,10.8,24.1,202.9,280.5,0.039,0.173,8.579
0.45,10.0,9.7,24.1,203.0,289.4,0.04,0.153,8.583
0.5,10.9,9.9,24.1,203.0,286.1,0.047,0.145,8.582
0.55,10.4,9.5,24.1,203.0,296.0,0.046,0.15,8.588
0.6,11.8,9.0,24.1,202.9,294.2,0.042,0.152,8.582
0.65,9.8,9.2,24.1,203.0,301.3,0.036,0.176,8.584
0.7,10.5,9.4,24.1,202.9,298.3,0.037,0.152,8.578
0.75,9.8,10.6,24.1,202.9,306.0,0.038,0.169,8.583
0.8,9.7,9.9,24.1,202.9,300.7,0.045,0.148,8.581
0.85,10.2,11.0,24.1,203.0,306.1,0.049,0.155,8.586
0.9,9.9,9.6,24.1,202.9,298.0,0.04,0.154,8.583
0.95,158.8,143.0,24.1,203.0,309.5,0.233,0.366,8.594
1.0,272.3,353.3,24.1,202.7,365.9,0.175,0.167,8.583
1.05,126.9,167.2,24.1,202.6,421.6,0.356,0.231,8.579
1.1,196.9,204.3,24.1,202.5,421.2,0.121,0.174,8.577
1.15,236.8,268.7,24.1,202.5,473.0,0.142,0.218,8.589
1.2,259.4,300.5,24.1,202.3,566.4,0.182,0.345,8.577
1.25,267.4,316.5,24.1,202.1,653.4,0.233,0.353,8.587
1.3,258.4,308.3,24.1,202.0,733.1,0.267,0.408,8.583
1.35,279.4,319.8,24.1,201.7,800.8,0.294,0.424,8.585
1.4,293.3,337.7,24.1,201.5,858.8,0.352,0.392,8.586
1.45,298.9,348.2,24.1,201.4,923.4,0.412,0.511,8.593
1.5,332.3,375.8,24.1,201.2,994.9,0.392,0.662,8.586
1.55,361.8,387.6,24.1,201.0,1059.0,0.439,0.786,8.595
1.6,366.0,396.0,24.1,200.9,1119.2,0.534,0.67,8.58
1.65,344.3,373.2,24.1,200.9,1080.0,0.546,0.855,8.626
1.7,355.7,355.9,24.1,201.1,994.9,0.672,0.999,8.609
1.75,349.2,360.5,24.1,201.3,907.2,0.674,0.851,8.616
1.8,361.4,353.3,24.1,201.5,829.4,0.845,1.143,8.578
1.85,354.3,349.3,24.1,201.6,777.9,0.921,0.989,8.617
1.9,356.8,352.8,24.1,201.6,748.7,0.751,0.815,8.613
1.95,352.1,352.3,24.1,201.6,750.3,0.647,0.79,8.589
2.0,342.3,356.7,24.1,201.6,777.4,0.719,0.884,8.603
2.05,349.1,356.9,24.1,201.5,814.9,0.607,0.73,8.617
2.1,350.8,355.4,24.1,201.5,848.4,0.613,0.682,8.601
2.15,337.8,359.8,24.1,201.4,874.9,0.668,0.834,8.612
2.2,352.2,356.7,24.1,201.3,880.0,0.597,0.633,8.598
2.25,344.0,359.4,24.1,201.3,881.4,0.656,0.793,8.646
2.3,346.3,355.6,24.1,201.4,857.5,0.722,0.725,8.624
2.35,356.5,355.5,24.1,201.4,842.2,0.604,0.688,8.605
2.4,346.0,354.4,24.1,201.5,825.4,0.681,0.879,8.634
2.45,348.0,357.3,24.1,201.4,820.4,0.744,0.835,8.645
2.5,350.7,348.4,24.1,201.5,820.4,0.615,0.718,8.627
2.55,341.0,358.3,24.1,201.4,829.3,0.574,0.79,8.599
2.6,346.6,356.0,24.1,201.5,838.1,0.662,0.75,8.608
2.65,349.6,351.3,24.1,201.5,841.7,0.616,0.766,8.606
2.7,343.5,361.1,24.1,201.6,840.2,0.766,0.841,8.619
2.75,352.0,354.0,24.1,201.6,833.2,0.633,0.843,8.637
2.8,349.3,352.0,24.1,201.6,831.0,0.608,0.746,8.595
2.85,342.7,358.0,24.1,201.6,829.4,0.649,0.961,8.636
2.9,309.8,295.8,24.1,201.8,774.3,0.834,0.857,8.583
2.95,319.1,286.2,24.1,202.1,649.0,0.512,0.801,8.594
3.0,311.3,273.9,24.1,202.5,506.8,0.484,0.72,8.582
3.05,218.0,231.2,24.1,202.7,395.0,0.366,0.561,8.589
3.1,172.2,170.4,24.1,202.8,363.5,0.287,0.434,8.577
3.15,125.7,125.0,24.1,202.9,377.8,0.237,0.393,8.586
3.2,78.2,83.5,24.1,203.0,372.2,0.235,0.392,8.58
3.25,86.3,37.3,24.1,203.1,349.1,0.166,0.228,8.585
3.3,79.7,51.5,24.1,203.3,331.7,0.132,0.22,8.574
3.35,50.8,39.3,24.1,203.3,329.7,0.123,0.206,8.586
3.4,38.0,37.0,24.1,203.4,331.9,0.16,0.273,8.579
3.45,84.4,94.5,24.1,203.4,347.8,0.114,0.245,8.587
3.5,123.0,161.5,24.1,203.4,369.3,0.07,0.176,8.581
3.55,128.1,178.2,24.1,203.3,395.6,0.096,0.181,8.585
3.6,108.7,153.0,24.1,203.5,408.9,0.139,0.243,8.578
3.65,88.7,119.0,24.1,203.4,408.5,0.086,0.194,8.589
3.7,69.2,99.7,24.1,203.5,396.9,0.1,0.224,8.582
3.75,59.0,87.8,24.1,203.4,389.2,0.187,0.246,8.58
3.8,57.9,84.4,24.1,203.5,378.2,0.466,0.473,8.605
3.85,56.3,86.2,24.1,203.5,374.2,0.091,0.189,8.582
3.9,57.7,88.3,24.1,203.5,369.5,0.102,0.199,8.576
3.95,60.4,92.3,24.1,203.4,368.7,0.084,0.174,8.585
4.0,58.7,100.4,24.1,203.5,368.4,0.117,0.187,8.585
4.05,63.3,104.7,24.1,203.4,374.2,0.09,0.191,8.582
4.1,69.5,102.1,24.1,203.5,376.8,0.077,0.182,8.584
4.15,72.0,107.7,24.1,203.5,381.5,0.11,0.202,8.582
4.2,69.1,105.3,24.1,203.6,384.5,0.098,0.192,8.579
4.25,65.8,101.2,24.1,203.5,387.5,0.095,0.201,8.582
4.3,61.3,97.0,24.1,203.6,381.8,0.11,0.187,8.579
4.35,273.4,273.0,24.1,203.6,370.2,4.034,6.364,9.444
4.4,234.3,201.4,24.1,203.7,338.1,0.387,0.738,8.591
4.45,72.7,39.6,24.1,203.7,324.2,0.196,0.337,8.581
4.5,19.9,10.3,24.1,203.8,312.6,0.075,0.173,8.578
4.55,10.2,9.4,24.1,203.8,307.4,0.074,0.19,8.583
4.6,10.5,10.0,24.1,203.8,300.6,0.054,0.159,8.582
4.65,10.8,10.7,24.1,203.6,295.8,0.039,0.164,8.583
4.7,10.6,10.5,24.1,203.7,288.6,0.045,0.16,8.579
4.75,10.3,9.8,24.1,203.7,286.7,0.036,0.165,8.581
4.8,10.3,9.9,24.1,203.6,281.3,0.04,0.165,8.578
4.85,10.2,9.2,24.1,203.6,280.8,0.038,0.159,8.583
4.9,10.6,9.6,24.1,203.7,278.0,0.038,0.169,8.58
4.95,10.0,10.8,24.1,203.6,280.9,0.036,0.141,8.587
5.0,9.9,9.6,24.1,203.8,281.8,0.04,0.186,8.58
5.05,10.5,10.4,24.1,203.7,286.2,0.035,0.137,8.586
5.1,10.3,8.8,24.1,203.9,288.7,0.042,0.178,8.582
5.15,9.7,9.7,24.1,203.8,295.2,0.037,0.137,8.583
5.2,10.4,9.9,24.1,203.9,295.5,0.044,0.178,8.579
5.25,11.0,10.2,24.1,203.8,298.4,0.032,0.128,8.587
5.3,9.8,9.5,24.1,203.9,295.4,0.042,0.18,8.58
5.35,11.1,10.9,24.1,203.9,301.9,0.034,0.14,8.585
5.4,10.5,9.7,24.1,203.9,297.8,0.038,0.168,8.58
5.45,10.5,9.4,24.1,203.8,295.2,0.042,0.155,8.583
5.5,10.2,8.8,24.1,203.8,290.9,0.038,0.162,8.58
5.55,10.2,10.7,24.1,203.8,287.7,0.035,0.158,8.582
5.6,10.7,10.6,24.1,203.8,283.0,0.04,0.161,8.582
5.65,10.0,10.1,24.1,203.7,282.7,0.043,0.157,8.586
5.7,9.6,10.3,24.1,203.8,280.7,0.038,0.151,8.581
5.75,9.7,9.9,24.1,203.7,282.9,0.038,0.169,8.58
5.8,10.4,10.0,24.1,203.9,283.0,0.04,0.149,8.581
5.85,10.5,11.3,24.1,203.8,287.0,0.042,0.169,8.587
5.9,9.7,9.8,24.1,204.0,288.7,0.038,0.15,8.585
5.95,10.4,10.2,24.1,204.0,293.1,0.035,0.153,8.585
6.0,10.4,11.2,24.1,204.2,292.7,0.04,0.155,8.581
6.05,10.7,10.1,24.1,204.0,295.5,0.041,0.153,8.585
6.1,9.5,10.7,24.1,204.2,295.1,0.045,0.167,8.575
6.15,10.5,10.7,24.1,204.2,297.4,0.039,0.149,8.588
