# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 08:06:01
動作種別,閉動作
温度[℃],32.0
湿度[%RH],51.3
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.6,9.1,24.1,206.2,284.3,0.061,0.163,8.588
0.1,10.3,9.8,24.1,206.2,279.4,0.064,0.17,8.587
0.15,10.3,9.7,24.1,206.2,284.0,0.072,0.166,8.587
0.2,10.1,9.1,24.1,206.2,280.6,0.06,0.147,8.577
0.25,11.4,9.8,24.1,206.1,284.0,0.065,0.182,8.585
0.3,10.3,9.9,24.1,206.1,279.8,0.065,0.146,8.585
0.35,10.3,10.4,24.1,206.1,282.9,0.076,0.197,8.574
0.4,10.4,9.2,24.1,206.1,277.7,0.076,0.14,8.599
0.45,9.3,9.8,24.1,206.0,282.9,0.091,0.194,8.574
0.5,9.9,10.0,24.1,206.1,279.3,0.08,0.141,8.578
0.55,10.4,9.7,24.1,206.1,285.3,0.065,0.198,8.589
0.6,9.7,10.7,24.1,206.1,281.2,0.085,0.175,8.579
0.65,10.5,9.2,24.1,206.1,286.6,0.093,0.18,8.594
0.7,10.4,9.3,24.1,206.1,281.7,0.081,0.199,8.575
0.75,10.3,9.5,24.1,206.1,286.9,0.077,0.153,8.585
0.8,119.8,89.9,24.1,206.1,286.4,2.567,3.922,8.727
0.85,298.4,267.1,24.1,206.0,327.7,0.334,0.564,8.601
0.9,296.1,230.9,24.1,205.7,451.5,0.464,0.544,8.587
0.95,157.2,148.6,24.1,205.7,441.0,0.154,0.346,8.58
1.0,216.7,216.9,24.1,205.7,448.3,0.326,0.364,8.589
1.05,266.9,258.6,24.1,205.6,517.0,0.194,0.399,8.591
1.1,293.0,274.5,24.1,205.4,597.6,0.188,0.339,8.584
1.15,294.7,271.6,24.1,205.2,681.6,0.329,0.367,8.593
1.2,311.8,277.3,24.1,205.1,753.3,0.404,0.798,8.569
1.25,311.0,280.4,24.1,204.9,811.8,0.392,0.656,8.586
1.3,324.9,291.8,24.1,204.7,880.3,0.502,0.76,8.588
1.35,350.7,317.0,24.1,204.5,939.1,0.486,0.862,8.595
1.4,352.5,324.8,24.1,204.4,1006.8,0.626,1.061,8.578
1.45,385.8,358.8,24.1,204.2,1078.5,0.609,1.016,8.596
