# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 09:32:39
動作種別,開動作
温度[℃],38.3
湿度[%RH],37.6
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.7,10.8,24.1,207.0,287.9,0.041,0.148,8.597
0.1,10.7,9.9,24.1,207.0,281.6,0.046,0.162,8.594
0.15,9.8,10.1,24.1,207.0,287.0,0.045,0.143,8.601
0.2,10.5,10.2,24.1,207.0,282.0,0.051,0.131,8.593
0.25,9.4,11.2,24.1,206.9,287.1,0.05,0.15,8.597
0.3,9.6,10.3,24.1,206.9,283.4,0.046,0.134,8.594
0.35,9.1,10.4,24.1,206.9,287.0,0.046,0.168,8.596
0.4,9.6,9.5,24.1,206.8,282.3,0.045,0.132,8.6
0.45,8.8,11.3,24.1,206.8,287.8,0.051,0.168,8.599
0.5,9.6,10.4,24.1,206.9,282.6,0.05,0.124,8.597
0.55,10.0,11.2,24.1,206.9,289.2,0.054,0.165,8.596
0.6,9.8,10.5,24.1,206.9,283.2,0.045,0.124,8.597
0.65,9.3,9.2,24.1,206.9,288.2,0.044,0.162,8.597
0.7,11.4,10.9,24.1,206.8,283.0,0.048,0.133,8.595
0.75,9.9,10.9,24.1,206.8,287.7,0.048,0.168,8.597
0.8,8.7,10.3,24.1,206.8,281.6,0.048,0.14,8.597
0.85,9.8,10.9,24.1,206.8,287.2,0.052,0.157,8.6
0.9,10.0,11.3,24.1,206.9,281.6,0.05,0.138,8.599
0.95,159.3,151.8,24.1,206.8,300.1,0.127,0.231,8.603
1.0,206.4,380.7,24.1,206.6,362.0,0.211,0.15,8.592
1.05,132.4,186.1,24.1,206.4,434.7,0.424,0.325,8.605
1.1,205.5,185.8,24.1,206.4,421.9,0.14,0.199,8.597
1.15,249.1,256.6,24.1,206.3,474.2,0.187,0.198,8.595
1.2,275.7,293.2,24.1,206.1,563.2,0.165,0.296,8.594
1.25,267.7,313.7,24.1,206.0,645.2,0.206,0.252,8.6
1.3,259.2,311.2,24.1,205.7,716.5,0.256,0.395,8.591
1.35,270.5,317.9,24.1,205.6,779.3,0.286,0.431,8.604
1.4,288.3,333.9,24.1,205.4,830.8,0.364,0.41,8.602
1.45,290.8,339.8,24.1,205.4,886.0,0.415,0.461,8.607
1.5,328.0,367.2,24.1,205.2,958.2,0.441,0.68,8.597
1.55,353.0,385.7,24.1,205.1,1020.9,0.471,0.751,8.604
1.6,348.2,385.9,24.1,204.9,1072.3,0.522,0.681,8.604
1.65,343.2,368.2,24.1,205.0,1023.1,0.611,0.884,8.633
