# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 12:02:09
動作種別,閉動作
温度[℃],40.1
湿度[%RH],30.5
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.4,11.5,24.1,205.1,288.0,0.049,0.145,8.604
0.1,9.6,10.2,24.1,205.1,281.5,0.052,0.14,8.605
0.15,9.3,10.3,24.1,205.2,287.1,0.05,0.145,8.609
0.2,9.0,10.2,24.1,205.1,281.9,0.05,0.137,8.601
0.25,8.6,10.7,24.1,205.2,287.7,0.048,0.144,8.604
0.3,9.4,11.3,24.1,205.1,283.1,0.048,0.145,8.602
0.35,9.6,10.4,24.1,205.1,288.7,0.048,0.142,8.602
0.4,9.4,10.9,24.1,205.1,282.8,0.052,0.145,8.607
0.45,8.9,10.8,24.1,205.2,288.5,0.049,0.144,8.608
0.5,9.5,10.3,24.1,205.2,284.0,0.05,0.143,8.599
0.55,8.3,11.0,24.1,205.2,288.4,0.047,0.141,8.604
0.6,8.7,9.8,24.1,205.1,283.7,0.049,0.144,8.599
0.65,9.6,11.0,24.1,205.2,286.9,0.051,0.14,8.605
0.7,10.2,11.4,24.1,205.1,281.9,0.052,0.145,8.605
0.75,9.6,10.1,24.1,205.1,287.6,0.05,0.146,8.603
0.8,8.8,9.9,24.1,205.1,281.5,0.05,0.139,8.599
0.85,9.0,9.5,24.1,205.2,287.3,0.049,0.145,8.603
0.9,8.6,9.9,24.1,205.1,281.3,0.054,0.141,8.603
0.95,164.4,130.7,24.1,205.1,298.5,2.046,2.598,8.706
1.0,354.0,337.5,24.1,204.8,376.3,0.228,0.378,8.6
1.05,153.0,149.3,24.1,204.7,454.6,0.373,0.516,8.606
1.1,217.8,177.5,24.1,204.7,427.3,0.303,0.367,8.601
1.15,266.9,226.2,24.1,204.6,475.1,0.226,0.346,8.606
1.2,294.5,252.3,24.1,204.4,554.6,0.174,0.372,8.602
1.25,299.7,268.1,24.1,204.2,642.0,0.241,0.378,8.606
1.3,298.1,266.6,24.1,204.0,707.9,0.35,0.566,8.6
1.35,296.0,270.9,24.1,203.8,770.8,0.462,0.871,8.605
1.4,313.9,287.5,24.1,203.8,823.9,0.437,0.69,8.6
1.45,314.6,287.5,24.1,203.6,882.4,0.566,0.756,8.603
1.5,345.9,319.6,24.1,203.5,951.3,0.642,1.106,8.608
1.55,362.9,327.1,24.1,203.3,1008.7,0.71,1.141,8.613
1.6,371.7,331.8,24.1,203.1,1070.0,0.684,1.127,8.609
1.65,346.7,319.8,24.1,203.2,1026.8,0.729,0.905,8.616
1.7,342.9,308.0,24.1,203.4,932.1,0.679,1.123,8.615
1.75,336.7,310.1,24.1,203.7,837.3,0.868,0.746,8.612
1.8,343.7,307.9,24.1,203.9,762.4,0.667,0.621,8.605
1.85,340.5,309.7,24.1,204.0,714.8,0.68,0.636,8.613
1.9,338.9,304.9,24.1,204.1,683.6,0.739,0.775,8.612
1.95,336.6,307.7,24.1,204.1,682.6,0.499,0.467,8.609
2.0,336.7,305.7,24.1,204.1,706.5,0.611,0.58,8.611
2.05,338.4,304.4,24.1,204.0,738.6,0.61,0.641,8.597
2.1,340.5,303.6,24.1,203.8,774.6,0.594,0.72,8.615
2.15,336.6,307.4,24.1,203.8,798.6,0.657,0.719,8.611
2.2,334.5,303.7,24.1,203.7,805.6,0.738,0.957,8.614
2.25,343.1,308.1,24.1,203.7,799.2,0.613,0.583,8.612
2.3,332.7,310.3,24.1,203.9,781.1,0.586,0.562,8.602
2.35,338.4,301.8,24.1,203.9,754.7,0.528,0.587,8.605
2.4,335.9,308.8,24.1,203.9,737.5,0.544,0.47,8.603
2.45,334.4,303.5,24.1,203.9,732.5,0.553,0.531,8.618
2.5,340.6,304.1,24.1,203.9,729.9,0.544,0.538,8.622
2.55,335.8,307.4,24.1,203.9,736.2,0.489,0.452,8.603
2.6,335.6,303.9,24.1,203.9,743.7,0.568,0.531,8.602
2.65,342.6,299.5,24.1,203.9,755.0,0.495,0.479,8.61
2.7,324.7,292.5,24.1,203.9,758.4,0.574,0.595,8.621
2.75,286.0,252.0,24.1,204.1,676.1,0.801,1.039,8.644
2.8,286.1,260.2,24.1,204.5,545.6,0.57,0.539,8.605
2.85,283.5,262.9,24.1,204.7,423.0,0.43,0.872,8.607
2.9,206.6,178.3,24.1,204.9,337.6,0.323,0.371,8.605
2.95,155.2,127.1,24.1,204.9,324.1,0.272,0.262,8.606
3.0,126.4,89.7,24.1,204.9,341.8,0.199,0.255,8.601
3.05,71.7,61.6,24.1,204.9,350.7,0.365,0.602,8.617
3.1,53.2,67.6,24.1,205.0,326.4,0.173,0.235,8.6
3.15,64.9,80.2,24.1,205.0,316.2,0.122,0.188,8.602
3.2,38.9,54.7,24.1,205.1,310.8,0.087,0.179,8.603
3.25,55.2,23.6,24.1,205.0,320.0,0.33,0.284,8.612
3.3,134.9,74.4,24.1,205.0,338.9,0.29,0.306,8.601
3.35,167.3,126.1,24.1,205.0,370.7,0.066,0.143,8.606
3.4,171.0,144.2,24.1,204.9,395.2,0.078,0.162,8.604
3.45,145.5,132.6,24.1,204.8,410.8,0.104,0.156,8.607
3.5,112.7,111.6,24.1,204.8,404.5,0.099,0.151,8.601
3.55,99.0,81.5,24.1,204.8,393.9,0.113,0.166,8.604
3.6,83.0,71.2,24.1,204.8,379.4,0.089,0.145,8.599
3.65,84.2,61.5,24.1,204.8,372.2,0.076,0.16,8.606
3.7,93.6,52.2,24.1,204.8,361.3,0.077,0.149,8.602
3.75,98.5,58.4,24.1,204.7,359.4,0.087,0.15,8.606
3.8,99.8,59.8,24.1,204.8,358.0,0.078,0.158,8.602
3.85,114.7,67.7,24.1,204.8,360.4,0.081,0.16,8.606
3.9,107.0,76.2,24.1,204.8,360.3,0.077,0.165,8.602
3.95,108.8,81.3,24.1,204.8,364.3,0.089,0.148,8.608
4.0,113.3,84.4,24.1,204.8,365.6,0.091,0.162,8.603
4.05,100.3,90.2,24.1,204.7,369.8,0.069,0.144,8.607
4.1,99.0,86.5,24.1,204.7,367.9,0.091,0.167,8.603
4.15,104.6,80.8,24.1,204.7,370.7,0.094,0.15,8.606
4.2,93.3,79.6,24.1,204.7,370.1,0.097,0.161,8.598
4.25,100.3,73.2,24.1,204.7,373.0,0.085,0.161,8.608
4.3,103.4,67.8,24.1,204.8,369.8,0.079,0.162,8.598
4.35,93.9,68.7,24.1,204.8,374.9,0.078,0.158,8.604
4.4,93.4,67.4,24.1,204.7,374.5,0.08,0.157,8.603
4.45,91.5,64.6,24.1,204.7,375.2,0.079,0.152,8.607
4.5,80.4,67.7,24.1,204.8,372.3,0.088,0.162,8.601
4.55,87.7,70.2,24.1,204.8,374.5,0.102,0.152,8.603
4.6,96.8,68.9,24.1,204.8,374.1,0.079,0.168,8.602
4.65,93.3,70.9,24.1,204.8,377.8,0.097,0.159,8.603
4.7,96.2,68.2,24.1,204.8,375.1,0.079,0.174,8.602
4.75,101.2,65.5,24.1,204.7,376.8,0.083,0.156,8.603
4.8,94.2,64.4,24.1,204.7,373.2,0.16,0.17,8.603
4.85,226.5,279.5,24.1,204.7,353.6,1.765,2.714,8.936
4.9,213.9,194.0,24.1,204.9,316.9,0.172,0.231,8.6
4.95,28.4,27.1,24.1,204.8,302.6,0.471,0.416,8.609
5.0,36.1,24.6,24.1,204.8,292.2,0.142,0.176,8.597
5.05,12.9,10.7,24.1,204.8,290.7,0.069,0.157,8.604
5.1,10.0,10.5,24.1,204.9,283.9,0.06,0.145,8.604
5.15,8.9,10.4,24.1,204.8,285.1,0.06,0.162,8.603
5.2,9.7,10.2,24.1,204.8,280.3,0.054,0.13,8.604
5.25,8.7,10.4,24.1,204.8,282.1,0.059,0.172,8.601
5.3,9.3,10.3,24.1,204.9,278.3,0.056,0.128,8.605
5.35,10.2,11.1,24.1,204.8,281.2,0.054,0.155,8.606
5.4,9.2,9.9,24.1,204.8,278.8,0.054,0.134,8.604
5.45,9.3,10.3,24.1,204.8,281.8,0.051,0.155,8.602
