# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 15:08:42
動作種別,開動作
温度[℃],39.5
湿度[%RH],34.3
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.6,10.6,24.1,205.1,286.4,0.053,0.121,8.61
0.1,9.0,9.6,24.1,205.0,283.7,0.055,0.148,8.597
0.15,8.4,9.7,24.1,205.1,293.3,0.051,0.143,8.603
0.2,9.9,10.9,24.1,205.0,290.7,0.048,0.154,8.605
0.25,9.4,10.2,24.1,205.1,298.3,0.053,0.144,8.602
0.3,8.7,10.5,24.1,205.0,292.6,0.049,0.159,8.601
0.35,8.9,10.4,24.1,205.0,298.3,0.047,0.138,8.6
0.4,8.3,10.3,24.1,204.9,291.5,0.051,0.135,8.601
0.45,9.8,11.4,24.1,204.9,294.7,0.058,0.141,8.605
0.5,9.3,11.4,24.1,205.0,286.3,0.048,0.138,8.597
0.55,9.0,10.0,24.1,205.0,289.3,0.049,0.153,8.603
0.6,9.4,9.7,24.1,205.0,280.3,0.045,0.137,8.604
0.65,9.6,9.6,24.1,204.9,283.1,0.057,0.152,8.598
0.7,9.4,10.7,24.1,204.9,276.0,0.047,0.139,8.601
0.75,9.3,9.9,24.1,204.9,280.3,0.052,0.148,8.605
0.8,9.1,9.8,24.1,204.8,273.1,0.054,0.127,8.597
0.85,9.8,10.5,24.1,204.9,278.9,0.051,0.145,8.598
0.9,18.4,14.1,24.1,204.9,274.4,0.044,0.143,8.603
0.95,174.5,156.7,24.1,204.9,295.9,0.134,0.223,8.609
1.0,240.9,388.7,24.1,204.7,377.5,0.191,0.14,8.595
1.05,118.8,196.2,24.1,204.6,443.7,0.408,0.228,8.611
1.1,191.6,189.4,24.1,204.6,418.9,0.154,0.184,8.603
1.15,240.0,256.4,24.1,204.5,470.4,0.203,0.204,8.597
1.2,269.5,291.3,24.1,204.3,561.9,0.163,0.242,8.603
1.25,274.2,308.3,24.1,204.2,651.6,0.272,0.272,8.599
1.3,262.0,307.8,24.1,204.0,721.6,0.249,0.333,8.597
1.35,270.4,314.5,24.1,203.9,785.6,0.301,0.384,8.598
1.4,289.7,335.4,24.1,203.7,835.6,0.338,0.422,8.581
1.45,293.4,338.7,24.1,203.6,889.3,0.366,0.529,8.625
1.5,325.3,363.0,24.1,203.4,954.5,0.451,0.799,8.606
1.55,355.4,382.5,24.1,203.2,1015.4,0.458,0.782,8.631
1.6,356.6,382.5,24.1,203.0,1062.5,0.487,0.819,8.627
1.65,344.3,361.5,24.1,203.1,1000.8,0.688,0.988,8.624
1.7,345.0,350.1,24.1,203.3,909.8,0.765,1.108,8.622
1.75,347.0,351.0,24.1,203.5,819.0,0.634,0.842,8.654
1.8,354.4,341.4,24.1,203.6,746.7,0.724,0.884,8.624
1.85,350.0,347.4,24.1,203.8,698.6,0.832,0.839,8.637
1.9,349.2,344.1,24.1,203.9,673.2,0.679,0.712,8.643
1.95,341.6,342.1,24.1,203.9,678.7,0.553,0.673,8.615
2.0,334.7,349.9,24.1,203.9,711.0,0.504,0.641,8.623
2.05,340.5,350.5,24.1,203.9,750.4,0.646,0.831,8.64
2.1,339.4,348.1,24.1,203.9,789.4,0.521,0.635,8.616
2.15,336.3,352.1,24.1,203.8,810.6,0.623,0.711,8.635
2.2,342.6,348.5,24.1,203.9,819.4,0.699,0.842,8.632
2.25,342.2,348.5,24.1,203.9,811.2,0.67,0.701,8.612
2.3,342.9,354.3,24.1,204.0,798.8,0.624,0.69,8.625
2.35,344.3,343.2,24.1,204.0,778.8,0.581,0.752,8.65
2.4,338.4,351.0,24.1,204.0,769.0,0.655,0.736,8.606
2.45,345.0,346.7,24.1,204.0,761.4,0.642,0.746,8.634
2.5,339.2,346.0,24.1,204.0,765.4,0.576,0.786,8.603
2.55,335.0,351.0,24.1,204.0,771.6,0.627,0.676,8.634
2.6,341.8,350.3,24.1,203.9,778.8,0.558,0.63,8.609
2.65,340.1,347.3,24.1,203.8,782.4,0.494,0.586,8.615
2.7,335.9,347.6,24.1,203.8,778.3,0.577,0.729,8.606
2.75,343.4,349.8,24.1,203.7,768.7,0.627,0.723,8.628
2.8,338.5,345.5,24.1,203.8,762.6,0.601,0.663,8.609
2.85,335.9,347.5,24.1,203.8,757.0,0.608,0.75,8.612
2.9,305.7,286.4,24.1,204.0,696.3,1.059,1.054,8.64
2.95,312.0,282.0,24.1,204.2,562.7,0.731,1.073,8.646
3.0,294.6,270.2,24.1,204.6,430.8,0.434,0.629,8.61
3.05,196.1,223.5,24.1,204.8,347.0,0.382,0.571,8.605
3.1,162.8,164.7,24.1,204.9,338.0,0.302,0.429,8.595
3.15,120.7,121.8,24.1,204.8,355.8,0.247,0.393,8.598
3.2,80.5,81.9,24.1,204.9,352.6,0.194,0.342,8.605
3.25,92.5,32.9,24.1,204.9,335.2,0.136,0.222,8.605
3.3,84.3,50.5,24.1,205.0,317.3,0.116,0.226,8.6
3.35,55.0,38.5,24.1,204.9,312.8,0.14,0.248,8.6
3.4,39.2,35.8,24.1,205.0,313.2,0.28,0.313,8.597
3.45,91.9,93.7,24.1,204.9,330.8,0.203,0.376,8.611
3.5,133.7,157.8,24.1,204.8,356.6,0.084,0.174,8.6
3.55,130.8,168.7,24.1,204.7,389.2,0.107,0.202,8.604
3.6,109.7,151.0,24.1,204.6,404.2,0.15,0.219,8.597
3.65,85.9,121.5,24.1,204.7,400.0,0.109,0.213,8.605
3.7,64.1,100.7,24.1,204.8,384.9,0.123,0.223,8.601
3.75,54.4,90.4,24.1,204.8,374.8,0.121,0.239,8.599
3.8,56.2,83.8,24.1,204.8,366.9,0.113,0.193,8.594
3.85,53.9,87.1,24.1,204.8,366.6,0.113,0.204,8.6
3.9,59.2,88.8,24.1,204.9,366.9,0.092,0.182,8.604
3.95,66.2,90.9,24.1,204.8,372.3,0.104,0.151,8.603
4.0,71.8,99.4,24.1,204.8,375.8,0.09,0.2,8.6
4.05,71.7,101.8,24.1,204.8,384.0,0.087,0.158,8.609
4.1,69.2,99.6,24.1,204.7,384.6,0.101,0.202,8.597
4.15,63.5,103.7,24.1,204.7,388.7,0.087,0.174,8.603
4.2,56.6,102.1,24.1,204.8,384.8,0.106,0.212,8.596
4.25,58.6,98.2,24.1,204.7,384.2,0.09,0.171,8.601
4.3,59.0,96.9,24.1,204.7,377.6,0.111,0.22,8.598
4.35,275.9,278.0,24.1,204.7,356.6,5.557,7.601,9.514
4.4,196.6,178.5,24.1,204.7,319.9,0.342,0.486,8.59
4.45,60.3,34.6,24.1,204.7,303.5,0.125,0.177,8.611
4.5,16.0,10.0,24.1,204.9,294.7,0.082,0.183,8.597
4.55,9.2,11.3,24.1,204.8,293.3,0.068,0.163,8.602
4.6,10.1,9.8,24.1,205.0,292.4,0.072,0.158,8.604
4.65,9.0,10.4,24.1,205.0,296.2,0.048,0.155,8.598
4.7,8.6,11.1,24.1,205.0,295.1,0.051,0.167,8.596
4.75,10.3,10.5,24.1,205.0,300.0,0.05,0.137,8.604
4.8,9.3,10.4,24.1,205.1,293.3,0.049,0.152,8.597
4.85,9.3,11.4,24.1,204.9,294.5,0.048,0.137,8.606
4.9,9.7,10.3,24.1,205.0,290.1,0.058,0.143,8.603
4.95,9.0,12.1,24.1,204.9,288.3,0.056,0.133,8.598
5.0,8.8,11.1,24.1,204.9,285.8,0.048,0.17,8.597
5.05,9.3,10.8,24.1,204.8,284.4,0.053,0.121,8.609
5.1,8.4,10.0,24.1,204.8,278.9,0.056,0.151,8.601
5.15,9.3,10.1,24.1,204.7,280.1,0.047,0.14,8.599
5.2,9.5,9.6,24.1,204.8,277.1,0.048,0.144,8.605
5.25,8.8,10.8,24.1,204.8,280.9,0.05,0.136,8.603
5.3,9.6,10.3,24.1,204.9,281.2,0.051,0.155,8.594
5.35,9.7,10.8,24.1,204.8,286.9,0.044,0.14,8.604
5.4,9.6,11.1,24.1,204.9,288.8,0.054,0.139,8.603
5.45,10.2,10.2,24.1,204.9,294.8,0.047,0.139,8.6
5.5,9.3,11.8,24.1,205.0,295.8,0.045,0.166,8.599
5.55,8.8,10.4,24.1,204.9,298.4,0.043,0.131,8.607
5.6,11.2,10.5,24.1,205.0,295.7,0.06,0.148,8.604
5.65,10.1,10.9,24.1,204.8,293.8,0.05,0.14,8.599
5.7,9.8,10.6,24.1,205.0,288.1,0.049,0.139,8.601
5.75,9.7,10.4,24.1,204.8,284.8,0.047,0.148,8.599
5.8,9.5,10.5,24.1,204.9,280.9,0.054,0.132,8.6
5.85,9.3,10.8,24.1,204.8,279.8,0.049,0.146,8.606
5.9,8.6,11.3,24.1,204.8,277.7,0.055,0.139,8.599
5.95,9.6,11.2,24.1,204.9,281.7,0.047,0.143,8.603
6.0,9.3,11.0,24.1,205.0,281.1,0.051,0.137,8.596
6.05,8.5,11.3,24.1,204.9,284.7,0.043,0.151,8.599
6.1,9.1,11.3,24.1,205.1,287.9,0.055,0.133,8.598
6.15,9.7,10.6,24.1,205.0,292.7,0.049,0.155,8.604
6.2,9.2,10.5,24.1,205.2,293.4,0.058,0.135,8.598
6.25,8.6,11.0,24.1,205.1,295.1,0.042,0.15,8.604
6.3,9.8,10.3,24.1,205.1,291.1,0.053,0.139,8.601
6.35,9.0,10.3,24.1,205.0,287.9,0.047,0.143,8.599
6.4,9.4,10.5,24.1,205.1,283.5,0.049,0.151,8.609
6.45,8.8,10.1,24.1,205.0,278.9,0.048,0.133,8.603
6.5,9.1,10.6,24.1,205.0,275.1,0.05,0.146,8.599
6.55,9.7,10.8,24.1,204.9,275.1,0.045,0.145,8.605
6.6,9.5,9.8,24.1,205.0,276.6,0.055,0.125,8.602
6.65,8.9,10.9,24.1,205.0,279.3,0.058,0.167,8.6
6.7,9.2,11.0,24.1,205.1,282.4,0.048,0.125,8.596
6.75,8.8,10.5,24.1,205.1,288.1,0.05,0.163,8.599
6.8,9.2,10.6,24.1,205.3,292.3,0.05,0.133,8.605
6.85,9.3,10.1,24.1,205.2,295.2,0.044,0.155,8.601
6.9,9.7,10.3,24.1,205.3,295.7,0.052,0.135,8.604
6.95,9.7,10.8,24.1,205.2,294.1,0.05,0.153,8.606
7.0,9.2,10.5,24.1,205.2,292.5,0.05,0.137,8.598
7.05,10.1,10.5,24.1,205.1,287.5,0.045,0.142,8.605
7.1,10.0,10.7,24.1,205.2,281.2,0.055,0.161,8.598
7.15,9.1,10.0,24.1,205.0,278.7,0.044,0.125,8.606
7.2,8.6,10.1,24.1,205.1,275.3,0.052,0.171,8.597
7.25,9.9,11.3,24.1,204.9,276.4,0.049,0.117,8.612
7.3,9.5,10.5,24.1,205.2,280.4,0.049,0.176,8.597
7.35,10.9,11.2,24.1,205.1,283.8,0.051,0.107,8.611
7.4,10.1,11.1,24.1,205.2,288.7,0.061,0.175,8.597
7.45,9.2,10.9,24.1,205.1,292.2,0.04,0.127,8.602
7.5,9.8,11.6,24.1,205.2,295.9,0.05,0.176,8.6
7.55,9.7,10.8,24.1,205.1,296.2,0.052,0.125,8.603
7.6,7.9,10.9,24.1,205.2,293.5,0.052,0.174,8.597
7.65,9.3,10.3,24.1,205.0,289.3,0.053,0.149,8.604
7.7,9.0,11.6,24.1,205.1,283.3,0.056,0.143,8.602
7.75,10.0,10.4,24.1,205.0,279.3,0.052,0.194,8.595
7.8,9.7,10.7,24.1,205.0,276.1,0.041,0.12,8.609
7.85,8.8,10.8,24.1,204.9,275.2,0.062,0.204,8.605
7.9,9.2,10.3,24.1,205.1,279.5,0.058,0.086,8.609
7.95,9.8,10.2,24.1,205.0,283.9,0.095,0.201,8.597
8.0,9.9,10.7,24.1,205.2,283.9,0.043,0.089,8.605
8.05,9.1,11.5,24.1,205.1,287.6,0.057,0.202,8.601
8.1,9.6,10.4,24.1,205.2,292.1,0.046,0.097,8.605
8.15,8.3,10.2,24.1,205.1,291.7,0.06,0.185,8.601
8.2,9.7,10.5,24.1,205.2,293.2,0.049,0.128,8.598
8.25,9.6,10.3,24.1,205.0,287.3,0.051,0.178,8.609
8.3,8.3,10.1,24.1,205.2,281.9,0.053,0.153,8.599
8.35,8.1,11.0,24.1,205.0,277.2,0.036,0.146,8.601
8.4,9.6,11.5,24.1,205.1,276.5,0.058,0.177,8.604
8.45,9.2,11.3,24.1,204.9,272.4,0.05,0.112,8.604
8.5,9.0,10.7,24.1,205.1,276.0,0.057,0.192,8.604
8.55,9.2,10.8,24.1,205.0,277.5,0.054,0.111,8.597
8.6,9.3,10.8,24.1,205.1,283.7,0.07,0.212,8.605
8.65,9.3,11.3,24.1,205.2,287.2,0.046,0.092,8.596
8.7,10.9,10.3,24.1,205.2,293.3,0.057,0.203,8.605
8.75,9.1,10.6,24.1,205.2,294.2,0.045,0.112,8.602
8.8,9.7,10.7,24.1,205.2,294.6,0.052,0.188,8.599
8.85,10.5,10.6,24.1,205.1,288.1,0.048,0.12,8.602
8.9,9.9,9.9,24.1,205.2,285.6,0.049,0.177,8.601
8.95,9.4,12.2,24.1,205.0,277.4,0.051,0.133,8.602
9.0,10.5,11.9,24.1,205.1,280.2,0.05,0.156,8.604
9.05,9.2,10.9,24.1,204.9,277.1,0.053,0.169,8.603
9.1,10.6,10.9,24.1,205.1,278.1,0.054,0.127,8.6
9.15,9.2,10.5,24.1,205.0,279.8,0.05,0.182,8.6
9.2,9.1,10.3,24.1,205.2,285.4,0.049,0.1,8.601
9.25,9.5,10.9,24.1,205.2,287.2,0.051,0.195,8.599
9.3,9.1,11.3,24.1,205.3,294.4,0.047,0.101,8.599
9.35,10.1,10.1,24.1,205.2,294.9,0.05,0.182,8.604
9.4,10.5,11.2,24.1,205.3,298.9,0.052,0.113,8.613
9.45,8.5,10.3,24.1,205.1,292.9,0.056,0.171,8.594
9.5,10.9,11.3,24.1,205.2,290.2,0.053,0.121,8.607
9.55,8.5,10.0,24.1,205.0,282.5,0.057,0.167,8.601
9.6,9.3,10.7,24.1,205.0,279.2,0.042,0.127,8.604
9.65,8.9,10.6,24.1,204.8,274.0,0.059,0.16,8.601
9.7,9.9,11.7,24.1,205.0,276.9,0.049,0.126,8.603
9.75,10.4,10.6,24.1,204.9,277.2,0.047,0.158,8.602
9.8,10.3,10.5,24.1,205.1,284.1,0.05,0.143,8.599
