# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 17:53:58
動作種別,開動作
温度[℃],36.7
湿度[%RH],39.1
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,10.9,24.1,204.7,294.8,0.041,0.131,8.595
0.1,9.3,10.4,24.1,204.7,288.0,0.043,0.175,8.588
0.15,9.8,10.7,24.1,204.7,289.9,0.045,0.137,8.598
0.2,9.2,10.4,24.1,204.7,280.7,0.062,0.154,8.593
0.25,9.7,10.7,24.1,204.7,283.3,0.058,0.142,8.602
0.3,10.0,11.0,24.1,204.7,278.0,0.055,0.142,8.594
0.35,9.7,9.3,24.1,204.7,281.3,0.047,0.15,8.597
0.4,10.2,11.4,24.1,204.5,275.4,0.051,0.164,8.592
0.45,9.4,11.4,24.1,204.5,282.9,0.046,0.141,8.593
0.5,10.0,10.6,24.1,204.5,278.9,0.06,0.159,8.597
0.55,10.2,10.2,24.1,204.6,284.8,0.057,0.134,8.597
0.6,8.7,10.3,24.1,204.6,284.5,0.056,0.157,8.597
0.65,9.6,10.1,24.1,204.5,292.2,0.045,0.137,8.597
0.7,10.0,10.5,24.1,204.5,289.8,0.043,0.172,8.592
0.75,9.9,10.6,24.1,204.6,295.9,0.051,0.141,8.598
0.8,80.7,74.5,24.1,204.7,294.0,0.639,0.572,8.597
0.85,191.6,189.7,24.1,204.5,326.2,0.104,0.196,8.602
0.9,176.6,352.2,24.1,204.4,396.0,0.279,0.222,8.597
0.95,157.0,157.2,24.1,204.4,445.1,0.436,0.576,8.608
1.0,234.2,221.4,24.1,204.3,464.9,0.149,0.193,8.585
1.05,270.2,275.6,24.1,204.2,541.1,0.149,0.246,8.601
1.1,265.0,298.5,24.1,204.0,628.8,0.162,0.277,8.585
1.15,272.1,311.3,24.1,203.9,705.6,0.238,0.302,8.59
1.2,266.3,318.1,24.1,203.7,762.3,0.259,0.372,8.607
1.25,268.1,316.0,24.1,203.6,818.0,0.369,0.466,8.611
1.3,294.8,340.7,24.1,203.3,876.5,0.408,0.442,8.588
1.35,314.8,356.5,24.1,203.2,935.8,0.435,0.57,8.597
1.4,323.3,361.5,24.1,203.1,1005.1,0.427,0.781,8.608
1.45,364.7,402.3,24.1,202.9,1078.2,0.451,0.657,8.615
1.5,354.4,374.8,24.1,202.8,1093.9,0.667,0.701,8.597
1.55,342.5,358.5,24.1,203.1,1018.7,0.778,1.018,8.658
1.6,348.7,353.4,24.1,203.2,921.4,0.72,0.853,8.608
1.65,353.2,347.8,24.1,203.5,838.6,0.682,0.684,8.607
1.7,352.8,350.9,24.1,203.7,774.2,0.797,0.8,8.596
1.75,360.9,337.1,24.1,203.7,740.7,0.795,0.661,8.619
1.8,342.7,349.2,24.1,203.7,732.4,0.658,0.651,8.605
1.85,343.9,349.4,24.1,203.8,750.5,0.716,0.82,8.61
1.9,342.8,346.7,24.1,203.7,784.0,0.617,0.677,8.634
1.95,335.8,355.6,24.1,203.7,824.7,0.589,0.703,8.63
2.0,339.9,352.9,24.1,203.5,847.4,0.731,0.765,8.611
2.05,342.4,349.5,24.1,203.5,864.0,0.566,0.805,8.636
2.1,340.2,357.9,24.1,203.5,858.0,0.649,0.764,8.603
2.15,343.9,347.2,24.1,203.5,834.3,0.621,0.78,8.638
2.2,346.4,348.7,24.1,203.5,803.3,0.595,0.807,8.623
2.25,342.6,354.9,24.1,203.6,789.6,0.556,0.752,8.632
2.3,349.3,347.5,24.1,203.6,772.9,0.733,0.793,8.633
2.35,343.3,346.2,24.1,203.6,778.2,0.671,0.702,8.626
2.4,340.0,352.4,24.1,203.5,782.1,0.605,0.659,8.613
2.45,346.1,347.6,24.1,203.5,800.5,0.687,0.758,8.632
2.5,338.9,354.3,24.1,203.5,805.4,0.716,0.798,8.61
2.55,345.3,349.5,24.1,203.5,809.8,0.576,0.647,8.623
2.6,349.0,348.7,24.1,203.5,806.7,0.602,0.724,8.622
2.65,342.1,356.0,24.1,203.5,808.9,0.599,0.797,8.629
2.7,348.9,347.6,24.1,203.4,808.1,0.72,0.738,8.605
2.75,319.3,319.9,24.1,203.5,795.4,0.614,0.84,8.619
2.8,310.9,295.3,24.1,203.7,684.8,0.77,0.701,8.615
2.85,314.6,273.5,24.1,204.1,548.3,0.439,0.634,8.592
2.9,255.2,258.8,24.1,204.2,418.5,0.45,0.635,8.597
2.95,189.4,201.0,24.1,204.3,361.3,0.333,0.418,8.592
3.0,144.0,134.7,24.1,204.3,356.8,0.254,0.38,8.597
3.05,96.5,111.3,24.1,204.4,359.6,0.237,0.348,8.593
3.1,90.2,47.3,24.1,204.4,334.2,0.161,0.277,8.597
3.15,83.8,47.0,24.1,204.6,320.5,0.152,0.26,8.591
3.2,52.7,54.0,24.1,204.4,309.8,0.102,0.188,8.594
3.25,30.1,27.0,24.1,204.6,315.0,0.098,0.207,8.603
3.3,52.1,53.0,24.1,204.5,319.1,0.195,0.324,8.595
3.35,94.0,125.6,24.1,204.5,341.0,0.093,0.19,8.596
3.4,120.4,167.8,24.1,204.3,365.5,0.091,0.172,8.595
3.45,114.8,173.8,24.1,204.4,398.9,0.125,0.205,8.596
3.5,97.2,145.3,24.1,204.3,409.0,0.121,0.214,8.599
3.55,75.1,112.1,24.1,204.5,414.3,0.104,0.223,8.598
3.6,60.3,98.0,24.1,204.4,401.6,0.098,0.242,8.59
3.65,52.7,88.0,24.1,204.4,400.0,0.11,0.204,8.599
3.7,50.8,84.2,24.1,204.4,390.6,0.122,0.209,8.59
3.75,49.9,85.7,24.1,204.5,388.1,0.096,0.178,8.602
3.8,55.5,86.4,24.1,204.5,377.7,0.094,0.172,8.588
3.85,57.5,91.3,24.1,204.5,378.1,0.108,0.178,8.601
3.9,64.3,98.3,24.1,204.3,369.8,0.097,0.186,8.591
3.95,73.8,99.8,24.1,204.4,375.7,0.102,0.198,8.597
4.0,75.1,100.5,24.1,204.3,371.2,0.091,0.174,8.592
4.05,71.2,102.7,24.1,204.4,376.1,0.097,0.194,8.597
4.1,75.8,101.2,24.1,204.2,369.0,0.11,0.194,8.585
4.15,64.9,97.1,24.1,204.3,374.9,0.109,0.202,8.598
4.2,222.4,87.0,24.1,204.3,365.7,1.214,1.609,8.761
4.25,291.4,273.0,24.1,204.5,340.5,3.071,3.653,8.844
4.3,111.0,140.7,24.1,204.4,318.3,0.135,0.397,8.597
4.35,28.7,18.0,24.1,204.6,313.9,0.143,0.198,8.597
4.4,9.4,10.5,24.1,204.5,304.1,0.108,0.185,8.588
4.45,11.3,10.9,24.1,204.7,308.8,0.057,0.156,8.597
4.5,9.4,11.7,24.1,204.6,300.0,0.063,0.167,8.594
4.55,8.8,10.4,24.1,204.7,303.3,0.046,0.146,8.592
4.6,10.1,10.3,24.1,204.6,297.8,0.055,0.16,8.594
4.65,10.1,10.0,24.1,204.7,300.2,0.051,0.144,8.597
4.7,10.0,10.6,24.1,204.6,292.4,0.06,0.148,8.592
4.75,9.5,11.3,24.1,204.7,295.6,0.057,0.159,8.595
4.8,9.2,10.0,24.1,204.7,287.4,0.054,0.131,8.598
4.85,9.9,10.4,24.1,204.7,291.5,0.048,0.178,8.588
4.9,9.6,10.6,24.1,204.6,283.6,0.05,0.118,8.599
4.95,10.3,11.5,24.1,204.7,284.6,0.055,0.191,8.59
5.0,8.9,10.0,24.1,204.6,277.6,0.047,0.109,8.598
5.05,10.1,10.4,24.1,204.7,281.1,0.053,0.195,8.598
5.1,9.6,11.0,24.1,204.6,277.9,0.044,0.12,8.594
5.15,9.2,10.1,24.1,204.6,283.3,0.048,0.176,8.594
5.2,9.1,10.2,24.1,204.5,279.7,0.046,0.144,8.591
5.25,9.7,10.5,24.1,204.7,286.8,0.048,0.155,8.599
5.3,10.2,11.2,24.1,204.6,285.3,0.046,0.162,8.592
5.35,9.3,10.9,24.1,204.7,292.9,0.049,0.15,8.597
5.4,9.5,10.7,24.1,204.6,291.2,0.054,0.153,8.596
5.45,9.0,10.7,24.1,204.7,296.8,0.056,0.146,8.598
5.5,9.1,10.3,24.1,204.6,292.5,0.052,0.159,8.592
5.55,9.3,10.0,24.1,204.8,296.6,0.049,0.136,8.597
5.6,8.5,10.8,24.1,204.7,292.6,0.061,0.165,8.588
5.65,10.3,10.0,24.1,204.8,296.9,0.047,0.141,8.599
5.7,10.3,10.2,24.1,204.7,290.1,0.048,0.148,8.595
5.75,9.2,10.2,24.1,204.8,292.6,0.047,0.148,8.597
5.8,11.3,10.4,24.1,204.8,283.8,0.043,0.146,8.588
5.85,9.3,10.1,24.1,204.9,285.4,0.041,0.143,8.599
5.9,9.3,10.1,24.1,204.7,279.2,0.044,0.151,8.588
5.95,10.4,9.9,24.1,204.7,283.8,0.049,0.143,8.601
6.0,9.3,10.3,24.1,204.6,280.1,0.048,0.157,8.59
6.05,9.9,12.0,24.1,204.8,285.4,0.044,0.14,8.597
6.1,9.0,10.0,24.1,204.7,281.4,0.048,0.166,8.59
6.15,9.1,10.9,24.1,204.8,288.4,0.047,0.131,8.599
6.2,10.8,10.8,24.1,204.8,284.0,0.049,0.176,8.594
6.25,9.2,10.7,24.1,204.9,289.8,0.055,0.129,8.598
6.3,10.3,11.3,24.1,204.8,285.8,0.065,0.155,8.597
6.35,9.7,11.0,24.1,204.9,289.7,0.052,0.156,8.594
6.4,9.2,10.7,24.1,204.8,285.0,0.048,0.14,8.597
6.45,9.7,10.7,24.1,204.9,289.3,0.052,0.178,8.594
6.5,10.4,10.2,24.1,204.8,286.5,0.041,0.121,8.593
6.55,10.1,10.2,24.1,204.8,293.8,0.044,0.155,8.597
6.6,10.2,9.8,24.1,204.8,290.2,0.042,0.147,8.594
6.65,9.3,10.3,24.1,204.9,295.3,0.048,0.153,8.599
6.7,9.7,11.0,24.1,204.8,291.9,0.048,0.166,8.592
6.75,10.2,10.4,24.1,204.8,296.7,0.05,0.146,8.599
6.8,9.7,10.5,24.1,204.7,291.3,0.066,0.178,8.583
6.85,10.2,9.8,24.1,204.8,296.5,0.041,0.127,8.604
6.9,11.0,9.8,24.1,204.7,290.4,0.052,0.195,8.586
6.95,9.9,10.9,24.1,204.9,291.2,0.039,0.113,8.596
7.0,9.5,10.2,24.1,204.8,284.5,0.047,0.188,8.592
7.05,9.4,10.4,24.1,204.9,286.5,0.045,0.117,8.594
7.1,9.9,10.9,24.1,204.8,282.5,0.053,0.185,8.595
7.15,8.7,11.6,24.1,204.9,284.0,0.045,0.116,8.594
7.2,9.5,10.5,24.1,204.8,279.8,0.05,0.188,8.594
7.25,10.4,10.9,24.1,204.9,282.1,0.041,0.116,8.595
7.3,10.1,10.7,24.1,204.8,277.5,0.047,0.169,8.596
7.35,9.1,11.3,24.1,204.9,281.9,0.052,0.132,8.595
7.4,9.8,9.9,24.1,204.8,276.5,0.048,0.163,8.595
7.45,10.3,10.5,24.1,204.9,281.6,0.044,0.134,8.593
7.5,9.6,10.4,24.1,204.8,278.0,0.049,0.173,8.597
7.55,10.4,10.5,24.1,204.9,282.1,0.042,0.133,8.598
7.6,10.4,11.0,24.1,204.8,278.0,0.044,0.16,8.592
7.65,9.8,11.2,24.1,204.9,283.6,0.046,0.156,8.595
7.7,10.0,10.2,24.1,204.7,281.0,0.051,0.14,8.59
7.75,8.6,10.2,24.1,204.9,285.6,0.048,0.159,8.598
7.8,9.8,11.5,24.1,204.8,284.1,0.063,0.158,8.595
7.85,10.8,11.0,24.1,204.9,289.2,0.047,0.16,8.59
7.9,9.9,10.7,24.1,204.8,285.6,0.047,0.138,8.596
7.95,10.2,10.6,24.1,205.0,292.3,0.049,0.171,8.596
8.0,9.9,11.2,24.1,204.8,292.1,0.042,0.124,8.597
8.05,9.7,10.0,24.1,204.9,296.7,0.048,0.175,8.594
8.1,10.2,11.6,24.1,204.8,292.8,0.047,0.133,8.597
8.15,9.8,11.2,24.1,204.8,296.6,0.049,0.154,8.592
8.2,9.2,10.3,24.1,204.8,293.7,0.05,0.149,8.594
8.25,9.8,10.6,24.1,204.9,295.7,0.057,0.165,8.596
8.3,9.7,10.8,24.1,204.8,290.9,0.045,0.134,8.594
8.35,9.4,10.1,24.1,204.9,293.2,0.044,0.152,8.597
8.4,9.7,11.1,24.1,204.8,287.4,0.048,0.157,8.596
8.45,10.0,10.3,24.1,204.9,289.8,0.041,0.12,8.596
8.5,7.9,10.6,24.1,204.8,285.9,0.048,0.183,8.591
8.55,9.3,10.8,24.1,204.9,287.4,0.041,0.124,8.597
8.6,9.2,10.9,24.1,204.9,280.8,0.05,0.166,8.592
8.65,10.3,9.5,24.1,204.9,283.8,0.053,0.142,8.601
8.7,9.9,11.2,24.1,204.8,279.5,0.05,0.165,8.59
8.75,9.9,10.5,24.1,204.9,282.8,0.045,0.137,8.596
8.8,9.7,10.2,24.1,204.8,279.7,0.047,0.153,8.597
8.85,8.8,10.2,24.1,204.8,283.3,0.044,0.152,8.598
8.9,9.2,11.3,24.1,204.7,279.8,0.044,0.123,8.594
8.95,9.7,10.9,24.1,204.8,281.2,0.052,0.164,8.596
9.0,9.6,10.5,24.1,204.6,278.9,0.046,0.139,8.591
9.05,10.0,11.0,24.1,204.7,281.1,0.042,0.151,8.598
9.1,9.6,10.4,24.1,204.7,279.7,0.048,0.189,8.592
9.15,9.2,10.2,24.1,204.7,284.1,0.044,0.132,8.595
9.2,9.5,10.2,24.1,204.6,283.3,0.053,0.197,8.593
9.25,10.2,10.7,24.1,204.7,286.4,0.042,0.109,8.597
9.3,9.6,10.8,24.1,204.5,283.8,0.056,0.23,8.599
9.35,9.6,11.2,24.1,204.6,288.1,0.037,0.076,8.599
9.4,9.3,9.7,24.1,204.5,287.0,0.057,0.247,8.585
9.45,9.7,10.3,24.1,204.6,290.8,0.04,0.087,8.604
9.5,10.0,10.5,24.1,204.6,288.3,0.053,0.22,8.586
9.55,10.0,10.5,24.1,204.7,293.8,0.049,0.144,8.602
9.6,9.8,9.9,24.1,204.6,290.3,0.053,0.192,8.593
9.65,9.5,10.6,24.1,204.7,293.3,0.045,0.157,8.596
9.7,9.1,11.3,24.1,204.6,289.9,0.053,0.17,8.597
9.75,9.4,11.0,24.1,204.7,292.0,0.047,0.16,8.597
9.8,9.6,9.9,24.1,204.6,288.1,0.042,0.139,8.597
9.85,10.5,10.4,24.1,204.8,290.2,0.05,0.173,8.599
9.9,10.2,9.4,24.1,204.7,286.4,0.045,0.133,8.59
9.95,9.9,10.9,24.1,204.8,289.0,0.051,0.154,8.602
10.0,10.2,9.4,24.1,204.8,287.1,0.048,0.151,8.592
10.05,8.8,11.1,24.1,204.9,290.4,0.046,0.141,8.597
10.1,10.4,10.2,24.1,204.8,285.5,0.049,0.167,8.595
10.15,9.5,10.4,24.1,204.8,287.7,0.04,0.128,8.594
10.2,9.6,10.0,24.1,204.7,282.9,0.046,0.178,8.593
10.25,8.6,10.4,24.1,204.9,285.2,0.042,0.113,8.594
10.3,9.3,10.4,24.1,204.8,282.1,0.047,0.184,8.595
10.35,9.8,10.6,24.1,204.9,284.2,0.04,0.122,8.597
10.4,10.0,10.8,24.1,204.8,280.7,0.052,0.173,8.595
10.45,9.7,9.5,24.1,204.9,284.1,0.04,0.123,8.597
10.5,9.6,10.1,24.1,204.7,280.6,0.049,0.181,8.59
10.55,9.6,11.3,24.1,204.9,283.4,0.044,0.119,8.597
10.6,9.8,9.8,24.1,204.7,281.6,0.053,0.185,8.596
10.65,8.6,9.7,24.1,204.7,284.2,0.045,0.123,8.599
10.7,9.5,10.3,24.1,204.6,282.0,0.049,0.179,8.598
10.75,9.4,11.3,24.1,204.7,284.9,0.04,0.115,8.59
10.8,9.2,10.5,24.1,204.7,282.2,0.049,0.176,8.6
10.85,10.0,10.6,24.1,204.8,284.8,0.04,0.131,8.591
10.9,9.2,11.2,24.1,204.6,282.7,0.049,0.17,8.6
10.95,9.8,11.7,24.1,204.7,283.6,0.043,0.137,8.594
11.0,9.3,11.0,24.1,204.6,278.8,0.058,0.165,8.598
# データ部終了
