# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 00:48:58
動作種別,開動作
温度[℃],34.2
湿度[%RH],47.0
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.7,10.0,24.1,208.7,286.5,0.042,0.154,8.59
0.1,10.5,9.7,24.1,208.7,280.6,0.04,0.149,8.588
0.15,9.2,9.9,24.1,208.8,286.6,0.04,0.157,8.592
0.2,10.5,10.6,24.1,208.7,280.6,0.044,0.149,8.588
0.25,9.7,11.0,24.1,208.7,286.1,0.043,0.153,8.597
0.3,10.6,10.4,24.1,208.7,279.9,0.043,0.147,8.594
0.35,10.1,9.3,24.1,208.8,285.6,0.044,0.153,8.59
0.4,9.6,9.8,24.1,208.8,280.3,0.043,0.151,8.588
0.45,10.2,10.8,24.1,208.8,285.7,0.042,0.153,8.595
0.5,10.1,10.1,24.1,208.8,279.9,0.042,0.151,8.588
0.55,10.9,9.7,24.1,208.8,285.7,0.042,0.155,8.586
0.6,10.4,10.7,24.1,208.8,279.7,0.042,0.148,8.593
0.65,9.5,11.1,24.1,208.8,285.0,0.042,0.152,8.591
0.7,10.6,10.3,24.1,208.7,279.3,0.045,0.148,8.586
0.75,9.4,9.4,24.1,208.7,284.4,0.041,0.151,8.593
0.8,50.5,49.1,24.1,208.8,280.8,0.467,0.564,8.609
0.85,192.2,211.5,24.1,208.7,307.8,0.225,0.327,8.578
0.9,198.6,382.5,24.1,208.4,395.1,0.294,0.221,8.598
0.95,137.0,147.8,24.1,208.4,422.4,0.273,0.267,8.586
1.0,219.9,210.5,24.1,208.3,420.9,0.102,0.194,8.586
1.05,266.9,266.9,24.1,208.2,483.9,0.158,0.227,8.595
1.1,271.0,298.5,24.1,208.0,568.8,0.198,0.338,8.582
1.15,271.9,316.5,24.1,207.8,649.6,0.217,0.302,8.588
1.2,265.5,314.7,24.1,207.7,707.1,0.292,0.372,8.583
1.25,265.4,318.4,24.1,207.6,762.6,0.323,0.37,8.597
1.3,294.8,342.1,24.1,207.5,816.3,0.402,0.4,8.582
1.35,307.7,350.6,24.1,207.3,868.3,0.383,0.476,8.595
1.4,333.3,363.8,24.1,207.2,935.6,0.433,0.715,8.609
1.45,361.6,397.0,24.1,207.0,1002.2,0.524,0.691,8.575
1.5,351.7,385.3,24.1,207.0,1030.8,0.571,0.616,8.625
1.55,350.7,360.2,24.1,207.1,967.7,0.746,0.931,8.606
1.6,346.2,360.7,24.1,207.3,874.8,0.689,0.825,8.648
1.65,354.1,349.0,24.1,207.6,792.4,0.824,0.726,8.608
1.7,351.4,354.3,24.1,207.7,729.1,0.813,0.888,8.621
1.75,354.8,352.2,24.1,207.8,693.8,0.727,0.918,8.575
1.8,352.3,347.8,24.1,207.8,675.5,0.66,0.819,8.628
1.85,342.8,353.0,24.1,207.8,688.4,0.733,0.809,8.62
1.9,350.1,348.8,24.1,207.7,718.8,0.615,0.659,8.604
