# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 09:38:01
動作種別,閉動作
温度[℃],38.5
湿度[%RH],36.4
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.5,9.3,24.1,206.1,287.8,0.045,0.134,8.597
0.1,9.5,10.3,24.1,206.1,278.8,0.049,0.159,8.595
0.15,9.1,9.9,24.1,206.2,282.3,0.045,0.139,8.602
0.2,9.0,10.2,24.1,206.1,275.4,0.052,0.157,8.599
0.25,8.5,9.6,24.1,206.1,282.4,0.047,0.139,8.599
0.3,9.0,10.9,24.1,206.0,277.9,0.047,0.153,8.591
0.35,9.3,10.0,24.1,206.2,286.1,0.045,0.15,8.601
0.4,9.3,11.0,24.1,206.2,282.4,0.046,0.141,8.597
0.45,9.5,10.8,24.1,206.3,291.3,0.048,0.158,8.605
0.5,9.4,10.6,24.1,206.3,290.4,0.047,0.124,8.594
0.55,8.9,10.6,24.1,206.3,299.5,0.049,0.167,8.6
0.6,9.6,10.5,24.1,206.4,296.0,0.048,0.127,8.595
0.65,8.3,11.3,24.1,206.4,306.6,0.051,0.168,8.598
0.7,9.1,10.8,24.1,206.4,300.8,0.046,0.128,8.598
0.75,9.6,10.3,24.1,206.3,306.1,0.049,0.162,8.6
0.8,8.8,10.0,24.1,206.3,297.0,0.046,0.125,8.597
0.85,9.0,9.9,24.1,206.3,300.7,0.049,0.172,8.604
0.9,32.3,24.4,24.1,206.3,289.7,0.069,0.161,8.6
0.95,175.5,165.9,24.1,206.1,310.5,2.321,2.894,8.714
1.0,351.0,355.1,24.1,205.8,407.7,0.276,0.443,8.602
1.05,179.3,124.9,24.1,205.7,481.2,0.316,0.565,8.59
1.1,192.2,173.3,24.1,205.7,447.3,0.218,0.31,8.597
1.15,251.9,225.8,24.1,205.6,485.0,0.213,0.361,8.602
1.2,278.7,251.7,24.1,205.4,554.0,0.187,0.356,8.589
1.25,297.3,267.0,24.1,205.2,638.2,0.249,0.327,8.606
1.3,300.0,274.3,24.1,205.1,708.8,0.354,0.562,8.6
1.35,301.8,273.3,24.1,205.0,779.0,0.449,0.767,8.601
1.4,325.8,292.3,24.1,204.9,833.7,0.448,0.597,8.598
1.45,322.1,294.3,24.1,204.8,891.7,0.552,0.765,8.613
1.5,351.3,315.3,24.1,204.8,962.3,0.626,1.119,8.587
1.55,371.3,341.2,24.1,204.7,1021.1,0.685,0.981,8.615
1.6,366.1,331.0,24.1,204.6,1061.7,0.623,1.094,8.606
1.65,346.5,310.3,24.1,204.7,1004.3,0.684,1.034,8.613
1.7,341.1,310.1,24.1,204.9,910.4,0.787,1.2,8.606
1.75,341.5,310.5,24.1,205.1,826.3,0.892,0.826,8.614
1.8,344.9,314.7,24.1,205.3,760.1,0.535,0.586,8.608
1.85,345.3,312.1,24.1,205.3,719.2,0.546,0.62,8.592
1.9,342.0,307.1,24.1,205.3,695.0,0.628,0.616,8.598
1.95,336.7,308.9,24.1,205.3,697.8,0.642,0.724,8.599
2.0,336.9,305.8,24.1,205.2,722.5,0.619,0.57,8.606
2.05,342.4,304.9,24.1,205.1,757.7,0.546,0.643,8.596
2.1,343.0,308.4,24.1,205.0,790.7,0.51,0.63,8.603
2.15,339.2,306.4,24.1,205.0,807.7,0.598,0.766,8.601
2.2,341.0,306.0,24.1,205.1,805.3,0.63,0.799,8.616
2.25,338.5,314.3,24.1,205.1,797.0,0.559,0.571,8.605
2.3,337.6,304.9,24.1,205.2,773.7,0.511,0.598,8.597
2.35,343.1,305.8,24.1,205.3,749.8,0.538,0.582,8.606
2.4,333.8,311.4,24.1,205.5,746.4,0.518,0.505,8.588
2.45,339.5,305.4,24.1,205.5,743.5,0.555,0.655,8.617
2.5,339.9,306.5,24.1,205.5,748.2,0.529,0.581,8.604
2.55,334.7,307.3,24.1,205.5,756.3,0.499,0.407,8.6
2.6,342.8,301.6,24.1,205.6,768.9,0.565,0.566,8.607
2.65,338.8,306.1,24.1,205.5,782.1,0.576,0.568,8.591
2.7,314.1,284.7,24.1,205.5,776.4,0.533,0.582,8.612
2.75,290.8,261.2,24.1,205.7,678.9,0.63,0.874,8.612
2.8,285.0,264.8,24.1,205.9,542.4,0.457,0.638,8.616
2.85,277.0,252.1,24.1,206.2,427.1,0.351,0.724,8.598
2.9,217.6,167.7,24.1,206.3,345.7,0.31,0.399,8.61
2.95,150.5,114.8,24.1,206.3,341.9,0.24,0.254,8.593
3.0,121.9,88.1,24.1,206.3,351.7,0.216,0.276,8.597
3.05,61.2,58.3,24.1,206.2,348.5,0.29,0.458,8.6
3.1,58.0,70.6,24.1,206.4,324.4,0.155,0.245,8.596
3.15,65.6,79.3,24.1,206.4,317.5,0.095,0.202,8.601
3.2,35.5,43.3,24.1,206.6,314.3,0.095,0.173,8.595
3.25,73.8,30.8,24.1,206.5,325.8,0.355,0.328,8.609
3.3,148.4,88.3,24.1,206.6,342.0,0.11,0.212,8.588
3.35,172.5,131.9,24.1,206.4,374.3,0.058,0.141,8.607
3.4,168.2,138.9,24.1,206.5,400.9,0.076,0.165,8.596
3.45,139.5,124.2,24.1,206.5,416.7,0.085,0.164,8.597
3.5,106.8,102.0,24.1,206.5,414.6,0.085,0.148,8.595
3.55,96.0,76.2,24.1,206.4,405.7,0.084,0.17,8.599
3.6,81.8,70.2,24.1,206.5,392.7,0.084,0.139,8.598
3.65,85.0,58.6,24.1,206.4,385.2,0.076,0.184,8.599
3.7,95.4,51.2,24.1,206.4,378.8,0.09,0.131,8.596
3.75,97.5,55.6,24.1,206.4,378.3,0.079,0.191,8.597
3.8,106.3,61.8,24.1,206.3,375.4,0.068,0.135,8.6
3.85,114.8,66.4,24.1,206.3,378.6,0.074,0.184,8.601
3.9,108.6,76.5,24.1,206.2,378.4,0.084,0.126,8.597
3.95,107.8,83.5,24.1,206.3,381.0,0.083,0.185,8.592
4.0,111.0,82.6,24.1,206.3,380.5,0.068,0.146,8.602
4.05,100.5,88.0,24.1,206.3,380.5,0.085,0.168,8.596
4.1,100.1,83.3,24.1,206.4,378.0,0.091,0.154,8.599
4.15,101.7,77.5,24.1,206.4,377.7,0.072,0.159,8.598
4.2,95.7,76.8,24.1,206.5,374.2,0.087,0.16,8.596
4.25,97.4,70.6,24.1,206.5,376.5,0.076,0.157,8.599
4.3,101.6,67.3,24.1,206.6,375.5,0.082,0.166,8.594
4.35,95.9,70.4,24.1,206.5,380.9,0.096,0.159,8.597
4.4,94.1,66.4,24.1,206.6,379.8,0.089,0.166,8.596
4.45,94.7,63.8,24.1,206.5,382.6,0.072,0.159,8.599
4.5,86.3,67.0,24.1,206.5,381.6,0.083,0.165,8.597
4.55,90.8,63.9,24.1,206.4,383.1,0.081,0.166,8.594
4.6,95.1,63.1,24.1,206.5,381.5,0.092,0.156,8.602
4.65,90.2,65.0,24.1,206.3,382.2,0.078,0.176,8.599
4.7,97.0,68.6,24.1,206.4,380.0,0.091,0.153,8.599
4.75,101.9,70.0,24.1,206.3,382.2,0.125,0.175,8.595
4.8,93.0,95.3,24.1,206.3,379.1,1.127,1.511,8.6
4.85,297.6,322.9,24.1,206.3,359.0,1.965,2.686,8.777
4.9,166.3,156.3,24.1,206.5,322.5,0.217,0.211,8.605
4.95,16.7,20.0,24.1,206.4,307.6,0.076,0.195,8.599
5.0,21.9,10.7,24.1,206.5,297.2,0.113,0.141,8.597
5.05,11.1,10.6,24.1,206.4,294.1,0.056,0.166,8.595
5.1,9.1,10.0,24.1,206.6,290.3,0.055,0.148,8.599
5.15,8.7,10.5,24.1,206.6,292.0,0.068,0.156,8.597
5.2,9.8,10.9,24.1,206.7,290.8,0.053,0.136,8.596
5.25,9.1,10.1,24.1,206.6,296.2,0.052,0.144,8.601
5.3,10.5,11.4,24.1,206.8,297.5,0.058,0.148,8.594
5.35,8.9,10.6,24.1,206.8,300.9,0.047,0.132,8.6
5.4,9.8,10.3,24.1,207.0,299.4,0.056,0.168,8.595
5.45,9.0,9.8,24.1,206.8,303.6,0.048,0.135,8.604
5.5,9.8,10.0,24.1,206.9,299.2,0.056,0.158,8.597
5.55,8.7,10.2,24.1,206.8,301.2,0.05,0.14,8.602
5.6,9.3,10.7,24.1,206.9,297.2,0.05,0.158,8.595
5.65,9.5,10.5,24.1,206.7,296.0,0.044,0.129,8.604
