# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 12:23:55
動作種別,開動作
温度[℃],40.0
湿度[%RH],32.8
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.7,10.0,24.1,205.8,289.6,0.074,0.179,8.603
0.1,9.2,11.5,24.1,206.0,286.8,0.073,0.135,8.606
0.15,8.9,10.5,24.1,205.9,291.5,0.073,0.172,8.602
0.2,8.7,10.9,24.1,206.0,285.5,0.079,0.135,8.603
0.25,9.9,9.9,24.1,206.0,289.3,0.09,0.164,8.605
0.3,10.2,10.6,24.1,206.0,281.0,0.081,0.137,8.599
0.35,9.5,11.2,24.1,205.9,283.4,0.078,0.176,8.605
0.4,9.0,9.8,24.1,205.9,277.8,0.073,0.139,8.597
0.45,9.0,9.8,24.1,205.9,284.8,0.074,0.178,8.606
0.5,9.0,10.4,24.1,205.9,283.6,0.082,0.143,8.599
0.55,9.6,10.8,24.1,205.9,291.0,0.084,0.158,8.605
0.6,8.6,10.7,24.1,206.0,286.9,0.083,0.136,8.604
0.65,9.4,10.0,24.1,206.0,291.3,0.076,0.153,8.605
0.7,10.4,10.5,24.1,206.1,285.7,0.075,0.159,8.595
0.75,9.3,11.1,24.1,206.0,287.4,0.07,0.151,8.604
0.8,8.7,9.9,24.1,205.9,279.6,0.073,0.173,8.599
0.85,9.9,10.1,24.1,206.0,285.0,0.071,0.137,8.612
0.9,9.3,10.2,24.1,205.9,279.1,0.073,0.164,8.601
0.95,148.6,133.9,24.1,205.8,299.0,0.144,0.228,8.601
1.0,255.5,360.1,24.1,205.6,370.3,0.178,0.168,8.593
1.05,130.9,221.9,24.1,205.5,452.8,0.459,0.514,8.617
1.1,171.6,183.2,24.1,205.6,438.1,0.142,0.192,8.607
1.15,231.1,247.7,24.1,205.6,483.3,0.162,0.218,8.599
1.2,269.0,292.8,24.1,205.4,573.2,0.173,0.272,8.602
1.25,268.3,308.8,24.1,205.2,657.1,0.19,0.237,8.605
1.3,263.7,306.9,24.1,204.9,717.5,0.253,0.381,8.597
1.35,276.3,316.5,24.1,204.9,783.2,0.303,0.424,8.594
1.4,287.5,330.7,24.1,204.6,834.5,0.314,0.38,8.612
1.45,287.2,331.9,24.1,204.5,895.1,0.342,0.557,8.607
1.5,323.4,366.0,24.1,204.3,966.8,0.421,0.734,8.611
1.55,348.1,379.6,24.1,204.4,1034.8,0.472,0.708,8.613
1.6,355.2,381.6,24.1,204.2,1081.3,0.543,0.73,8.615
1.65,340.5,365.8,24.1,204.3,1026.5,0.609,0.886,8.642
1.7,345.0,350.2,24.1,204.4,925.0,0.676,0.938,8.646
1.75,341.3,354.2,24.1,204.6,830.4,0.645,0.827,8.611
1.8,354.9,344.7,24.1,204.7,750.7,0.772,0.802,8.614
1.85,348.7,346.0,24.1,204.9,704.8,0.695,0.686,8.632
1.9,347.9,348.8,24.1,204.9,681.5,0.76,0.663,8.607
1.95,345.0,341.5,24.1,205.0,696.6,0.587,0.684,8.621
2.0,336.4,344.8,24.1,204.9,725.3,0.583,0.696,8.624
2.05,340.5,348.3,24.1,205.0,769.4,0.569,0.794,8.622
2.1,343.9,348.7,24.1,204.8,798.6,0.641,0.673,8.621
2.15,334.7,350.8,24.1,204.7,818.1,0.702,0.743,8.637
2.2,339.8,351.9,24.1,204.5,815.0,0.582,0.771,8.605
2.25,342.0,345.7,24.1,204.7,800.2,0.637,0.648,8.632
2.3,340.0,352.0,24.1,204.6,783.2,0.636,0.707,8.636
2.35,346.0,346.6,24.1,204.8,772.8,0.67,0.712,8.605
2.4,343.0,342.4,24.1,204.8,762.7,0.643,0.679,8.64
2.45,338.8,349.5,24.1,204.9,763.4,0.659,0.779,8.601
2.5,344.7,343.9,24.1,204.8,763.0,0.582,0.607,8.626
2.55,335.8,346.2,24.1,204.9,771.5,0.592,0.684,8.614
2.6,338.6,352.7,24.1,204.6,773.0,0.595,0.673,8.64
2.65,344.9,349.4,24.1,204.7,781.9,0.558,0.591,8.615
2.7,334.7,345.2,24.1,204.6,766.8,0.631,0.673,8.618
2.75,345.7,352.6,24.1,204.7,766.8,0.63,0.718,8.63
2.8,343.1,340.6,24.1,204.6,758.9,0.64,0.675,8.614
2.85,335.4,349.3,24.1,204.8,763.7,0.639,0.757,8.649
2.9,302.9,292.0,24.1,204.8,699.4,0.829,0.894,8.637
2.95,316.8,283.5,24.1,205.1,572.5,0.708,0.601,8.606
3.0,295.1,267.2,24.1,205.3,439.4,0.441,0.606,8.608
3.05,221.0,228.2,24.1,205.5,350.4,0.46,0.653,8.602
3.1,170.1,168.5,24.1,205.4,342.9,0.273,0.381,8.599
3.15,115.7,121.3,24.1,205.5,352.5,0.232,0.388,8.603
3.2,85.7,83.1,24.1,205.4,335.1,0.252,0.332,8.605
3.25,92.3,32.9,24.1,205.7,324.4,0.161,0.236,8.595
3.3,48.7,51.9,24.1,205.7,315.6,0.151,0.242,8.604
3.35,37.4,41.8,24.1,205.8,317.8,0.099,0.21,8.601
3.4,30.6,32.1,24.1,205.6,317.4,0.23,0.245,8.606
3.45,67.0,89.2,24.1,205.7,335.0,0.172,0.353,8.601
3.5,105.0,153.5,24.1,205.5,354.5,0.082,0.205,8.603
3.55,113.9,175.7,24.1,205.5,385.6,0.082,0.18,8.601
3.6,102.1,158.2,24.1,205.4,395.7,0.131,0.221,8.603
3.65,90.3,126.9,24.1,205.5,396.5,0.106,0.199,8.608
3.7,69.6,103.9,24.1,205.4,382.7,0.112,0.219,8.597
3.75,57.2,92.6,24.1,205.6,379.9,0.11,0.272,8.6
3.8,54.6,82.7,24.1,205.5,370.2,0.09,0.202,8.6
3.85,51.4,82.4,24.1,205.6,372.3,0.115,0.221,8.603
3.9,57.1,85.5,24.1,205.6,370.0,0.091,0.165,8.599
3.95,63.4,86.8,24.1,205.6,372.8,0.09,0.181,8.599
4.0,68.9,94.9,24.1,205.5,366.3,0.11,0.184,8.6
4.05,75.2,99.8,24.1,205.6,371.1,0.097,0.193,8.602
4.1,76.6,100.8,24.1,205.5,364.6,0.095,0.198,8.602
4.15,68.0,105.6,24.1,205.6,368.5,0.097,0.194,8.602
4.2,63.4,106.5,24.1,205.6,367.4,0.099,0.188,8.601
4.25,59.4,102.0,24.1,205.6,374.5,0.082,0.193,8.606
