# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 08:39:10
動作種別,開動作
温度[℃],37.1
湿度[%RH],41.2
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,8.5,10.2,24.1,208.1,285.1,0.039,0.152,8.595
0.1,10.1,11.3,24.1,208.1,280.7,0.051,0.161,8.589
0.15,8.9,10.2,24.1,208.1,286.6,0.056,0.128,8.597
0.2,9.2,10.4,24.1,208.2,284.3,0.052,0.148,8.593
0.25,8.8,9.3,24.1,208.2,290.5,0.043,0.138,8.598
0.3,9.3,10.6,24.1,208.3,289.6,0.047,0.167,8.592
0.35,9.5,9.9,24.1,208.3,296.3,0.039,0.149,8.594
0.4,9.4,10.4,24.1,208.3,290.3,0.049,0.159,8.59
0.45,9.2,9.8,24.1,208.2,292.0,0.052,0.138,8.598
0.5,9.5,10.7,24.1,208.2,282.3,0.057,0.145,8.597
0.55,10.3,10.0,24.1,208.1,285.8,0.049,0.148,8.597
0.6,9.5,11.7,24.1,208.1,278.5,0.046,0.147,8.593
0.65,9.2,9.6,24.1,208.0,283.1,0.038,0.161,8.592
0.7,9.0,10.7,24.1,208.0,279.1,0.042,0.138,8.595
0.75,8.2,10.4,24.1,208.0,287.1,0.048,0.155,8.599
0.8,99.7,85.6,24.1,208.0,289.8,0.48,0.468,8.615
0.85,237.8,265.9,24.1,207.9,334.3,0.101,0.178,8.596
0.9,171.3,265.7,24.1,207.7,423.3,0.33,0.276,8.595
0.95,146.4,167.8,24.1,207.8,426.0,0.147,0.188,8.595
1.0,223.5,240.6,24.1,207.7,441.1,0.186,0.194,8.588
1.05,269.6,296.4,24.1,207.4,522.4,0.188,0.229,8.597
1.1,263.4,309.5,24.1,207.1,608.2,0.213,0.289,8.591
1.15,274.8,311.3,24.1,206.9,689.0,0.223,0.344,8.602
1.2,276.8,317.0,24.1,206.7,745.6,0.281,0.392,8.594
1.25,277.1,318.8,24.1,206.5,803.6,0.295,0.459,8.595
1.3,290.7,332.8,24.1,206.4,865.0,0.386,0.528,8.603
1.35,317.0,356.1,24.1,206.4,925.8,0.374,0.636,8.597
1.4,325.0,364.8,24.1,206.3,992.1,0.431,0.836,8.605
1.45,365.7,403.5,24.1,206.2,1065.7,0.459,0.579,8.597
1.5,355.2,374.9,24.1,206.2,1063.0,0.568,0.736,8.612
1.55,338.1,359.5,24.1,206.4,971.7,0.672,1.026,8.635
1.6,351.3,352.6,24.1,206.6,871.0,0.724,0.729,8.632
1.65,349.9,349.9,24.1,206.8,787.7,0.693,0.74,8.604
1.7,356.9,351.9,24.1,206.8,728.1,0.643,0.756,8.606
1.75,353.3,345.4,24.1,206.8,698.3,0.651,0.744,8.615
1.8,340.9,351.1,24.1,206.8,690.8,0.722,0.63,8.624
1.85,345.0,346.9,24.1,206.8,719.4,0.634,0.752,8.63
1.9,340.3,350.4,24.1,206.6,756.9,0.571,0.608,8.604
1.95,340.2,356.8,24.1,206.8,800.8,0.566,0.643,8.62
2.0,345.5,352.6,24.1,206.7,822.7,0.648,0.7,8.602
2.05,336.9,348.2,24.1,206.8,832.0,0.655,0.788,8.613
2.1,344.9,359.2,24.1,206.7,819.7,0.767,0.762,8.617
2.15,346.5,347.2,24.1,206.7,798.3,0.662,0.738,8.651
2.2,341.1,354.2,24.1,206.6,772.9,0.638,0.701,8.636
2.25,349.7,351.7,24.1,206.7,766.1,0.656,0.715,8.607
2.3,347.0,346.5,24.1,206.5,759.8,0.643,0.778,8.645
2.35,337.8,352.7,24.1,206.6,771.7,0.603,0.707,8.601
2.4,344.8,352.5,24.1,206.5,783.1,0.594,0.673,8.622
2.45,344.2,347.8,24.1,206.7,799.9,0.669,0.721,8.624
2.5,338.5,357.5,24.1,206.7,803.3,0.631,0.736,8.621
2.55,347.0,348.0,24.1,206.8,801.7,0.7,0.743,8.624
2.6,340.8,351.9,24.1,206.7,785.9,0.705,0.818,8.622
2.65,347.2,354.8,24.1,206.7,773.9,0.645,0.687,8.623
2.7,349.7,346.8,24.1,206.6,764.4,0.619,0.634,8.616
2.75,309.5,322.6,24.1,206.6,743.8,0.706,0.77,8.631
2.8,320.7,296.9,24.1,206.7,624.2,0.961,1.072,8.616
2.85,316.5,269.9,24.1,207.2,497.3,0.487,0.675,8.595
2.9,238.6,258.5,24.1,207.3,388.0,0.388,0.672,8.588
2.95,189.2,195.7,24.1,207.5,366.8,0.334,0.394,8.601
3.0,136.7,132.5,24.1,207.5,370.4,0.233,0.392,8.601
3.05,93.5,110.5,24.1,207.6,372.8,0.281,0.441,8.591
3.1,96.4,47.9,24.1,207.6,345.0,0.161,0.233,8.585
3.15,78.7,46.7,24.1,207.7,326.6,0.106,0.213,8.596
3.2,46.3,52.9,24.1,207.6,311.8,0.137,0.216,8.593
3.25,30.4,25.4,24.1,207.5,312.7,0.095,0.162,8.604
3.3,56.7,55.6,24.1,207.3,317.0,0.285,0.382,8.597
3.35,96.7,133.0,24.1,207.4,342.0,0.087,0.182,8.594
3.4,120.3,170.8,24.1,207.2,371.4,0.093,0.189,8.587
3.45,110.2,172.3,24.1,207.2,410.1,0.117,0.194,8.597
3.5,97.5,145.8,24.1,207.2,422.4,0.124,0.207,8.597
3.55,75.3,113.4,24.1,207.4,425.0,0.119,0.19,8.605
3.6,61.8,97.0,24.1,207.4,407.6,0.129,0.232,8.587
3.65,56.5,83.6,24.1,207.4,393.6,0.103,0.229,8.591
3.7,54.5,81.0,24.1,207.4,375.0,0.12,0.211,8.583
3.75,58.5,84.0,24.1,207.4,368.0,0.105,0.218,8.603
3.8,62.2,87.3,24.1,207.1,360.3,0.098,0.197,8.603
3.85,60.4,97.6,24.1,207.2,365.0,0.103,0.19,8.595
3.9,61.0,102.7,24.1,207.1,367.1,0.079,0.17,8.592
3.95,65.5,103.0,24.1,207.1,379.8,0.106,0.182,8.587
4.0,64.2,105.0,24.1,207.0,384.8,0.1,0.193,8.591
4.05,64.2,105.9,24.1,207.1,395.9,0.108,0.197,8.603
4.1,63.9,101.4,24.1,207.1,394.2,0.084,0.169,8.599
4.15,59.8,100.1,24.1,207.3,395.7,0.111,0.2,8.591
4.2,230.3,79.0,24.1,207.1,373.6,2.466,1.873,8.829
4.25,260.4,291.6,24.1,207.4,342.2,1.025,2.289,8.687
4.3,99.7,113.0,24.1,207.3,316.2,0.194,0.422,8.594
4.35,25.2,12.3,24.1,207.3,308.0,0.083,0.185,8.6
4.4,9.5,10.7,24.1,207.2,297.4,0.098,0.179,8.597
4.45,9.4,9.5,24.1,207.4,296.5,0.046,0.159,8.582
4.5,9.0,9.3,24.1,207.2,292.9,0.071,0.172,8.592
4.55,8.7,10.3,24.1,207.4,300.5,0.041,0.121,8.598
4.6,9.7,10.1,24.1,207.4,300.2,0.067,0.195,8.602
4.65,10.4,10.8,24.1,207.5,305.5,0.051,0.104,8.6
4.7,9.2,10.6,24.1,207.4,301.9,0.052,0.196,8.582
4.75,9.5,10.7,24.1,207.5,303.0,0.035,0.127,8.594
4.8,9.2,9.1,24.1,207.5,296.2,0.045,0.177,8.588
4.85,10.5,10.7,24.1,207.6,294.8,0.049,0.141,8.608
4.9,9.6,10.6,24.1,207.4,286.4,0.055,0.169,8.599
4.95,8.9,11.4,24.1,207.4,287.3,0.047,0.135,8.595
5.0,9.3,10.6,24.1,207.3,283.4,0.04,0.155,8.586
5.05,9.7,10.4,24.1,207.4,290.0,0.04,0.157,8.588
5.1,9.2,9.9,24.1,207.3,288.9,0.053,0.147,8.594
5.15,8.9,10.4,24.1,207.5,297.9,0.055,0.16,8.609
5.2,9.2,9.9,24.1,207.4,297.2,0.05,0.147,8.592
5.25,9.5,10.4,24.1,207.5,299.1,0.045,0.147,8.592
5.3,9.5,10.4,24.1,207.4,295.1,0.041,0.149,8.586
5.35,9.0,10.0,24.1,207.5,294.6,0.054,0.16,8.601
5.4,8.7,10.3,24.1,207.4,289.2,0.048,0.129,8.6
5.45,8.8,10.1,24.1,207.4,287.8,0.055,0.161,8.601
5.5,8.4,9.7,24.1,207.3,282.4,0.047,0.136,8.592
5.55,10.6,11.3,24.1,207.4,284.2,0.043,0.157,8.591
5.6,9.7,11.0,24.1,207.2,282.8,0.043,0.143,8.589
