# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 16:11:36
動作種別,開動作
温度[℃],36.6
湿度[%RH],40.1
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.6,10.5,24.1,203.6,287.6,0.037,0.142,8.594
0.1,9.3,10.2,24.1,203.6,284.1,0.042,0.149,8.596
0.15,9.2,10.6,24.1,203.6,290.5,0.045,0.137,8.599
0.2,9.1,10.5,24.1,203.5,287.1,0.049,0.151,8.593
0.25,9.7,10.5,24.1,203.5,292.0,0.047,0.142,8.604
0.3,9.9,11.0,24.1,203.5,287.1,0.048,0.154,8.594
0.35,9.8,9.7,24.1,203.5,292.3,0.046,0.147,8.594
0.4,9.8,11.3,24.1,203.4,286.5,0.047,0.165,8.598
0.45,9.4,10.2,24.1,203.5,290.1,0.043,0.143,8.596
0.5,10.3,10.6,24.1,203.3,284.0,0.048,0.154,8.597
0.55,10.2,10.4,24.1,203.4,288.9,0.045,0.14,8.596
0.6,9.2,9.2,24.1,203.3,284.3,0.046,0.149,8.594
0.65,10.5,10.8,24.1,203.3,287.7,0.046,0.147,8.597
0.7,9.6,10.0,24.1,203.3,282.6,0.046,0.15,8.595
0.75,9.3,9.5,24.1,203.4,287.6,0.046,0.153,8.598
0.8,10.1,10.6,24.1,203.3,281.8,0.048,0.147,8.594
0.85,9.0,9.2,24.1,203.4,286.9,0.048,0.154,8.596
0.9,27.9,21.8,24.1,203.4,283.5,0.061,0.143,8.597
0.95,179.2,159.6,24.1,203.4,304.4,1.072,0.739,8.631
1.0,206.6,377.0,24.1,203.1,368.4,0.201,0.16,8.597
1.05,136.4,169.1,24.1,203.0,433.3,0.422,0.38,8.597
