# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 14:38:12
動作種別,開動作
温度[℃],39.7
湿度[%RH],34.5
気圧[hPa],1011
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.0,11.4,24.1,204.9,292.6,0.049,0.126,8.606
0.1,9.2,10.2,24.1,205.1,289.3,0.057,0.154,8.602
0.15,9.7,10.1,24.1,205.1,295.8,0.047,0.14,8.603
0.2,9.2,9.9,24.1,205.1,291.4,0.053,0.151,8.601
0.25,9.5,10.2,24.1,205.2,294.9,0.049,0.147,8.603
0.3,10.3,11.4,24.1,205.1,290.6,0.047,0.128,8.601
0.35,8.1,11.1,24.1,205.1,293.0,0.051,0.155,8.604
0.4,8.7,10.7,24.1,205.1,288.5,0.048,0.119,8.607
0.45,9.1,10.3,24.1,205.1,291.0,0.052,0.178,8.603
0.5,9.0,11.4,24.1,205.1,286.8,0.044,0.111,8.603
0.55,9.2,10.2,24.1,205.2,290.0,0.058,0.18,8.602
0.6,9.7,10.7,24.1,205.1,285.6,0.052,0.115,8.604
0.65,8.8,11.1,24.1,205.1,288.0,0.055,0.172,8.604
0.7,8.6,10.4,24.1,205.1,282.2,0.046,0.126,8.602
0.75,10.5,10.6,24.1,205.1,287.6,0.053,0.159,8.602
0.8,9.9,10.7,24.1,205.1,284.1,0.046,0.141,8.601
0.85,8.8,10.9,24.1,205.2,286.0,0.054,0.149,8.606
0.9,26.0,22.3,24.1,205.1,277.9,0.054,0.18,8.596
0.95,177.9,159.1,24.1,205.1,300.4,0.152,0.264,8.614
1.0,233.5,365.7,24.1,204.9,387.3,0.222,0.159,8.598
1.05,121.9,163.6,24.1,204.8,440.6,0.407,0.253,8.601
1.1,190.4,194.2,24.1,204.7,429.7,0.161,0.203,8.597
1.15,240.9,258.4,24.1,204.7,491.2,0.174,0.186,8.609
1.2,265.3,291.4,24.1,204.4,584.5,0.196,0.271,8.598
1.25,271.6,309.5,24.1,204.4,670.3,0.237,0.296,8.608
1.3,260.4,310.0,24.1,204.3,736.4,0.286,0.365,8.595
1.35,273.4,315.8,24.1,204.2,799.4,0.287,0.382,8.598
1.4,288.6,336.4,24.1,204.0,843.6,0.344,0.442,8.598
1.45,294.1,341.7,24.1,203.9,897.7,0.427,0.52,8.606
1.5,327.3,365.0,24.1,203.7,960.7,0.49,0.742,8.617
1.55,356.1,383.2,24.1,203.6,1023.4,0.481,0.725,8.621
1.6,351.1,388.4,24.1,203.5,1063.5,0.522,0.696,8.612
1.65,345.1,360.7,24.1,203.7,998.3,0.566,0.854,8.627
1.7,344.1,350.1,24.1,203.8,898.0,0.691,0.904,8.655
