# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 22:14:07
動作種別,開動作
温度[℃],36.4
湿度[%RH],41.9
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,8.9,10.6,24.1,206.0,292.2,0.053,0.143,8.599
0.1,10.0,9.8,24.1,206.0,285.5,0.07,0.149,8.597
0.15,9.9,10.6,24.1,206.1,293.4,0.052,0.141,8.602
0.2,9.5,10.5,24.1,206.1,286.6,0.039,0.163,8.589
0.25,8.5,9.9,24.1,206.1,292.2,0.033,0.147,8.596
0.3,9.8,10.6,24.1,206.0,285.3,0.046,0.17,8.59
0.35,8.8,10.3,24.1,206.0,290.9,0.055,0.132,8.601
0.4,10.0,10.1,24.1,206.0,284.1,0.056,0.149,8.592
0.45,10.1,10.4,24.1,206.0,291.3,0.044,0.132,8.601
0.5,8.9,10.0,24.1,206.0,284.4,0.039,0.155,8.59
0.55,9.7,9.4,24.1,206.0,289.5,0.037,0.161,8.593
0.6,9.2,10.3,24.1,206.0,283.8,0.042,0.151,8.592
0.65,9.2,9.3,24.1,206.0,288.7,0.06,0.15,8.6
0.7,10.5,11.9,24.1,206.0,282.3,0.054,0.134,8.594
0.75,9.4,9.9,24.1,206.0,288.4,0.049,0.148,8.601
0.8,121.3,107.6,24.1,205.9,289.5,0.152,0.195,8.588
0.85,224.3,323.5,24.1,205.8,349.6,0.117,0.16,8.596
0.9,149.6,300.9,24.1,205.5,453.0,0.407,0.392,8.597
0.95,175.6,167.3,24.1,205.5,436.2,0.135,0.178,8.598
1.0,237.2,231.3,24.1,205.4,457.6,0.144,0.197,8.59
1.05,273.1,278.0,24.1,205.3,538.7,0.141,0.275,8.597
1.1,262.6,299.8,24.1,205.0,613.8,0.225,0.275,8.586
1.15,264.6,303.0,24.1,204.9,691.0,0.241,0.333,8.605
1.2,278.6,318.5,24.1,204.8,748.6,0.298,0.438,8.597
1.25,276.6,324.7,24.1,204.7,797.1,0.263,0.425,8.591
1.3,286.3,332.6,24.1,204.6,856.5,0.391,0.492,8.61
1.35,321.0,361.2,24.1,204.5,913.4,0.406,0.699,8.605
1.4,332.6,376.9,24.1,204.3,970.7,0.495,0.74,8.61
1.45,368.2,391.5,24.1,204.1,1044.6,0.556,0.686,8.618
1.5,345.0,369.3,24.1,204.1,1016.4,0.539,0.791,8.626
1.55,344.9,356.7,24.1,204.4,934.3,0.799,0.992,8.628
1.6,350.7,348.3,24.1,204.6,839.7,0.57,0.899,8.639
1.65,349.2,350.9,24.1,204.8,762.7,0.645,0.792,8.629
1.7,358.9,350.5,24.1,204.9,708.9,0.788,0.834,8.61
1.75,345.0,353.2,24.1,204.9,679.6,0.668,0.802,8.622
1.8,346.8,344.3,24.1,205.0,673.9,0.719,0.685,8.602
1.85,346.2,345.5,24.1,205.0,700.7,0.612,0.722,8.621
1.9,340.4,353.9,24.1,204.9,732.3,0.567,0.686,8.614
1.95,342.0,354.9,24.1,204.8,771.0,0.54,0.651,8.602
2.0,343.3,350.9,24.1,204.7,796.6,0.65,0.801,8.603
