# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 18:22:32
動作種別,閉動作
温度[℃],36.6
湿度[%RH],39.0
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.0,9.9,24.1,204.1,285.6,0.046,0.167,8.597
0.1,9.9,10.6,24.1,204.1,282.4,0.046,0.13,8.594
0.15,10.3,11.0,24.1,204.3,291.3,0.05,0.178,8.597
0.2,11.1,11.0,24.1,204.3,287.3,0.041,0.115,8.594
0.25,10.3,11.0,24.1,204.3,296.6,0.05,0.201,8.594
0.3,9.8,9.5,24.1,204.2,291.0,0.039,0.101,8.597
0.35,10.6,10.7,24.1,204.3,295.3,0.051,0.182,8.596
0.4,9.7,10.3,24.1,204.1,286.3,0.047,0.136,8.595
0.45,10.1,10.2,24.1,204.1,288.1,0.045,0.164,8.597
0.5,10.0,9.7,24.1,204.1,279.3,0.041,0.139,8.593
0.55,9.5,9.7,24.1,204.1,284.1,0.056,0.158,8.6
0.6,9.5,9.7,24.1,204.0,278.8,0.048,0.148,8.592
0.65,9.3,9.9,24.1,204.2,286.2,0.043,0.133,8.598
0.7,9.4,10.6,24.1,204.2,282.7,0.045,0.161,8.592
0.75,9.7,10.9,24.1,204.3,289.5,0.044,0.132,8.595
0.8,10.0,9.7,24.1,204.3,287.3,0.049,0.174,8.592
0.85,10.1,10.8,24.1,204.3,295.1,0.046,0.153,8.6
0.9,9.6,10.5,24.1,204.3,288.9,0.043,0.145,8.591
0.95,136.6,105.9,24.1,204.2,301.5,1.21,2.091,8.63
1.0,320.3,301.2,24.1,203.9,356.3,0.186,0.409,8.597
1.05,191.8,178.2,24.1,203.7,436.6,0.355,0.495,8.595
1.1,189.5,172.8,24.1,203.7,420.8,0.238,0.291,8.591
1.15,252.2,227.5,24.1,203.6,454.4,0.294,0.374,8.589
1.2,279.4,257.1,24.1,203.5,529.5,0.223,0.394,8.591
1.25,299.9,270.3,24.1,203.4,620.3,0.25,0.336,8.595
1.3,294.5,263.7,24.1,203.4,697.2,0.365,0.495,8.592
1.35,304.6,273.7,24.1,203.2,766.4,0.497,0.86,8.593
1.4,312.2,279.9,24.1,203.1,822.3,0.429,0.708,8.59
1.45,318.7,281.6,24.1,202.8,888.1,0.601,0.726,8.606
1.5,349.5,318.7,24.1,202.6,949.5,0.539,1.03,8.601
1.55,356.9,325.9,24.1,202.5,1010.3,0.649,1.002,8.597
1.6,375.2,341.9,24.1,202.3,1078.6,0.7,0.953,8.574
1.65,350.8,322.4,24.1,202.4,1049.6,0.683,1.063,8.612
1.7,344.6,308.6,24.1,202.6,955.9,0.797,1.09,8.605
1.75,343.0,314.3,24.1,202.9,856.1,0.677,0.931,8.607
1.8,342.9,316.1,24.1,203.2,780.7,0.571,0.655,8.584
1.85,343.7,314.1,24.1,203.3,730.1,0.556,0.518,8.569
1.9,336.2,319.0,24.1,203.4,705.9,0.646,0.68,8.586
1.95,337.0,307.6,24.1,203.4,703.5,0.576,0.528,8.597
2.0,342.2,306.4,24.1,203.3,721.6,0.535,0.572,8.605
2.05,338.0,310.2,24.1,203.2,749.7,0.683,0.671,8.618
2.1,341.3,306.4,24.1,203.1,779.1,0.603,0.722,8.588
2.15,345.6,308.1,24.1,203.0,808.5,0.628,0.704,8.611
2.2,337.5,308.4,24.1,203.0,815.5,0.715,0.738,8.593
2.25,343.6,310.1,24.1,203.0,810.4,0.683,0.737,8.606
2.3,334.7,308.3,24.1,203.1,789.8,0.483,0.525,8.588
2.35,341.1,304.7,24.1,203.2,767.8,0.497,0.648,8.612
2.4,341.8,310.0,24.1,203.3,760.4,0.472,0.482,8.597
2.45,334.8,309.1,24.1,203.3,758.2,0.552,0.65,8.603
2.5,338.5,307.8,24.1,203.3,760.3,0.632,0.631,8.612
2.55,343.7,306.7,24.1,203.2,768.9,0.455,0.543,8.592
2.6,337.5,308.6,24.1,203.2,776.3,0.527,0.503,8.606
2.65,340.1,302.3,24.1,203.1,783.6,0.509,0.549,8.592
2.7,345.2,300.8,24.1,203.0,784.4,0.581,0.483,8.601
2.75,286.2,255.9,24.1,203.1,719.1,0.674,0.932,8.619
2.8,286.7,265.3,24.1,203.5,582.4,0.439,0.54,8.602
2.85,288.9,270.7,24.1,203.7,449.2,0.388,0.819,8.601
2.9,244.3,200.4,24.1,204.1,367.4,0.312,0.431,8.602
2.95,176.4,147.2,24.1,204.1,336.3,0.251,0.288,8.597
3.0,130.2,91.9,24.1,204.1,345.0,0.238,0.292,8.595
3.05,87.6,70.0,24.1,204.1,359.9,0.398,0.547,8.616
3.1,55.0,62.9,24.1,204.1,339.6,0.179,0.256,8.585
3.15,65.5,77.7,24.1,204.1,325.2,0.153,0.179,8.596
3.2,47.0,62.6,24.1,204.1,313.8,0.1,0.186,8.594
3.25,47.0,20.4,24.1,204.1,318.3,0.109,0.19,8.589
3.3,117.7,60.6,24.1,204.2,327.8,0.197,0.3,8.6
3.35,161.9,117.8,24.1,204.0,350.9,0.077,0.136,8.592
3.4,172.2,138.5,24.1,203.9,378.7,0.093,0.187,8.594
3.45,149.5,131.7,24.1,203.9,397.0,0.079,0.15,8.596
3.5,116.3,111.5,24.1,204.0,403.1,0.083,0.168,8.585
3.55,103.0,81.0,24.1,204.0,401.5,0.091,0.178,8.599
3.6,84.9,69.6,24.1,204.1,394.6,0.097,0.135,8.594
3.65,84.1,67.7,24.1,204.0,392.4,0.081,0.197,8.596
3.7,91.8,55.2,24.1,204.1,385.1,0.081,0.132,8.595
3.75,94.5,55.8,24.1,203.9,382.6,0.077,0.201,8.591
3.8,101.7,61.3,24.1,203.9,375.5,0.072,0.12,8.597
3.85,110.0,63.4,24.1,203.9,372.0,0.077,0.212,8.596
3.9,106.6,72.6,24.1,203.9,367.9,0.068,0.13,8.594
3.95,104.7,81.5,24.1,203.8,366.8,0.067,0.18,8.594
4.0,106.9,81.3,24.1,203.9,368.0,0.08,0.161,8.596
4.05,99.8,84.0,24.1,204.0,375.4,0.074,0.166,8.596
4.1,95.1,84.7,24.1,204.1,381.2,0.083,0.167,8.594
4.15,104.1,77.0,24.1,204.0,388.1,0.07,0.16,8.592
4.2,101.3,73.6,24.1,204.1,392.5,0.077,0.159,8.597
4.25,98.3,69.7,24.1,203.9,393.5,0.074,0.148,8.595
4.3,104.3,66.1,24.1,203.9,388.2,0.078,0.182,8.594
4.35,99.4,69.4,24.1,203.8,382.5,0.093,0.138,8.597
4.4,95.7,67.1,24.1,203.9,374.4,0.082,0.183,8.594
4.45,91.4,61.6,24.1,203.8,365.7,0.086,0.136,8.598
4.5,80.3,65.5,24.1,203.9,360.5,0.08,0.182,8.592
4.55,88.2,64.7,24.1,203.8,359.6,0.074,0.155,8.594
4.6,96.5,60.9,24.1,204.0,361.7,0.074,0.173,8.592
4.65,92.3,65.2,24.1,204.0,369.4,0.078,0.157,8.599
4.7,98.1,66.8,24.1,204.1,375.1,0.093,0.173,8.592
4.75,101.6,63.9,24.1,203.9,380.5,0.077,0.154,8.596
4.8,90.7,69.7,24.1,203.9,385.3,0.086,0.163,8.595
4.85,179.6,250.2,24.1,203.7,371.5,1.529,2.556,8.915
4.9,259.7,235.5,24.1,203.9,329.8,0.185,0.237,8.591
4.95,50.4,54.4,24.1,203.8,306.8,0.185,0.212,8.593
5.0,38.3,14.0,24.1,204.0,293.9,0.167,0.203,8.592
5.05,17.4,10.2,24.1,203.9,288.6,0.063,0.178,8.598
5.1,10.2,10.4,24.1,204.0,286.4,0.051,0.147,8.593
5.15,10.0,9.9,24.1,204.0,290.7,0.049,0.168,8.597
5.2,10.1,11.3,24.1,204.2,292.7,0.051,0.146,8.592
5.25,10.7,9.9,24.1,204.1,294.6,0.055,0.176,8.599
5.3,10.0,10.4,24.1,204.2,295.3,0.044,0.13,8.591
5.35,10.5,9.9,24.1,204.1,292.6,0.047,0.175,8.597
5.4,10.3,9.8,24.1,204.0,288.7,0.041,0.112,8.591
5.45,10.3,11.1,24.1,203.9,285.6,0.053,0.178,8.596
5.5,10.0,10.0,24.1,203.9,279.9,0.046,0.115,8.593
5.55,9.4,9.8,24.1,203.8,275.4,0.052,0.18,8.596
5.6,10.1,10.8,24.1,203.9,274.2,0.043,0.117,8.594
5.65,9.7,10.2,24.1,203.9,277.0,0.049,0.193,8.594
5.7,10.3,10.5,24.1,204.0,281.9,0.044,0.11,8.595
5.75,8.7,11.3,24.1,204.0,287.0,0.057,0.201,8.593
5.8,9.5,10.4,24.1,204.2,290.7,0.043,0.119,8.597
5.85,9.5,10.8,24.1,204.0,291.5,0.05,0.184,8.597
5.9,9.7,9.6,24.1,204.1,292.3,0.046,0.144,8.593
5.95,10.4,11.3,24.1,203.9,291.3,0.049,0.174,8.594
6.0,10.0,11.5,24.1,204.0,288.8,0.047,0.16,8.597
6.05,10.2,9.9,24.1,203.8,283.5,0.046,0.15,8.593
6.1,9.9,11.0,24.1,203.9,279.7,0.052,0.172,8.594
6.15,9.2,10.0,24.1,203.7,275.6,0.041,0.132,8.595
6.2,9.3,11.0,24.1,203.9,276.7,0.047,0.169,8.594
6.25,10.3,10.0,24.1,203.8,279.0,0.043,0.126,8.597
6.3,10.7,10.8,24.1,204.0,283.3,0.05,0.172,8.594
6.35,9.5,11.0,24.1,204.0,287.4,0.045,0.127,8.594
6.4,9.2,10.7,24.1,204.2,292.3,0.049,0.167,8.593
6.45,10.5,11.1,24.1,204.0,293.2,0.04,0.13,8.596
6.5,9.7,9.7,24.1,204.1,294.2,0.051,0.16,8.597
6.55,9.4,10.7,24.1,203.9,292.0,0.05,0.144,8.597
6.6,9.0,11.1,24.1,204.0,289.3,0.045,0.137,8.596
6.65,9.0,10.1,24.1,203.8,283.2,0.049,0.176,8.593
6.7,10.5,10.2,24.1,203.9,280.5,0.039,0.127,8.594
6.75,9.6,9.9,24.1,203.8,277.5,0.046,0.155,8.589
6.8,9.9,10.7,24.1,204.0,278.6,0.048,0.148,8.597
6.85,11.0,9.5,24.1,204.0,280.9,0.046,0.144,8.592
6.9,10.0,10.9,24.1,204.1,285.9,0.042,0.143,8.597
6.95,10.0,11.3,24.1,204.1,289.5,0.047,0.143,8.589
7.0,9.6,9.3,24.1,204.3,291.2,0.044,0.152,8.593
7.05,10.2,11.0,24.1,204.1,293.0,0.047,0.148,8.596
7.1,10.5,10.2,24.1,204.3,294.3,0.05,0.15,8.598
7.15,9.9,10.3,24.1,204.1,292.0,0.048,0.141,8.593
