# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 08:13:36
動作種別,開動作
温度[℃],32.1
湿度[%RH],51.2
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.4,9.9,24.1,206.8,282.2,0.046,0.166,8.589
0.1,10.9,10.4,24.1,206.8,275.1,0.051,0.161,8.578
0.15,9.7,9.9,24.1,206.8,281.2,0.074,0.181,8.58
0.2,9.8,10.0,24.1,206.9,281.1,0.093,0.159,8.585
0.25,9.8,9.7,24.1,206.9,295.0,0.094,0.195,8.588
0.3,10.4,10.6,24.1,207.1,295.9,0.088,0.138,8.579
0.35,9.9,10.3,24.1,207.1,301.6,0.099,0.186,8.592
0.4,10.1,10.3,24.1,207.2,296.8,0.074,0.149,8.58
0.45,9.7,9.1,24.1,207.1,298.8,0.049,0.184,8.585
0.5,11.0,9.4,24.1,207.2,292.2,0.035,0.151,8.58
0.55,9.1,10.7,24.1,207.2,294.1,0.047,0.172,8.58
0.6,10.1,9.8,24.1,207.2,284.4,0.037,0.151,8.583
0.65,10.3,9.6,24.1,207.2,282.6,0.054,0.154,8.587
0.7,10.5,10.5,24.1,207.2,274.6,0.059,0.15,8.585
0.75,9.9,11.0,24.1,207.2,277.9,0.052,0.152,8.587
0.8,157.5,145.3,24.1,207.3,290.9,0.159,0.277,8.585
0.85,214.1,351.5,24.1,207.2,359.3,0.163,0.195,8.584
0.9,139.9,186.1,24.1,207.2,423.6,0.271,0.301,8.58
0.95,175.9,179.9,24.1,207.2,419.8,0.126,0.165,8.59
1.0,242.4,261.4,24.1,207.1,463.1,0.195,0.221,8.586
1.05,275.6,310.9,24.1,206.9,555.3,0.189,0.349,8.584
1.1,272.2,326.4,24.1,206.7,643.3,0.223,0.346,8.579
1.15,266.8,321.0,24.1,206.5,716.4,0.268,0.411,8.591
1.2,282.8,321.2,24.1,206.3,775.6,0.291,0.403,8.582
1.25,293.3,335.3,24.1,206.2,824.8,0.311,0.377,8.581
1.3,297.5,343.3,24.1,206.0,875.8,0.356,0.46,8.59
1.35,333.6,373.5,24.1,205.9,941.6,0.413,0.674,8.581
1.4,357.0,390.0,24.1,205.7,998.1,0.422,0.786,8.601
1.45,363.5,392.8,24.1,205.6,1049.9,0.479,0.634,8.606
1.5,345.5,372.3,24.1,205.8,997.8,0.615,0.825,8.615
1.55,352.4,354.6,24.1,206.0,912.0,0.754,0.956,8.638
1.6,350.0,358.9,24.1,206.1,826.7,0.638,0.951,8.602
1.65,358.8,351.4,24.1,206.4,761.8,0.81,0.842,8.609
1.7,358.2,357.5,24.1,206.4,721.7,1.04,0.947,8.613
1.75,351.8,352.2,24.1,206.3,704.6,0.637,0.778,8.595
