# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 16:54:40
動作種別,開動作
温度[℃],36.6
湿度[%RH],37.9
気圧[hPa],1012
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.9,9.8,24.1,203.7,294.0,0.045,0.159,8.594
0.1,9.1,10.3,24.1,203.7,288.0,0.044,0.128,8.591
0.15,9.9,10.4,24.1,203.7,291.1,0.046,0.171,8.596
0.2,8.6,10.7,24.1,203.7,283.5,0.041,0.13,8.594
0.25,9.8,11.0,24.1,203.6,285.3,0.046,0.168,8.596
0.3,9.8,9.9,24.1,203.7,278.2,0.047,0.141,8.592
0.35,9.9,10.4,24.1,203.6,281.3,0.046,0.155,8.596
0.4,9.4,10.4,24.1,203.6,276.3,0.048,0.159,8.591
0.45,10.5,10.6,24.1,203.6,281.0,0.041,0.139,8.597
0.5,8.8,11.0,24.1,203.7,278.4,0.048,0.167,8.593
0.55,9.1,11.9,24.1,203.6,286.5,0.042,0.13,8.6
0.6,8.6,10.8,24.1,203.7,284.6,0.051,0.163,8.593
0.65,8.6,10.5,24.1,203.7,291.3,0.042,0.132,8.597
0.7,10.1,10.9,24.1,203.7,288.2,0.047,0.162,8.594
0.75,9.0,10.5,24.1,203.7,292.7,0.043,0.145,8.596
0.8,8.7,10.7,24.1,203.8,288.8,0.048,0.153,8.596
0.85,10.5,10.6,24.1,203.7,288.3,0.041,0.146,8.595
0.9,9.4,10.5,24.1,203.7,282.6,0.047,0.147,8.591
0.95,9.9,9.8,24.1,203.7,284.1,0.045,0.142,8.597
1.0,10.2,9.6,24.1,203.1,277.8,0.047,0.155,8.592
1.05,9.6,11.0,24.1,203.3,361.6,0.041,0.143,8.595
1.1,9.9,10.1,24.1,202.6,264.1,0.049,0.159,8.593
1.15,9.6,10.6,24.1,202.9,275.2,0.045,0.138,8.597
1.2,9.4,11.4,24.1,202.9,274.1,0.045,0.161,8.593
1.25,11.2,10.9,24.1,203.1,286.2,0.047,0.129,8.596
1.3,9.8,11.5,24.1,203.1,282.6,0.045,0.165,8.592
1.35,9.1,10.4,24.1,203.3,294.7,0.042,0.135,8.594
1.4,10.1,10.6,24.1,203.2,288.2,0.048,0.161,8.593
1.45,10.0,11.5,24.1,203.4,297.1,0.04,0.144,8.595
1.5,11.1,10.9,24.1,203.4,286.6,0.045,0.146,8.59
1.55,9.8,11.1,24.1,203.5,290.6,0.044,0.149,8.592
1.6,10.0,10.4,24.1,203.4,276.7,0.048,0.144,8.594
1.65,9.7,10.4,24.1,203.5,282.8,0.042,0.147,8.597
1.7,9.8,10.4,24.1,203.5,272.8,0.049,0.151,8.592
1.75,9.1,11.1,24.1,203.7,282.1,0.045,0.143,8.598
1.8,9.4,10.7,24.1,203.7,276.4,0.045,0.154,8.593
1.85,10.3,10.5,24.1,203.8,288.2,0.044,0.143,8.597
1.9,10.5,10.6,24.1,203.8,285.1,0.045,0.156,8.591
1.95,9.3,11.7,24.1,204.0,296.2,0.041,0.142,8.598
2.0,9.3,10.6,24.1,204.0,290.4,0.047,0.15,8.592
2.05,10.4,10.9,24.1,204.0,299.9,0.044,0.146,8.594
2.1,9.9,11.1,24.1,204.0,292.6,0.044,0.148,8.59
2.15,9.9,11.2,24.1,204.0,297.1,0.046,0.15,8.595
2.2,10.2,10.8,24.1,204.0,286.5,0.043,0.146,8.592
2.25,9.6,11.7,24.1,203.9,288.0,0.042,0.148,8.595
2.3,9.7,10.9,24.1,204.0,277.4,0.044,0.143,8.592
2.35,9.3,10.6,24.1,203.9,281.5,0.043,0.153,8.599
2.4,10.5,11.5,24.1,204.0,273.3,0.046,0.142,8.592
2.45,10.2,11.1,24.1,203.9,281.2,0.045,0.15,8.597
2.5,11.2,12.3,24.1,204.0,277.8,0.047,0.15,8.59
2.55,10.2,10.9,24.1,203.9,285.1,0.046,0.145,8.596
2.6,9.7,9.4,24.1,204.0,283.8,0.043,0.156,8.589
2.65,9.4,10.6,24.1,204.0,292.5,0.045,0.144,8.596
2.7,9.2,11.3,24.1,204.0,290.5,0.047,0.148,8.593
2.75,10.8,11.6,24.1,204.0,295.1,0.046,0.144,8.598
2.8,9.6,10.7,24.1,204.0,291.1,0.042,0.146,8.591
2.85,8.8,10.9,24.1,203.9,291.2,0.045,0.154,8.597
2.9,10.1,10.8,24.1,204.0,284.0,0.044,0.143,8.591
2.95,9.8,10.9,24.1,204.0,284.5,0.046,0.151,8.594
3.0,9.2,10.3,24.1,204.0,277.1,0.047,0.145,8.596
3.05,9.4,9.7,24.1,204.0,280.1,0.046,0.152,8.594
3.1,9.3,12.7,24.1,204.1,276.1,0.044,0.143,8.593
3.15,9.0,10.8,24.1,204.0,281.7,0.045,0.148,8.595
3.2,10.0,11.2,24.1,204.1,280.4,0.044,0.148,8.592
3.25,9.0,12.0,24.1,204.0,287.6,0.045,0.143,8.597
3.3,10.1,11.4,24.1,204.2,287.0,0.049,0.156,8.593
3.35,9.6,10.1,24.1,204.1,293.3,0.043,0.14,8.592
3.4,10.1,10.6,24.1,204.3,292.8,0.047,0.156,8.591
3.45,10.1,10.5,24.1,204.2,296.4,0.043,0.145,8.595
3.5,10.0,10.1,24.1,204.3,291.4,0.047,0.15,8.594
3.55,9.6,10.0,24.1,204.3,291.6,0.045,0.142,8.595
3.6,8.6,11.3,24.1,204.4,284.4,0.048,0.151,8.593
3.65,10.8,10.8,24.1,204.2,285.8,0.041,0.144,8.593
3.7,10.2,11.0,24.1,204.4,279.0,0.045,0.152,8.595
3.75,9.8,10.9,24.1,204.3,278.8,0.046,0.143,8.597
3.8,9.3,11.3,24.1,204.4,274.9,0.045,0.152,8.591
3.85,8.9,10.6,24.1,204.3,277.5,0.044,0.142,8.596
3.9,9.8,10.0,24.1,204.4,277.1,0.045,0.157,8.595
3.95,9.8,11.2,24.1,204.4,282.4,0.043,0.139,8.597
4.0,10.5,10.1,24.1,204.5,283.3,0.046,0.154,8.593
4.05,10.4,10.6,24.1,204.5,288.0,0.041,0.142,8.597
4.1,10.1,11.0,24.1,204.6,290.1,0.043,0.156,8.595
4.15,9.5,10.6,24.1,204.5,295.0,0.041,0.144,8.598
4.2,10.1,10.6,24.1,204.7,293.9,0.047,0.152,8.594
4.25,9.9,10.9,24.1,204.5,294.7,0.046,0.15,8.597
4.3,9.4,10.2,24.1,204.6,289.2,0.047,0.144,8.592
4.35,10.7,11.0,24.1,204.5,288.6,0.048,0.159,8.598
4.4,9.1,10.6,24.1,204.6,280.8,0.044,0.136,8.594
4.45,7.9,10.3,24.1,204.4,277.8,0.046,0.162,8.592
4.5,9.6,11.2,24.1,204.5,275.1,0.045,0.136,8.594
4.55,8.8,10.5,24.1,204.4,272.7,0.047,0.16,8.594
4.6,9.4,11.2,24.1,204.5,271.8,0.043,0.138,8.591
4.65,9.2,10.6,24.1,204.4,276.4,0.047,0.159,8.595
4.7,9.3,11.2,24.1,204.6,277.3,0.047,0.141,8.591
