# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-30 09:18:23
動作種別,開動作
温度[℃],37.9
湿度[%RH],38.5
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.4,9.6,24.1,206.9,285.1,0.078,0.156,8.598
0.1,9.7,10.5,24.1,206.9,280.0,0.067,0.172,8.595
0.15,9.2,11.1,24.1,207.0,285.8,0.059,0.14,8.599
0.2,9.8,10.8,24.1,207.0,279.4,0.08,0.172,8.592
0.25,8.4,11.1,24.1,207.0,285.3,0.073,0.153,8.596
0.3,9.2,10.4,24.1,207.0,280.8,0.071,0.158,8.603
0.35,9.8,10.8,24.1,207.0,284.6,0.079,0.168,8.598
0.4,10.0,11.3,24.1,207.0,278.5,0.06,0.155,8.598
0.45,9.7,10.2,24.1,207.0,285.6,0.056,0.174,8.597
0.5,9.7,10.2,24.1,207.0,279.9,0.055,0.143,8.597
0.55,9.5,10.8,24.1,207.0,285.3,0.069,0.173,8.602
0.6,9.8,9.4,24.1,207.0,279.9,0.076,0.152,8.597
0.65,9.8,10.4,24.1,207.0,285.7,0.074,0.172,8.599
0.7,9.5,11.1,24.1,206.9,281.8,0.062,0.147,8.596
0.75,10.1,10.8,24.1,206.9,286.2,0.05,0.175,8.595
0.8,9.0,9.4,24.1,206.9,281.9,0.061,0.161,8.597
0.85,9.2,11.3,24.1,206.8,286.8,0.063,0.166,8.599
0.9,10.3,11.1,24.1,206.8,281.9,0.065,0.142,8.597
0.95,146.4,133.4,24.1,206.7,296.5,0.191,0.266,8.607
1.0,260.9,364.0,24.1,206.5,352.1,0.173,0.185,8.59
1.05,135.8,223.6,24.1,206.4,442.8,0.378,0.377,8.604
1.1,182.2,180.5,24.1,206.4,429.0,0.177,0.195,8.596
1.15,238.8,249.4,24.1,206.3,469.2,0.188,0.213,8.601
1.2,270.6,290.4,24.1,206.1,559.1,0.185,0.265,8.586
1.25,270.3,308.8,24.1,205.9,650.2,0.2,0.293,8.602
1.3,259.7,311.0,24.1,205.6,727.6,0.237,0.325,8.596
1.35,274.3,320.7,24.1,205.5,795.9,0.28,0.403,8.598
1.4,287.9,331.9,24.1,205.3,849.6,0.327,0.412,8.587
1.45,284.4,339.2,24.1,205.1,912.4,0.385,0.492,8.61
1.5,323.8,371.9,24.1,204.9,978.8,0.471,0.739,8.61
1.55,351.3,384.4,24.1,204.7,1043.5,0.461,0.786,8.614
1.6,364.6,393.0,24.1,204.5,1113.7,0.545,0.622,8.606
1.65,341.3,368.8,24.1,204.6,1078.7,0.517,0.762,8.625
1.7,353.4,351.2,24.1,204.8,985.9,0.713,1.052,8.639
1.75,342.8,354.9,24.1,205.0,891.4,0.743,0.839,8.615
1.8,356.5,351.1,24.1,205.1,812.5,0.583,0.735,8.604
1.85,357.2,342.4,24.1,205.2,756.8,0.744,0.927,8.608
1.9,350.5,349.2,24.1,205.2,724.0,0.801,0.642,8.647
1.95,347.6,344.0,24.1,205.3,722.0,0.621,0.776,8.616
2.0,336.5,351.1,24.1,205.3,747.1,0.617,0.698,8.629
2.05,342.3,353.4,24.1,205.2,781.1,0.588,0.777,8.609
2.1,345.2,350.6,24.1,205.1,818.3,0.587,0.709,8.623
