# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 08:15:43
動作種別,閉動作
温度[℃],32.2
湿度[%RH],51.1
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,10.3,9.8,24.1,206.8,293.9,0.047,0.199,8.593
0.1,10.5,9.2,24.1,206.8,288.0,0.042,0.128,8.576
0.15,10.5,9.7,24.1,206.8,291.6,0.048,0.197,8.577
0.2,9.7,10.1,24.1,206.8,285.6,0.043,0.125,8.584
0.25,9.2,10.5,24.1,206.7,288.2,0.052,0.205,8.584
0.3,10.8,10.3,24.1,206.7,281.7,0.039,0.122,8.577
0.35,10.3,9.0,24.1,206.7,284.4,0.054,0.212,8.589
0.4,9.9,10.2,24.1,206.7,280.0,0.045,0.117,8.585
0.45,10.5,9.7,24.1,206.6,282.9,0.054,0.203,8.579
0.5,10.6,10.4,24.1,206.7,278.0,0.046,0.12,8.584
0.55,11.5,10.2,24.1,206.6,283.0,0.051,0.202,8.583
0.6,11.3,10.0,24.1,206.6,278.6,0.053,0.139,8.583
0.65,10.8,10.3,24.1,206.6,284.8,0.057,0.19,8.584
0.7,10.6,10.1,24.1,206.6,279.8,0.042,0.148,8.58
0.75,10.6,9.2,24.1,206.6,285.7,0.047,0.178,8.58
0.8,10.1,10.3,24.1,206.6,282.4,0.043,0.159,8.582
0.85,11.0,9.7,24.1,206.5,289.2,0.044,0.176,8.587
0.9,28.1,24.1,24.1,206.6,285.8,0.063,0.184,8.581
0.95,200.6,154.4,24.1,206.5,305.4,1.397,2.311,8.614
1.0,354.0,307.9,24.1,206.3,384.5,0.359,0.436,8.587
1.05,142.7,126.0,24.1,206.3,432.6,0.3,0.394,8.583
1.1,205.6,189.4,24.1,206.3,427.4,0.19,0.327,8.576
1.15,260.9,245.7,24.1,206.2,478.0,0.224,0.35,8.588
1.2,289.3,265.0,24.1,206.0,553.6,0.187,0.376,8.576
1.25,300.5,271.4,24.1,205.8,637.6,0.278,0.337,8.598
1.3,302.0,275.1,24.1,205.7,707.5,0.426,0.677,8.565
1.35,303.6,272.5,24.1,205.5,773.6,0.473,0.856,8.591
1.4,321.3,293.2,24.1,205.3,829.7,0.435,0.645,8.595
1.45,325.6,297.2,24.1,205.2,889.5,0.478,0.677,8.575
1.5,353.1,321.1,24.1,205.0,966.0,0.531,1.051,8.587
1.55,375.6,343.3,24.1,204.9,1023.5,0.635,0.989,8.59
1.6,369.0,342.9,24.1,204.7,1072.3,0.586,1.044,8.591
1.65,354.0,318.0,24.1,204.8,1018.1,0.581,0.932,8.574
1.7,345.8,317.0,24.1,205.1,923.4,0.799,1.197,8.601
1.75,348.3,315.6,24.1,205.3,838.9,0.673,0.871,8.586
1.8,348.9,316.3,24.1,205.3,767.4,0.609,0.765,8.587
1.85,338.4,309.5,24.1,205.4,723.6,0.5,0.424,8.592
1.9,344.6,310.6,24.1,205.5,707.4,0.624,0.68,8.579
1.95,347.1,311.9,24.1,205.5,719.3,0.562,0.805,8.613
2.0,341.8,314.0,24.1,205.3,745.1,0.605,0.797,8.579
2.05,346.4,309.9,24.1,205.2,779.8,0.609,0.841,8.586
2.1,344.5,314.0,24.1,205.2,805.2,0.615,0.645,8.567
2.15,340.9,316.9,24.1,205.1,822.5,0.662,0.808,8.585
2.2,349.7,306.1,24.1,205.2,819.7,0.685,0.851,8.601
2.25,337.6,317.2,24.1,205.2,812.4,0.546,0.541,8.581
2.3,347.2,315.9,24.1,205.2,793.9,0.589,0.668,8.588
2.35,345.5,307.9,24.1,205.3,777.9,0.486,0.563,8.587
