# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,1
動作日時,2026-06-29 13:02:09
動作種別,閉動作
温度[℃],35.9
湿度[%RH],41.5
気圧[hPa],1013
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,9.1,10.2,24.1,204.4,287.0,0.043,0.148,8.593
0.1,10.1,9.4,24.1,204.3,280.1,0.042,0.153,8.591
0.15,10.8,11.0,24.1,204.3,285.4,0.042,0.148,8.591
0.2,10.4,10.4,24.1,204.3,278.5,0.044,0.153,8.591
0.25,9.2,10.3,24.1,204.3,285.2,0.044,0.153,8.592
0.3,10.1,10.0,24.1,204.2,280.4,0.044,0.149,8.591
0.35,9.7,10.4,24.1,204.3,287.5,0.039,0.148,8.594
0.4,9.3,10.9,24.1,204.3,281.2,0.045,0.15,8.589
0.45,10.0,10.4,24.1,204.4,287.0,0.041,0.149,8.596
0.5,10.4,10.7,24.1,204.4,279.4,0.047,0.153,8.59
0.55,9.6,10.7,24.1,204.4,285.1,0.043,0.147,8.592
0.6,9.8,10.0,24.1,204.3,279.5,0.045,0.153,8.59
0.65,10.5,10.6,24.1,204.4,284.3,0.044,0.146,8.591
0.7,10.0,10.5,24.1,204.3,279.2,0.044,0.152,8.587
0.75,10.0,10.2,24.1,204.4,285.0,0.043,0.148,8.59
0.8,10.2,10.5,24.1,204.3,281.4,0.045,0.15,8.588
0.85,9.0,10.6,24.1,204.3,286.8,0.041,0.154,8.591
0.9,23.2,19.5,24.1,204.4,281.8,0.055,0.166,8.59
0.95,188.2,154.7,24.1,204.4,298.6,1.493,1.95,8.629
1.0,377.0,348.9,24.1,204.1,402.6,0.284,0.439,8.595
1.05,138.1,118.6,24.1,204.0,475.7,0.344,0.634,8.588
1.1,183.7,164.4,24.1,204.1,440.4,0.194,0.313,8.581
1.15,243.7,230.5,24.1,203.9,475.0,0.185,0.284,8.595
1.2,281.5,258.0,24.1,203.8,544.9,0.185,0.342,8.589
1.25,296.5,273.9,24.1,203.5,628.0,0.244,0.345,8.591
1.3,299.0,274.0,24.1,203.3,695.8,0.372,0.578,8.589
1.35,302.6,271.5,24.1,203.2,758.3,0.459,0.824,8.581
1.4,324.6,292.9,24.1,203.2,811.2,0.428,0.661,8.588
1.45,322.6,295.9,24.1,203.0,863.0,0.494,0.691,8.598
1.5,350.3,318.6,24.1,202.9,937.2,0.617,1.039,8.593
1.55,376.0,338.6,24.1,202.6,994.6,0.612,0.972,8.599
1.6,364.6,338.8,24.1,202.5,1045.4,0.57,1.06,8.582
1.65,353.8,314.4,24.1,202.6,987.9,0.604,0.849,8.597
1.7,340.4,312.5,24.1,202.9,892.7,0.785,1.124,8.602
1.75,346.3,315.4,24.1,203.0,800.2,0.666,0.688,8.617
1.8,346.4,316.8,24.1,203.3,731.0,0.635,0.872,8.581
1.85,336.4,316.4,24.1,203.4,684.8,0.516,0.416,8.592
1.9,340.4,308.9,24.1,203.5,665.0,0.484,0.461,8.595
1.95,339.6,310.9,24.1,203.4,673.7,0.687,0.695,8.596
2.0,340.4,310.3,24.1,203.4,703.6,0.571,0.582,8.596
2.05,346.5,305.7,24.1,203.3,736.5,0.568,0.773,8.61
2.1,342.9,310.1,24.1,203.2,767.6,0.588,0.597,8.594
2.15,338.5,309.0,24.1,203.1,785.5,0.749,0.803,8.596
2.2,343.3,312.3,24.1,203.1,789.9,0.767,0.962,8.598
2.25,342.2,310.4,24.1,203.1,780.2,0.62,0.609,8.595
2.3,335.6,305.4,24.1,203.3,752.3,0.54,0.609,8.597
2.35,347.6,311.1,24.1,203.2,735.4,0.506,0.577,8.594
2.4,336.0,311.9,24.1,203.3,728.2,0.526,0.534,8.595
2.45,341.7,307.9,24.1,203.3,728.8,0.647,0.642,8.594
2.5,344.3,310.6,24.1,203.3,734.2,0.602,0.633,8.598
2.55,335.2,309.0,24.1,203.2,739.8,0.529,0.442,8.604
2.6,340.7,306.0,24.1,203.2,746.9,0.604,0.523,8.59
2.65,341.4,309.8,24.1,203.1,754.4,0.49,0.62,8.598
2.7,319.2,296.9,24.1,203.2,753.2,0.5,0.627,8.587
2.75,296.6,256.9,24.1,203.4,653.6,0.823,1.151,8.642
2.8,286.6,266.2,24.1,203.9,517.6,0.502,0.633,8.594
2.85,282.3,263.9,24.1,204.0,406.7,0.351,0.81,8.597
2.9,217.0,178.1,24.1,204.4,337.2,0.332,0.344,8.584
2.95,150.4,125.3,24.1,204.3,332.2,0.237,0.272,8.596
3.0,120.5,94.4,24.1,204.4,348.9,0.192,0.255,8.59
3.05,64.0,56.8,24.1,204.3,348.2,0.359,0.595,8.603
3.1,57.9,65.7,24.1,204.4,323.4,0.151,0.249,8.593
3.15,65.4,78.6,24.1,204.3,311.6,0.11,0.196,8.593
3.2,34.3,46.9,24.1,204.4,306.9,0.076,0.178,8.585
3.25,63.1,27.5,24.1,204.5,312.5,0.193,0.227,8.593
3.3,137.9,77.3,24.1,204.4,326.5,0.083,0.187,8.59
3.35,169.9,127.6,24.1,204.3,358.9,0.059,0.157,8.594
3.4,165.1,139.2,24.1,204.4,391.9,0.066,0.164,8.589
3.45,138.8,128.6,24.1,204.1,410.4,0.078,0.172,8.592
3.5,108.9,107.4,24.1,204.2,407.6,0.085,0.154,8.588
3.55,97.7,76.6,24.1,204.2,392.2,0.111,0.164,8.59
3.6,81.1,68.7,24.1,204.3,377.1,0.081,0.165,8.589
3.65,84.8,61.7,24.1,204.1,365.8,0.082,0.159,8.597
3.7,93.3,54.1,24.1,204.3,359.3,0.079,0.162,8.593
3.75,95.2,56.1,24.1,204.3,356.9,0.09,0.167,8.587
3.8,102.4,62.8,24.1,204.3,358.9,0.08,0.164,8.59
3.85,113.9,65.6,24.1,204.3,365.6,0.067,0.161,8.594
3.9,104.7,77.3,24.1,204.4,373.4,0.077,0.173,8.588
3.95,105.9,83.2,24.1,204.2,379.8,0.071,0.148,8.596
4.0,107.9,83.0,24.1,204.3,379.7,0.067,0.165,8.587
4.05,98.9,87.8,24.1,204.2,376.8,0.084,0.157,8.592
4.1,102.7,83.2,24.1,204.3,373.2,0.077,0.172,8.591
4.15,98.6,76.8,24.1,204.2,368.6,0.065,0.152,8.597
4.2,96.3,74.6,24.1,204.3,364.2,0.088,0.165,8.586
4.25,97.8,68.1,24.1,204.2,361.6,0.079,0.163,8.591
4.3,101.5,65.5,24.1,204.4,364.6,0.089,0.168,8.593
4.35,93.8,68.4,24.1,204.3,368.1,0.075,0.163,8.594
4.4,93.3,66.2,24.1,204.4,371.0,0.09,0.161,8.589
4.45,86.2,64.4,24.1,204.2,370.3,0.077,0.169,8.591
4.5,81.2,71.4,24.1,204.3,368.5,0.08,0.15,8.591
4.55,88.8,68.6,24.1,204.2,364.2,0.074,0.171,8.592
4.6,93.1,70.2,24.1,204.3,361.9,0.092,0.156,8.589
4.65,89.1,72.2,24.1,204.2,360.3,0.084,0.165,8.591
4.7,100.9,67.4,24.1,204.3,358.2,0.07,0.163,8.596
4.75,101.8,63.6,24.1,204.2,360.2,0.089,0.164,8.588
4.8,105.8,63.5,24.1,204.4,364.3,0.099,0.164,8.59
4.85,313.8,272.1,24.1,204.4,340.0,2.137,2.618,9.053
4.9,128.7,211.1,24.1,204.5,316.6,0.128,0.243,8.59
4.95,44.1,18.3,24.1,204.4,301.0,0.136,0.179,8.598
5.0,40.9,10.0,24.1,204.5,294.6,0.079,0.183,8.589
5.05,11.5,10.2,24.1,204.4,289.3,0.042,0.15,8.592
5.1,10.2,10.5,24.1,204.5,289.5,0.05,0.168,8.589
5.15,10.7,10.6,24.1,204.4,286.2,0.047,0.156,8.592
