timestamp,station,line,car,door,operation,filename,mean_current,std_current,max_current,min_current,range_current,p25_current,p50_current,p75_current,duration,data_points,mean_diff,max_diff,energy,rms_current,skewness,kurtosis,mean_current_left,mean_current_right,max_current_left,max_current_right,label
2026-06-29 00:03:54,五反田,1,1,1,open,20260629000354_五反田_1番線_1号車_1番ドア_開動作.csv,82.89318181818182,125.76535727248596,383.1,9.2,373.90000000000003,10.15,10.45,86.55000000000001,10.95,220,8.317351598173516,199.50000000000003,4991405.029999999,150.6260425086518,1.4495302980329237,0.3653638257456553,80.41909090909091,85.36727272727273,368.6,397.6,0
2026-06-29 00:18:29,五反田,1,1,1,close,20260629001829_五反田_1番線_1号車_1番ドア_閉動作.csv,79.7368181818182,114.16472721412701,359.1,9.25,349.85,10.0875,10.45,91.125,10.95,220,8.809132420091325,219.2,4266139.925,139.2535281909811,1.4587274009693052,0.5106898379843674,84.56818181818181,74.90545454545455,374.4,343.8,0
2026-06-29 00:24:58,五反田,1,1,1,open,20260629002458_五反田_1番線_1号車_1番ドア_開動作.csv,82.95977272727272,125.69819032993702,386.65,9.05,377.59999999999997,10.2,10.55,85.67500000000001,10.95,220,8.154337899543378,229.50000000000003,4990118.9675,150.6066364513258,1.4515145880856355,0.37203630289224776,80.5890909090909,85.33045454545454,367.6,405.7,0
2026-06-29 00:33:02,五反田,1,1,1,close,20260629003302_五反田_1番線_1号車_1番ドア_閉動作.csv,80.09295454545455,114.36258967105746,358.85,8.95,349.90000000000003,10.0875,10.575,92.57500000000002,10.95,220,8.369178082191782,190.89999999999998,4288610.3225,139.61978113466196,1.4462136234067713,0.4716780373228593,84.84454545454547,75.34136363636362,378.7,342.0,0
2026-06-29 00:55:19,五反田,1,1,1,open,20260629005519_五反田_1番線_1号車_1番ドア_開動作.csv,83.15477272727273,125.96605914597205,390.35,9.100000000000001,381.25,10.1,10.45,88.975,10.95,220,8.082191780821915,189.55,5012076.142499999,150.9376171936304,1.438457247274735,0.33374455050299234,80.52227272727274,85.78727272727274,371.7,409.0,0
2026-06-29 04:34:03,五反田,1,1,1,close,20260629043403_五反田_1番線_1号車_1番ドア_閉動作.csv,151.92613636363637,137.41448129350567,378.0,9.25,368.75,10.6375,87.77499999999999,315.2875,10.95,220,17.18607305936073,221.95,9232143.9275,204.85187472792495,0.41176312241653357,-1.548504721568595,154.16500000000002,149.68727272727276,375.3,391.1,0
2026-06-29 04:34:42,五反田,1,1,1,close,20260629043442_五反田_1番線_1号車_1番ドア_閉動作.csv,79.48772727272727,114.009275477194,356.0,9.1,346.9,9.9,10.4,88.86250000000001,10.95,220,8.821689497716893,217.44999999999996,4249611.01,138.98350147344172,1.4586075650945232,0.5105942497038174,84.29272727272726,74.68272727272728,373.6,338.4,0
2026-06-29 04:57:04,五反田,1,1,1,open,20260629045704_五反田_1番線_1号車_1番ドア_開動作.csv,82.67454545454547,125.73497709747468,386.6,9.0,377.6,9.95,10.35,84.225,10.95,220,7.837899543378995,191.44999999999996,4981760.285,150.48044700830133,1.4514745695089462,0.37288722502262095,80.34590909090909,85.00318181818182,373.3,399.9,0
2026-06-29 04:57:24,五反田,1,1,1,close,20260629045724_五反田_1番線_1号車_1番ドア_閉動作.csv,79.36431818181819,113.47475434886441,358.15,9.0,349.15,9.85,10.3,90.23750000000001,10.95,220,7.526484018264841,200.64999999999998,4218547.2725,138.4746001077454,1.4521436574302085,0.5010620162802839,84.07772727272729,74.6509090909091,380.2,336.3,0
2026-06-29 05:30:12,五反田,1,1,1,open,20260629053012_五反田_1番線_1号車_1番ドア_開動作.csv,82.85,126.02445568943428,382.4,9.25,373.15,10.100000000000001,10.55,85.175,10.95,220,8.534246575342467,193.5,5004182.905,150.81871877130564,1.4546597572257312,0.37557018312055845,80.32954545454545,85.37045454545455,366.8,422.1,0
2026-06-29 05:35:47,五反田,1,1,1,close,20260629053547_五反田_1番線_1号車_1番ドア_閉動作.csv,79.88977272727271,114.08186981463308,362.15,9.3,352.84999999999997,10.15,10.6,90.775,10.95,220,8.7148401826484,194.65,4267350.7375,139.2732882027928,1.455265732238406,0.5037976070664469,84.64545454545454,75.13409090909092,394.9,345.5,0
2026-06-29 06:06:53,五反田,1,1,1,open,20260629060653_五反田_1番線_1号車_1番ドア_開動作.csv,83.2025,126.0893889473402,389.65,9.35,380.29999999999995,10.149999999999999,10.45,86.4625,10.95,220,8.129908675799086,200.49999999999994,5020661.8025,151.06683954913348,1.4451493769236239,0.35175414194929777,80.56181818181817,85.84318181818182,370.6,408.7,0
2026-06-29 06:10:16,五反田,1,1,1,close,20260629061016_五反田_1番線_1号車_1番ドア_閉動作.csv,80.11227272727272,114.22490637222602,370.95,9.100000000000001,361.84999999999997,10.037500000000001,10.525,90.15,10.95,220,8.00159817351598,194.85,4282367.205,139.51811881355312,1.4354700494530823,0.43549278544055214,84.97272727272727,75.25181818181817,384.0,357.9,0
2026-06-29 06:25:29,五反田,1,1,1,open,20260629062529_五反田_1番線_1号車_1番ドア_開動作.csv,82.91113636363637,126.14109317484544,384.9,9.15,375.75,9.95,10.399999999999999,85.6625,10.95,220,8.87648401826484,189.3,5012883.0225,150.9497662153027,1.4521866329070034,0.37428323857737444,80.57181818181817,85.25045454545455,368.3,408.8,0
2026-06-29 06:33:47,五反田,1,1,1,close,20260629063347_五反田_1番線_1号車_1番ドア_閉動作.csv,79.65818181818182,114.32840526850565,357.95000000000005,8.95,349.00000000000006,10.0,10.4,91.3625,10.95,220,8.859360730593608,209.15000000000003,4271610.240000001,139.3427794391162,1.4630579766577065,0.5326295387186541,84.36045454545454,74.95590909090909,372.8,353.2,0
2026-06-29 06:37:41,五反田,1,1,1,open,20260629063741_五反田_1番線_1号車_1番ドア_開動作.csv,82.8768181818182,125.79505521740018,384.7,9.3,375.4,10.25,10.600000000000001,85.51250000000002,10.95,220,7.9721461187214615,182.75,4992451.84,150.6418365165896,1.4518679052903842,0.37385607410460864,80.39818181818183,85.35545454545453,376.4,393.0,0
2026-06-29 06:45:48,五反田,1,1,1,close,20260629064548_五反田_1番線_1号車_1番ドア_閉動作.csv,79.90022727272729,114.49845637086983,361.95000000000005,9.3,352.65000000000003,10.100000000000001,10.55,92.4125,10.95,220,8.967808219178082,219.99999999999994,4288667.4225,139.6207106039267,1.4602793949580717,0.5214005944851805,84.34227272727273,75.45818181818181,377.3,346.6,0
2026-06-29 06:48:57,五反田,1,1,1,open,20260629064857_五反田_1番線_1号車_1番ドア_開動作.csv,82.7225,125.79247260549634,385.1,9.0,376.1,10.037500000000001,10.45,83.25,10.95,220,8.56027397260274,214.00000000000003,4986686.7975,150.55483443069687,1.4572289805897805,0.38762465583287176,80.2890909090909,85.15590909090909,369.2,410.4,0
2026-06-29 06:54:43,五反田,1,1,1,close,20260629065443_五反田_1番線_1号車_1番ドア_閉動作.csv,79.86477272727272,114.53329784764533,359.05,9.0,350.05,10.100000000000001,10.55,92.0875,10.95,220,9.115068493150686,229.95,4289176.8125,139.6290021400868,1.4624631160305943,0.5250174423912948,84.52999999999999,75.19954545454546,376.3,341.8,0
2026-06-29 06:57:57,五反田,1,1,1,open,20260629065757_五反田_1番線_1号車_1番ドア_開動作.csv,82.81000000000002,125.78243948110635,380.15,9.25,370.9,10.3,10.65,84.5375,10.95,220,8.505936073059361,203.1,4989318.000000001,150.59454897777073,1.457221077750078,0.3850917701689953,80.34727272727274,85.27272727272727,369.3,391.0,0
2026-06-29 07:01:13,五反田,1,1,1,close,20260629070113_五反田_1番線_1号車_1番ドア_閉動作.csv,80.01681818181818,114.06324088721229,357.35,9.649999999999999,347.70000000000005,10.3,10.675,92.01250000000002,10.95,220,8.462785388127855,190.45000000000005,4270885.105,139.33095174309392,1.453598649396603,0.49590286158349306,84.85272727272726,75.18090909090908,370.8,343.9,0
2026-06-29 07:04:23,五反田,1,1,1,open,20260629070423_五反田_1番線_1号車_1番ドア_開動作.csv,83.05704545454545,125.86928594197786,387.4,9.0,378.4,10.05,10.475,87.4,10.95,220,8.084246575342465,190.14999999999995,5003140.9875,150.80301702280966,1.4422227799541245,0.34596093609135403,80.49227272727272,85.62181818181818,365.9,408.9,0
2026-06-29 07:08:45,五反田,1,1,1,close,20260629070845_五反田_1番線_1号車_1番ドア_閉動作.csv,79.8890909090909,114.4399594233147,370.20000000000005,9.05,361.15000000000003,10.0,10.5,92.47500000000001,10.95,220,9.227397260273973,216.7,4285329.655,139.56636829512655,1.4592421123195283,0.5125600471493517,84.53863636363636,75.23954545454546,383.8,356.6,0
